"","crossID","Crosses","P1","malePar","plotNo","Region","line","block","Year","PhotoScore","dryWgtPerM","AshFreedryWgtPerM"
"88","SL18-UCONN-S1","SA18-CB-10-FG1xSL18-SF-19-MG2","SA18-CB-10-FG1","SL18-SF-19-MG2","2019_1","GOM",2,7,2019,3,0.42,"0.22176"
"89","SL18-UCONN-S10","SL18-LD-10-FG1xSL18-OI-4-MG1","SL18-LD-10-FG1","SL18-OI-4-MG1","2019_10","GOM",3,9,2019,3,0.23,"0.127489"
"90","SL18-UCONN-S100","SL18-NL-6-FG1xSL18-OI-11-MG2","SL18-NL-6-FG1","SL18-OI-11-MG2","2019_100","GOM",4,8,2019,2,0.11,NA
"9","SL18-UCONN-S101","SL18-NL-6-FG1xSL18-OI-14-MG2","SL18-NL-6-FG1","SL18-OI-14-MG2","2019_101","GOM",1,2,2019,3,0.48,"0.251952"
"91","SL18-UCONN-S102","SL18-NL-6-FG1xSL18-OI-15-MG1","SL18-NL-6-FG1","SL18-OI-15-MG1","2019_102","GOM",1,9,2019,3,0.47,"0.231052"
"92","SL18-UCONN-S103","SL18-NL-6-FG1xSL18-OI-16-MG1","SL18-NL-6-FG1","SL18-OI-16-MG1","2019_103","GOM",1,5,2019,3,0.34,"0.184994"
"93","SL18-UCONN-S104","SL18-NL-6-FG1xSL18-SF-17-MG1","SL18-NL-6-FG1","SL18-SF-17-MG1","2019_104","GOM",1,5,2019,3,0.41,"0.211478"
"94","SL18-UCONN-S105","SL18-NL-6-FG1xSL18-SF-19-MG2","SL18-NL-6-FG1","SL18-SF-19-MG2","2019_105","GOM",1,1,2019,3,0.27,NA
"99","SL18-UCONN-S11","SL18-LD-10-FG2xSA18-CB-7-MG2","SL18-LD-10-FG2","SA18-CB-7-MG2","2019_11","GOM",2,6,2019,3,0.38,"0.184984"
"110","SL18-UCONN-S12","SL18-LD-10-FG2xSL18-NL-3-MG2","SL18-LD-10-FG2","SL18-NL-3-MG2","2019_12","GOM",2,1,2019,3,0.11,NA
"111","SL18-UCONN-S120","SL18-NL-9-FG2xSA18-CB-7-MG1","SL18-NL-9-FG2","SA18-CB-7-MG1","2019_120","GOM",4,6,2019,3,0.22,NA
"112","SL18-UCONN-S121","SL18-NL-9-FG2xSL18-SF-19-MG1","SL18-NL-9-FG2","SL18-SF-19-MG1","2019_121","GOM",3,4,2019,3,0.28,NA
"115","SL18-UCONN-S124","SL18-OI-11-FG1xSL18-SF-15-MG2","SL18-OI-11-FG1","SL18-SF-15-MG2","2019_124","GOM",2,4,2019,3,0.23,NA
"116","SL18-UCONN-S125","SL18-OI-15-FG1xSA18-CB-2-MG3","SL18-OI-15-FG1","SA18-CB-2-MG3","2019_125","GOM",2,2,2019,3,0.37,"0.197321"
"118","SL18-UCONN-S127","SL18-OI-15-FG1xSL18-NL-5-MG1","SL18-OI-15-FG1","SL18-NL-5-MG1","2019_127","GOM",1,8,2019,3,0.09,NA
"14","SL18-UCONN-S128","SL18-OI-15-FG1xSL18-SF-15-MG1","SL18-OI-15-FG1","SL18-SF-15-MG1","2019_128","GOM",1,8,2019,3,0.41,"0.22673"
"6","SL18-UCONN-S136","SL18-OI-16-FG3xSA18-CB-4-MG3","SL18-OI-16-FG3","SA18-CB-4-MG3","2019_136","GOM",3,2,2019,3,0.42,"0.220038"
"127","SL18-UCONN-S137","SL18-OI-16-FG3xSA18-CB-5-MG3","SL18-OI-16-FG3","SA18-CB-5-MG3","2019_137","GOM",1,9,2019,2,0.07,NA
"130","SL18-UCONN-S14","SL18-LD-13-FG2xSL18-LD-13-MG2","SL18-LD-13-FG2","SL18-LD-13-MG2","2019_14","GOM",1,5,2019,3,0.3,"0.15777"
"131","SL18-UCONN-S140","SL18-OI-16-FG3xSL18-LD-3-MG2","SL18-OI-16-FG3","SL18-LD-3-MG2","2019_140","GOM",1,3,2019,3,0.19,NA
"132","SL18-UCONN-S141","SL18-OI-16-FG3xSL18-NL-6-MG1","SL18-OI-16-FG3","SL18-NL-6-MG1","2019_141","GOM",3,8,2019,3,0.21,NA
"133","SL18-UCONN-S142","SL18-OI-16-FG3xSL18-SF-17-MG2","SL18-OI-16-FG3","SL18-SF-17-MG2","2019_142","GOM",1,2,2019,3,0.34,"0.19941"
"4","SL18-UCONN-S143","SL18-OI-17-FG1xSL18-SF-13-MG2","SL18-OI-17-FG1","SL18-SF-13-MG2","2019_143","GOM",2,3,2019,3,0.43,"0.223815"
"134","SL18-UCONN-S145","SL18-OI-17-FG2xSL18-SF-17-MG2","SL18-OI-17-FG2","SL18-SF-17-MG2","2019_145","GOM",1,2,2019,2,0.04,NA
"135","SL18-UCONN-S146","SL18-OI-18-FG1xSL18-OI-9-MG3","SL18-OI-18-FG1","SL18-OI-9-MG3","2019_146","GOM",1,1,2019,3,0.32,"0.168288"
"136","SL18-UCONN-S147","SL18-OI-18-FG2xSA18-CB-7-MG1","SL18-OI-18-FG2","SA18-CB-7-MG1","2019_147","GOM",2,6,2019,3,0.33,"0.190014"
"137","SL18-UCONN-S148","SL18-OI-18-FG2xSL18-LD-10-MG1","SL18-OI-18-FG2","SL18-LD-10-MG1","2019_148","GOM",4,9,2019,3,0.31,NA
"138","SL18-UCONN-S149","SL18-OI-18-FG2xSL18-LD-9-MG1","SL18-OI-18-FG2","SL18-LD-9-MG1","2019_149","GOM",3,1,2019,3,0.28,NA
"140","SL18-UCONN-S150","SL18-OI-18-FG2xSL18-NL-2-MG2","SL18-OI-18-FG2","SL18-NL-2-MG2","2019_150","GOM",4,3,2019,3,0.21,NA
"141","SL18-UCONN-S151","SL18-OI-18-FG2xSL18-LD-2-MG3","SL18-OI-18-FG2","SL18-LD-2-MG3","2019_151","GOM",2,8,2019,2,0.08,NA
"142","SL18-UCONN-S152","SL18-OI-18-FG3xSL18-LL-9-MG1","SL18-OI-18-FG3","SL18-LL-9-MG1","2019_152","GOM",1,8,2019,2,0.09,NA
"143","SL18-UCONN-S153","SL18-OI-18-FG3xSL18-OI-7-MG1","SL18-OI-18-FG3","SL18-OI-7-MG1","2019_153","GOM",4,1,2019,3,0.26,NA
"144","SL18-UCONN-S154","SL18-OI-18-FG5xSA18-CB-4-MG3","SL18-OI-18-FG5","SA18-CB-4-MG3","2019_154","GOM",3,4,2019,2,0.18,NA
"145","SL18-UCONN-S155","SL18-OI-18-FG5xSL18-LD-2-MG1","SL18-OI-18-FG5","SL18-LD-2-MG1","2019_155","GOM",3,6,2019,3,0.28,"0.154364"
"7","SL18-UCONN-S157","SL18-OI-18-FG5xSL18-SF-15-MG2","SL18-OI-18-FG5","SL18-SF-15-MG2","2019_157","GOM",3,9,2019,3,0.51,"0.268566"
"147","SL18-UCONN-S158","SL18-OI-18-FG6xSA18-CB-1-MG2","SL18-OI-18-FG6","SA18-CB-1-MG2","2019_158","GOM",1,6,2019,3,0.27,NA
"29","SL18-UCONN-S159","SL18-OI-18-FG6xSL18-NL-6-MG1","SL18-OI-18-FG6","SL18-NL-6-MG1","2019_159","GOM",3,8,2019,3,0.14,"0.088522"
"151","SL18-UCONN-S162","SL18-OI-2-FG2xSL18-LD-1-MG2","SL18-OI-2-FG2","SL18-LD-1-MG2","2019_162","GOM",2,5,2019,2,0.1,NA
"11","SL18-UCONN-S17","SL18-LD-1-FG1xSL18-NL-2-MG2","SL18-LD-1-FG1","SL18-NL-2-MG2","2019_17","GOM",3,1,2019,3,0.17,"0.095625"
"159","SL18-UCONN-S170","SL18-OI-2-FG3xSL18-NL-9-MG1","SL18-OI-2-FG3","SL18-NL-9-MG1","2019_170","GOM",2,8,2019,2,0.08,NA
"161","SL18-UCONN-S172","SL18-OI-2-FG3xSL18-SF-17-MG1","SL18-OI-2-FG3","SL18-SF-17-MG1","2019_172","GOM",4,2,2019,3,0.17,NA
"163","SL18-UCONN-S174","SL18-OI-6-FG1xSA18-CB-2-MG1","SL18-OI-6-FG1","SA18-CB-2-MG1","2019_174","GOM",1,4,2019,2,0.07,NA
"164","SL18-UCONN-S175","SL18-OI-6-FG1xSA18-CB-4-MG1","SL18-OI-6-FG1","SA18-CB-4-MG1","2019_175","GOM",1,4,2019,3,0.19,NA
"17","SL18-UCONN-S176","SL18-OI-6-FG1xSL18-LD-13-MG2","SL18-OI-6-FG1","SL18-LD-13-MG2","2019_176","GOM",2,3,2019,2,0.16,"0.096912"
"165","SL18-UCONN-S177","SL18-OI-6-FG1xSL18-LD-2-MG1","SL18-OI-6-FG1","SL18-LD-2-MG1","2019_177","GOM",4,1,2019,3,0.23,NA
"166","SL18-UCONN-S178","SL18-OI-6-FG1xSL18-LD-5-MG1","SL18-OI-6-FG1","SL18-LD-5-MG1","2019_178","GOM",3,9,2019,3,0.16,NA
"168","SL18-UCONN-S18","SL18-LD-1-FG1xSL18-OI-18-MG1","SL18-LD-1-FG1","SL18-OI-18-MG1","2019_18","GOM",3,1,2019,3,0.18,NA
"169","SL18-UCONN-S180","SL18-OI-6-FG1xSL18-NL-9-MG1","SL18-OI-6-FG1","SL18-NL-9-MG1","2019_180","GOM",4,2,2019,2,0.19,NA
"170","SL18-UCONN-S181","SL18-OI-6-FG1xSL18-SF-15-MG1","SL18-OI-6-FG1","SL18-SF-15-MG1","2019_181","GOM",4,3,2019,3,0.24,NA
"171","SL18-UCONN-S182","SL18-OI-6-FG1xSL18-SF-19-MG1","SL18-OI-6-FG1","SL18-SF-19-MG1","2019_182","GOM",4,2,2019,3,0.12,NA
"172","SL18-UCONN-S183","SL18-OI-7-FG3xSA18-CB-2-MG3","SL18-OI-7-FG3","SA18-CB-2-MG3","2019_183","GOM",3,5,2019,3,0.16,NA
"18","SL18-UCONN-S186","SL18-OI-9-FG1xSL18-LL-9-MG2","SL18-OI-9-FG1","SL18-LL-9-MG2","2019_186","GOM",2,9,2019,3,0.17,"0.094979"
"177","SL18-UCONN-S189","SL18-SF-13-FG1xSL18-LL-9-MG3","SL18-SF-13-FG1","SL18-LL-9-MG3","2019_189","GOM",3,4,2019,3,0.25,NA
"178","SL18-UCONN-S19","SL18-LD-1-FG2xSA18-CB-4-MG3","SL18-LD-1-FG2","SA18-CB-4-MG3","2019_19","GOM",3,3,2019,3,0.46,"0.23966"
"179","SL18-UCONN-S190","SL18-SF-17-FG1xSL18-LL-9-MG1","SL18-SF-17-FG1","SL18-LL-9-MG1","2019_190","GOM",1,9,2019,2,0.1,NA
"181","SL18-UCONN-S192","SL18-SF-17-FG3xSA18-CB-10-MG1","SL18-SF-17-FG3","SA18-CB-10-MG1","2019_192","GOM",1,1,2019,3,0.32,"0.177376"
"182","SL18-UCONN-S193","SL18-SF-17-FG3xSA18-CB-3-MG3","SL18-SF-17-FG3","SA18-CB-3-MG3","2019_193","GOM",1,4,2019,3,0.17,NA
"8","SL18-UCONN-S194","SL18-SF-17-FG3xSL18-LD-2-MG1","SL18-SF-17-FG3","SL18-LD-2-MG1","2019_194","GOM",4,6,2019,2,0.15,"0.083595"
"183","SL18-UCONN-S195","SL18-SF-17-FG3xSL18-NL-10-MG2","SL18-SF-17-FG3","SL18-NL-10-MG2","2019_195","GOM",1,8,2019,2,0.06,NA
"184","SL18-UCONN-S196","SL18-SF-17-FG3xSL18-NL-2-MG3","SL18-SF-17-FG3","SL18-NL-2-MG3","2019_196","GOM",4,4,2019,3,0.22,NA
"185","SL18-UCONN-S197","SL18-SF-17-FG3xSL18-NL-9-MG1","SL18-SF-17-FG3","SL18-NL-9-MG1","2019_197","GOM",4,9,2019,3,0.24,"0.12648"
"186","SL18-UCONN-S198","SL18-SF-17-FG3xSL18-OI-7-MG1","SL18-SF-17-FG3","SL18-OI-7-MG1","2019_198","GOM",2,9,2019,3,0.23,"0.122452"
"187","SL18-UCONN-S199","SL18-SF-17-FG3xSL18-OI-9-MG3","SL18-SF-17-FG3","SL18-OI-9-MG3","2019_199","GOM",2,9,2019,3,0.26,"0.134862"
"188","SL18-UCONN-S2","SA18-CB-10-FG2xSL18-LL-9-MG1","SA18-CB-10-FG2","SL18-LL-9-MG1","2019_2","GOM",4,6,2019,3,0.2,NA
"189","SL18-UCONN-S20","SL18-LD-1-FG2xSL18-SF-13-MG3","SL18-LD-1-FG2","SL18-SF-13-MG3","2019_20","GOM",3,6,2019,3,0.22,NA
"192","SL18-UCONN-S21","SL18-LD-1-FG2xSL18-SF-15-MG1","SL18-LD-1-FG2","SL18-SF-15-MG1","2019_21","GOM",2,6,2019,3,0.27,NA
"194","SL18-UCONN-S23","SL18-LD-1-FG3xSL18-NL-5-MG1","SL18-LD-1-FG3","SL18-NL-5-MG1","2019_23","GOM",4,7,2019,2,0.1,NA
"195","SL18-UCONN-S24","SL18-LD-1-FG3xSL18-OI-11-MG2","SL18-LD-1-FG3","SL18-OI-11-MG2","2019_24","GOM",2,3,2019,3,0.3,"0.16278"
"196","SL18-UCONN-S25","SL18-LD-1-FG3xSL18-OI-15-MG1","SL18-LD-1-FG3","SL18-OI-15-MG1","2019_25","GOM",1,6,2019,3,0.14,NA
"197","SL18-UCONN-S26","SL18-LD-1-FG3xSL18-OI-16-MG1","SL18-LD-1-FG3","SL18-OI-16-MG1","2019_26","GOM",4,9,2019,3,0.11,NA
"198","SL18-UCONN-S27","SL18-LD-1-FG3xSL18-OI-6-MG2","SL18-LD-1-FG3","SL18-OI-6-MG2","2019_27","GOM",1,6,2019,3,0.16,NA
"199","SL18-UCONN-S28","SL18-LD-1-FG3xSL18-OI-7-MG1","SL18-LD-1-FG3","SL18-OI-7-MG1","2019_28","GOM",2,7,2019,3,0.19,NA
"200","SL18-UCONN-S29","SL18-LD-1-FG3xSL18-OI-9-MG3","SL18-LD-1-FG3","SL18-OI-9-MG3","2019_29","GOM",1,7,2019,3,0.2,NA
"201","SL18-UCONN-S3","SA18-CB-4-FG3xSA18-CB-4-MG3","SA18-CB-4-FG3","SA18-CB-4-MG3","2019_3","GOM",1,9,2019,3,0.22,"0.10637"
