"","tmp.BLUPs","drBLUPs"
"CrossesSA18-CB-10-FG1xSL18-SF-19-MG2",0.0537525860463417,0.0577786894776011
"CrossesSA18-CB-10-FG2xSL18-LL-9-MG1",0,NA
"CrossesSA18-CB-4-FG3xSA18-CB-4-MG3",-0.0708618386104319,-0.0725255088717271
"CrossesSA18-CB-7-FG1xSL18-LL-9-MG3",0.0199620602149134,0.0214572314250387
"CrossesSL18-LD-1-FG1xSL18-NL-2-MG2",-0.0764505756538225,-0.0806434776078368
"CrossesSL18-LD-1-FG1xSL18-OI-18-MG1",0,NA
"CrossesSL18-LD-1-FG2xSA18-CB-4-MG3",0.108507327853388,0.112359029847658
"CrossesSL18-LD-1-FG2xSL18-SF-13-MG3",0,NA
"CrossesSL18-LD-1-FG2xSL18-SF-15-MG1",0,NA
"CrossesSL18-LD-1-FG3xSL18-NL-5-MG1",0,NA
"CrossesSL18-LD-1-FG3xSL18-NL-9-MG2",0,NA
"CrossesSL18-LD-1-FG3xSL18-OI-11-MG2",-0.0147147786633103,-0.015330743307558
"CrossesSL18-LD-1-FG3xSL18-OI-15-MG1",0,NA
"CrossesSL18-LD-1-FG3xSL18-OI-15-MG2",0,NA
"CrossesSL18-LD-1-FG3xSL18-OI-16-MG1",0,NA
"CrossesSL18-LD-1-FG3xSL18-OI-6-MG2",0,NA
"CrossesSL18-LD-1-FG3xSL18-OI-7-MG1",0,NA
"CrossesSL18-LD-1-FG3xSL18-OI-9-MG3",0,NA
"CrossesSL18-LD-10-FG1xSA18-CB-1-MG2",0,NA
"CrossesSL18-LD-10-FG1xSL18-OI-18-MG1",0,NA
"CrossesSL18-LD-10-FG1xSL18-OI-4-MG1",-0.0443420572656316,-0.045383105077036
"CrossesSL18-LD-10-FG2xSA18-CB-7-MG2",0.00612731386246465,0.00649209793311535
"CrossesSL18-LD-10-FG2xSL18-NL-3-MG2",0,NA
"CrossesSL18-LD-13-FG2xSL18-LD-13-MG2",-0.0249546089035223,-0.0264402588998588
"CrossesSL18-LD-2-FG2xSA18-CB-3-MG3",0,NA
"CrossesSL18-LD-2-FG2xSL18-LL-9-MG2",-0.0447659261059366,-0.0472210958340596
"CrossesSL18-LD-2-FG2xSL18-NL-9-MG1",0,NA
"CrossesSL18-LD-2-FG2xSL18-SF-19-MG1",0.00610781231975533,0.00632462231183637
"CrossesSL18-LD-3-FG1xSL18-NL-9-MG1",0,NA
"CrossesSL18-LD-3-FG1xSL18-SF-19-MG2",0,NA
"CrossesSL18-LD-3-FG2xSA18-CB-2-MG3",0,NA
"CrossesSL18-LD-3-FG2xSL18-LL-9-MG2",0,NA
"CrossesSL18-LD-3-FG2xSL18-SF-17-MG3",0,NA
"CrossesSL18-LD-4-FG1xSA18-CB-2-MG1",0,NA
"CrossesSL18-LD-4-FG1xSL18-NL-3-MG2",0,NA
"CrossesSL18-LD-4-FG2xSL18-LL-9-MG1",0,NA
"CrossesSL18-LD-4-FG2xSL18-SF-15-MG2",0,NA
"CrossesSL18-LD-4-FG3xSL18-SF-17-MG1",0,NA
"CrossesSL18-LD-5-FG1xSA18-CB-10-MG1",-0.113183902088655,-0.122275329778127
"CrossesSL18-LD-9-FG2xSL18-SF-13-MG3",0,NA
"CrossesSL18-LD-9-FG3xSL18-NL-7-MG1",0,NA
"CrossesSL18-LD-9-FG3xSL18-SF-17-MG1",-0.0192129542678684,-0.0204730597936339
"CrossesSL18-LL-9-FG3xSL18-NL-9-MG1",0,NA
"CrossesSL18-ME-1-FG1xSL18-ME-1-MG1",-1.79761206024773e-17,-Inf
"CrossesSL18-ME-1-FG1xSL18-ME-2-MG2",8.88178419700125e-16,Inf
"CrossesSL18-NL-10-FG1xSA18-CB-4-MG3",0,NA
"CrossesSL18-NL-10-FG1xSL18-LD-2-MG1",0,NA
"CrossesSL18-NL-10-FG1xSL18-OI-15-MG1",0.00621467952569585,0.00643528300010096
"CrossesSL18-NL-10-FG1xSL18-OI-7-MG1",0.0123555129803834,0.013347962001442
"CrossesSL18-NL-10-FG1xSL18-SF-13-MG1",-0.022632734034683,-0.0236378155730791
"CrossesSL18-NL-10-FG3xSL18-NL-3-MG2",0,NA
"CrossesSL18-NL-2-FG1xSA18-CB-1-MG2",0.0146578842740211,0.0151632874010732
"CrossesSL18-NL-2-FG1xSL18-LD-13-MG2",0,NA
"CrossesSL18-NL-2-FG1xSL18-SF-17-MG1",0.0447959298867646,0.0437677726577145
"CrossesSL18-NL-2-FG3xSA18-CB-2-MG3",0,NA
"CrossesSL18-NL-2-FG3xSA18-CB-4-MG1",0,NA
"CrossesSL18-NL-2-FG3xSL18-LD-3-MG2",0,NA
"CrossesSL18-NL-2-FG3xSL18-OI-16-MG1",0,NA
"CrossesSL18-NL-3-FG1xSA18-CB-7-MG2",0.0347960735802328,0.0360312353767046
"CrossesSL18-NL-3-FG1xSL18-OI-11-MG2",0,NA
"CrossesSL18-NL-3-FG1xSL18-SF-13-MG2",0,NA
"CrossesSL18-NL-3-FG2xSL18-SF-17-MG2",0.0731477584066129,0.0674927119784893
"CrossesSL18-NL-3-FG3xSA18-CB-2-MG2",0,NA
"CrossesSL18-NL-6-FG1xSA18-CB-3-MG3",-0.0245098497462987,-0.0239472991024503
"CrossesSL18-NL-6-FG1xSA18-CB-7-MG2",0.0766743993710777,0.0812391401604501
"CrossesSL18-NL-6-FG1xSL18-LD-1-MG2",0,NA
"CrossesSL18-NL-6-FG1xSL18-LD-2-MG1",0,NA
"CrossesSL18-NL-6-FG1xSL18-LD-3-MG2",-0.00780228644589142,-0.00814877282495749
"CrossesSL18-NL-6-FG1xSL18-NL-2-MG1",0,NA
"CrossesSL18-NL-6-FG1xSL18-OI-11-MG2",0,NA
"CrossesSL18-NL-6-FG1xSL18-OI-14-MG2",0.0484375677256989,0.0473285276093139
"CrossesSL18-NL-6-FG1xSL18-OI-15-MG1",0.0637439481622646,0.0652405070009099
"CrossesSL18-NL-6-FG1xSL18-OI-16-MG1",0.0222272594601695,0.0235505391822938
"CrossesSL18-NL-6-FG1xSL18-SF-17-MG1",0.0798591117611083,0.0846134515126955
"CrossesSL18-NL-6-FG1xSL18-SF-19-MG2",0,NA
"CrossesSL18-NL-9-FG2xSA18-CB-7-MG1",0,NA
"CrossesSL18-NL-9-FG2xSL18-SF-19-MG1",0,NA
"CrossesSL18-OI-11-FG1xSL18-SF-15-MG2",0,NA
"CrossesSL18-OI-15-FG1xSA18-CB-2-MG3",0.0753083862872521,0.073579906446225
"CrossesSL18-OI-15-FG1xSL18-NL-5-MG1",0,NA
"CrossesSL18-OI-15-FG1xSL18-SF-15-MG1",0.0755043349161702,0.0696671017763378
"CrossesSL18-OI-16-FG3xSA18-CB-4-MG3",0.0541008514720892,0.0528591274654796
"CrossesSL18-OI-16-FG3xSA18-CB-5-MG3",0,NA
"CrossesSL18-OI-16-FG3xSL18-LD-3-MG2",0,NA
"CrossesSL18-OI-16-FG3xSL18-NL-6-MG1",0,NA
"CrossesSL18-OI-16-FG3xSL18-SF-17-MG2",0.0367859037042831,0.0359436433505725
"CrossesSL18-OI-17-FG1xSL18-SF-13-MG2",0.0588736034788153,0.0613380685619924
"CrossesSL18-OI-17-FG2xSL18-SF-17-MG2",-0.197741492416438,-0.193213947825314
"CrossesSL18-OI-18-FG1xSL18-OI-9-MG3",0.00433411340597804,0.00460686538831666
"CrossesSL18-OI-18-FG2xSA18-CB-7-MG1",0.0134882484060777,0.0142912590351982
"CrossesSL18-OI-18-FG2xSL18-LD-10-MG1",0,NA
"CrossesSL18-OI-18-FG2xSL18-LD-2-MG3",0,NA
"CrossesSL18-OI-18-FG2xSL18-LD-9-MG1",0,NA
"CrossesSL18-OI-18-FG2xSL18-NL-2-MG2",0,NA
"CrossesSL18-OI-18-FG3xSL18-LL-9-MG1",0,NA
"CrossesSL18-OI-18-FG3xSL18-OI-7-MG1",0,NA
"CrossesSL18-OI-18-FG5xSA18-CB-4-MG3",0,NA
"CrossesSL18-OI-18-FG5xSL18-LD-2-MG1",-0.0331324019287265,-0.034603756005978
"CrossesSL18-OI-18-FG5xSL18-SF-15-MG2",0.112135555521165,0.114768236137597
"CrossesSL18-OI-18-FG6xSA18-CB-1-MG2",0,NA
"CrossesSL18-OI-18-FG6xSL18-NL-6-MG1",-0.084708185694968,-0.0867257052053784
"CrossesSL18-OI-2-FG2xSL18-LD-1-MG2",0,NA
"CrossesSL18-OI-2-FG3xSL18-NL-9-MG1",0,NA
"CrossesSL18-OI-2-FG3xSL18-SF-17-MG1",0,NA
"CrossesSL18-OI-6-FG1xSA18-CB-2-MG1",0,NA
"CrossesSL18-OI-6-FG1xSA18-CB-4-MG1",0,NA
"CrossesSL18-OI-6-FG1xSL18-LD-13-MG2",-0.0625570211366114,-0.065175675086581
"CrossesSL18-OI-6-FG1xSL18-LD-2-MG1",0,NA
"CrossesSL18-OI-6-FG1xSL18-LD-5-MG1",0,NA
"CrossesSL18-OI-6-FG1xSL18-NL-9-MG1",0,NA
"CrossesSL18-OI-6-FG1xSL18-SF-15-MG1",0,NA
"CrossesSL18-OI-6-FG1xSL18-SF-19-MG1",0,NA
"CrossesSL18-OI-7-FG3xSA18-CB-2-MG3",0,NA
"CrossesSL18-OI-9-FG1xSL18-LL-9-MG2",-0.075751858438348,-0.0783637787823095
"CrossesSL18-SF-13-FG1xSL18-LL-9-MG3",0,NA
"CrossesSL18-SF-17-FG1xSL18-LL-9-MG1",0,NA
"CrossesSL18-SF-17-FG3xSA18-CB-10-MG1",0.0142201782178469,0.0151150744595503
"CrossesSL18-SF-17-FG3xSA18-CB-3-MG3",0,NA
"CrossesSL18-SF-17-FG3xSL18-LD-2-MG1",-0.103486604076885,-0.108082269588156
"CrossesSL18-SF-17-FG3xSL18-NL-10-MG2",0,NA
"CrossesSL18-SF-17-FG3xSL18-NL-2-MG3",0,NA
"CrossesSL18-SF-17-FG3xSL18-NL-9-MG1",-0.045308025811564,-0.0461813124452607
"CrossesSL18-SF-17-FG3xSL18-OI-7-MG1",-0.0336874119584827,-0.0348489522618322
"CrossesSL18-SF-17-FG3xSL18-OI-9-MG3",-0.0163138875924969,-0.0168763896323197
