X,GID,P1,P2,TraitBLUE,Year,CV
486,SA18-CB-10-FG1xSL18-SF-19-MG2,SA18-CB-10-FG1,SL18-SF-19-MG2,NA,2019,10
657,SA18-CB-10-FG2xSL18-LL-9-MG1,SA18-CB-10-FG2,SL18-LL-9-MG1,-0.168129124,2019,1
1384,SA18-CB-4-FG3xSA18-CB-4-MG3,SA18-CB-4-FG3,SA18-CB-4-MG3,-0.168127888,2019,1
3399,SA18-CB-7-FG1xSL18-LL-9-MG3,SA18-CB-7-FG1,SL18-LL-9-MG3,-0.04,2019,7
23976,SL18-LD-1-FG1xSL18-NL-2-MG2,SL18-LD-1-FG1,SL18-NL-2-MG2,-0.408129124,2019,2
24018,SL18-LD-1-FG1xSL18-OI-18-MG1,SL18-LD-1-FG1,SL18-OI-18-MG1,-0.398129124,2019,6
24127,SL18-LD-1-FG2xSA18-CB-4-MG3,SL18-LD-1-FG2,SA18-CB-4-MG3,0.004397371,2019,4
24318,SL18-LD-1-FG2xSL18-SF-13-MG3,SL18-LD-1-FG2,SL18-SF-13-MG3,-0.1587171,2019,1
24319,SL18-LD-1-FG2xSL18-SF-15-MG1,SL18-LD-1-FG2,SL18-SF-15-MG1,-0.065006549,2019,9
24528,SL18-LD-1-FG3xSL18-NL-5-MG1,SL18-LD-1-FG3,SL18-NL-5-MG1,-0.353122575,2019,2
24538,SL18-LD-1-FG3xSL18-NL-9-MG2,SL18-LD-1-FG3,SL18-NL-9-MG2,-0.3726914,2019,6
24553,SL18-LD-1-FG3xSL18-OI-11-MG2,SL18-LD-1-FG3,SL18-OI-11-MG2,-0.111892078,2019,3
24558,SL18-LD-1-FG3xSL18-OI-15-MG1,SL18-LD-1-FG3,SL18-OI-15-MG1,-0.107551773,2019,10
24559,SL18-LD-1-FG3xSL18-OI-15-MG2,SL18-LD-1-FG3,SL18-OI-15-MG2,-0.206963797,2019,6
24561,SL18-LD-1-FG3xSL18-OI-16-MG1,SL18-LD-1-FG3,SL18-OI-16-MG1,-0.398705239,2019,7
24576,SL18-LD-1-FG3xSL18-OI-6-MG2,SL18-LD-1-FG3,SL18-OI-6-MG2,-0.087551773,2019,2
24577,SL18-LD-1-FG3xSL18-OI-7-MG1,SL18-LD-1-FG3,SL18-OI-7-MG1,-0.23,2019,3
24581,SL18-LD-1-FG3xSL18-OI-9-MG3,SL18-LD-1-FG3,SL18-OI-9-MG3,-0.132545225,2019,2
24664,SL18-LD-10-FG1xSA18-CB-1-MG2,SL18-LD-10-FG1,SA18-CB-1-MG2,-0.233279376,2019,10
24840,SL18-LD-10-FG1xSL18-OI-18-MG1,SL18-LD-10-FG1,SL18-OI-18-MG1,-0.374418572,2019,1
24844,SL18-LD-10-FG1xSL18-OI-4-MG1,SL18-LD-10-FG1,SL18-OI-4-MG1,-0.289293215,2019,2
24952,SL18-LD-10-FG2xSA18-CB-7-MG2,SL18-LD-10-FG2,SA18-CB-7-MG2,0.044993451,2019,8
25075,SL18-LD-10-FG2xSL18-NL-3-MG2,SL18-LD-10-FG2,SL18-NL-3-MG2,-0.424418572,2019,2
25856,SL18-LD-13-FG2xSL18-LD-13-MG2,SL18-LD-13-FG2,SL18-LD-13-MG2,-0.037731869,2019,1
26043,SL18-LD-2-FG2xSA18-CB-3-MG3,SL18-LD-2-FG2,SA18-CB-3-MG3,-0.21,2019,6
26142,SL18-LD-2-FG2xSL18-LL-9-MG2,SL18-LD-2-FG2,SL18-LL-9-MG2,-0.294418572,2019,2
26182,SL18-LD-2-FG2xSL18-NL-9-MG1,SL18-LD-2-FG2,SL18-NL-9-MG1,-0.3387171,2019,8
26244,SL18-LD-2-FG2xSL18-SF-19-MG1,SL18-LD-2-FG2,SL18-SF-19-MG1,-0.017584899,2019,4
27005,SL18-LD-3-FG1xSL18-NL-9-MG1,SL18-LD-3-FG1,SL18-NL-9-MG1,-0.369977851,2019,9
27067,SL18-LD-3-FG1xSL18-SF-19-MG2,SL18-LD-3-FG1,SL18-SF-19-MG2,-0.278705239,2019,6
27137,SL18-LD-3-FG2xSA18-CB-2-MG3,SL18-LD-3-FG2,SA18-CB-2-MG3,-0.1494005,2019,8
27239,SL18-LD-3-FG2xSL18-LL-9-MG2,SL18-LD-3-FG2,SL18-LL-9-MG2,-0.258965217,2019,1
27339,SL18-LD-3-FG2xSL18-SF-17-MG3,SL18-LD-3-FG2,SL18-SF-17-MG3,-0.316855276,2019,6
27683,SL18-LD-4-FG1xSA18-CB-2-MG1,SL18-LD-4-FG1,SA18-CB-2-MG1,-0.285582663,2019,10
27817,SL18-LD-4-FG1xSL18-NL-3-MG2,SL18-LD-4-FG1,SL18-NL-3-MG2,-0.353279376,2019,9
28060,SL18-LD-4-FG2xSL18-LL-9-MG1,SL18-LD-4-FG2,SL18-LL-9-MG1,-0.294397709,2019,8
28158,SL18-LD-4-FG2xSL18-SF-15-MG2,SL18-LD-4-FG2,SL18-SF-15-MG2,-0.191852484,2019,10
28433,SL18-LD-4-FG3xSL18-SF-17-MG1,SL18-LD-4-FG3,SL18-SF-17-MG1,-0.235254665,2019,6
28503,SL18-LD-5-FG1xSA18-CB-10-MG1,SL18-LD-5-FG1,SA18-CB-10-MG1,-0.1994005,2019,9
29526,SL18-LD-9-FG2xSL18-SF-13-MG3,SL18-LD-9-FG2,SL18-SF-13-MG3,-0.295254665,2019,10
29743,SL18-LD-9-FG3xSL18-NL-7-MG1,SL18-LD-9-FG3,SL18-NL-7-MG1,-0.2587171,2019,5
29803,SL18-LD-9-FG3xSL18-SF-17-MG1,SL18-LD-9-FG3,SL18-SF-17-MG1,-0.163122575,2019,2
30841,SL18-LL-9-FG3xSL18-NL-9-MG1,SL18-LL-9-FG3,SL18-NL-9-MG1,-0.324437302,2019,10
35637,SL18-NL-10-FG1xSA18-CB-4-MG3,SL18-NL-10-FG1,SA18-CB-4-MG3,-0.215602629,2019,6
35723,SL18-NL-10-FG1xSL18-LD-2-MG1,SL18-NL-10-FG1,SL18-LD-2-MG1,-0.379568825,2019,4
35794,SL18-NL-10-FG1xSL18-OI-15-MG1,SL18-NL-10-FG1,SL18-OI-15-MG1,0.055562698,2019,10
35813,SL18-NL-10-FG1xSL18-OI-7-MG1,SL18-NL-10-FG1,SL18-OI-7-MG1,-0.076855276,2019,6
35824,SL18-NL-10-FG1xSL18-SF-13-MG1,SL18-NL-10-FG1,SL18-SF-13-MG1,-0.108377241,2019,3
36311,SL18-NL-10-FG3xSL18-NL-3-MG2,SL18-NL-10-FG3,SL18-NL-3-MG2,-0.292545225,2019,7
36448,SL18-NL-2-FG1xSA18-CB-1-MG2,SL18-NL-2-FG1,SA18-CB-1-MG2,-0.095582663,2019,5
36543,SL18-NL-2-FG1xSL18-LD-13-MG2,SL18-NL-2-FG1,SL18-LD-13-MG2,-0.153710552,2019,8
36653,SL18-NL-2-FG1xSL18-SF-17-MG1,SL18-NL-2-FG1,SL18-SF-17-MG1,-0.085563036,2019,3
37001,SL18-NL-2-FG3xSA18-CB-2-MG3,SL18-NL-2-FG3,SA18-CB-2-MG3,-0.397541148,2019,3
37006,SL18-NL-2-FG3xSA18-CB-4-MG1,SL18-NL-2-FG3,SA18-CB-4-MG1,-0.278974948,2019,1
37098,SL18-NL-2-FG3xSL18-LD-3-MG2,SL18-NL-2-FG3,SL18-LD-3-MG2,-0.329977851,2019,10
37168,SL18-NL-2-FG3xSL18-OI-16-MG1,SL18-NL-2-FG3,SL18-OI-16-MG1,-0.145014653,2019,8
37285,SL18-NL-3-FG1xSA18-CB-7-MG2,SL18-NL-3-FG1,SA18-CB-7-MG2,-0.075445765,2019,5
37435,SL18-NL-3-FG1xSL18-OI-11-MG2,SL18-NL-3-FG1,SL18-OI-11-MG2,-0.23497506,2019,5
37473,SL18-NL-3-FG1xSL18-SF-13-MG2,SL18-NL-3-FG1,SL18-SF-13-MG2,-0.238377241,2019,9
37752,SL18-NL-3-FG2xSL18-SF-17-MG2,SL18-NL-3-FG2,SL18-SF-17-MG2,-0.0226914,2019,5
37824,SL18-NL-3-FG3xSA18-CB-2-MG2,SL18-NL-3-FG3,SA18-CB-2-MG2,-0.3126914,2019,8
38650,SL18-NL-6-FG1xSA18-CB-3-MG3,SL18-NL-6-FG1,SA18-CB-3-MG3,0.018147516,2019,7
38656,SL18-NL-6-FG1xSA18-CB-7-MG2,SL18-NL-6-FG1,SA18-CB-7-MG2,0.124993451,2019,3
38734,SL18-NL-6-FG1xSL18-LD-1-MG2,SL18-NL-6-FG1,SL18-LD-1-MG2,-0.194397709,2019,9
38739,SL18-NL-6-FG1xSL18-LD-2-MG1,SL18-NL-6-FG1,SL18-LD-2-MG1,-0.135254665,2019,5
38743,SL18-NL-6-FG1xSL18-LD-3-MG2,SL18-NL-6-FG1,SL18-LD-3-MG2,-0.098965217,2019,6
38775,SL18-NL-6-FG1xSL18-NL-2-MG1,SL18-NL-6-FG1,SL18-NL-2-MG1,-0.007551773,2019,5
38805,SL18-NL-6-FG1xSL18-OI-11-MG2,SL18-NL-6-FG1,SL18-OI-11-MG2,-0.3726914,2019,5
38809,SL18-NL-6-FG1xSL18-OI-14-MG2,SL18-NL-6-FG1,SL18-OI-14-MG2,0.105602291,2019,10
38810,SL18-NL-6-FG1xSL18-OI-15-MG1,SL18-NL-6-FG1,SL18-OI-15-MG1,0.081872112,2019,1
38813,SL18-NL-6-FG1xSL18-OI-16-MG1,SL18-NL-6-FG1,SL18-OI-16-MG1,0.02220011,2019,3
38847,SL18-NL-6-FG1xSL18-SF-17-MG1,SL18-NL-6-FG1,SL18-SF-17-MG1,0.09220011,2019,7
38851,SL18-NL-6-FG1xSL18-SF-19-MG2,SL18-NL-6-FG1,SL18-SF-19-MG2,-0.176963797,2019,8
40030,SL18-NL-9-FG2xSA18-CB-7-MG1,SL18-NL-9-FG2,SA18-CB-7-MG1,-0.148129124,2019,7
40225,SL18-NL-9-FG2xSL18-SF-19-MG1,SL18-NL-9-FG2,SL18-SF-19-MG1,-0.180565827,2019,8
42413,SL18-OI-11-FG1xSL18-SF-15-MG2,SL18-OI-11-FG1,SL18-SF-15-MG2,-0.186855276,2019,8
42763,SL18-OI-15-FG1xSA18-CB-2-MG3,SL18-OI-15-FG1,SA18-CB-2-MG3,-0.031846901,2019,2
42896,SL18-OI-15-FG1xSL18-NL-5-MG1,SL18-OI-15-FG1,SL18-NL-5-MG1,-0.27211405,2019,4
42961,SL18-OI-15-FG1xSL18-SF-15-MG1,SL18-OI-15-FG1,SL18-SF-15-MG1,0.04788595,2019,5
44413,SL18-OI-16-FG3xSA18-CB-4-MG3,SL18-OI-16-FG3,SA18-CB-4-MG3,-0.085563036,2019,4
44414,SL18-OI-16-FG3xSA18-CB-5-MG3,SL18-OI-16-FG3,SA18-CB-5-MG3,-0.318127888,2019,4
44503,SL18-OI-16-FG3xSL18-LD-3-MG2,SL18-OI-16-FG3,SL18-LD-3-MG2,-0.134437302,2019,7
44544,SL18-OI-16-FG3xSL18-NL-6-MG1,SL18-OI-16-FG3,SL18-NL-6-MG1,-0.283279376,2019,5
44608,SL18-OI-16-FG3xSL18-SF-17-MG2,SL18-OI-16-FG3,SL18-SF-17-MG2,-0.034397709,2019,6
44877,SL18-OI-17-FG1xSL18-SF-13-MG2,SL18-OI-17-FG1,SL18-SF-13-MG2,0.018107922,2019,7
45156,SL18-OI-17-FG2xSL18-SF-17-MG2,SL18-OI-17-FG2,SL18-SF-17-MG2,-0.334397709,2019,6
45689,SL18-OI-18-FG1xSL18-OI-9-MG3,SL18-OI-18-FG1,SL18-OI-9-MG3,-0.126963797,2019,7
45785,SL18-OI-18-FG2xSA18-CB-7-MG1,SL18-OI-18-FG2,SA18-CB-7-MG1,-0.005006549,2019,3
45866,SL18-OI-18-FG2xSL18-LD-10-MG1,SL18-OI-18-FG2,SL18-LD-10-MG1,-0.198705239,2019,9
45871,SL18-OI-18-FG2xSL18-LD-2-MG3,SL18-OI-18-FG2,SL18-LD-2-MG3,-0.369568825,2019,2
45876,SL18-OI-18-FG2xSL18-LD-9-MG1,SL18-OI-18-FG2,SL18-LD-9-MG1,-0.298129124,2019,8
45906,SL18-OI-18-FG2xSL18-NL-2-MG2,SL18-OI-18-FG2,SL18-NL-2-MG2,-0.235014653,2019,10
46152,SL18-OI-18-FG3xSL18-LL-9-MG1,SL18-OI-18-FG3,SL18-LL-9-MG1,-0.27211405,2019,6
46233,SL18-OI-18-FG3xSL18-OI-7-MG1,SL18-OI-18-FG3,SL18-OI-7-MG1,-0.307541148,2019,2
46331,SL18-OI-18-FG5xSA18-CB-4-MG3,SL18-OI-18-FG5,SA18-CB-4-MG3,-0.280565827,2019,9
46417,SL18-OI-18-FG5xSL18-LD-2-MG1,SL18-OI-18-FG5,SL18-LD-2-MG1,-0.0987171,2019,8
46524,SL18-OI-18-FG5xSL18-SF-15-MG2,SL18-OI-18-FG5,SL18-SF-15-MG2,-0.009293215,2019,7
46594,SL18-OI-18-FG6xSA18-CB-1-MG2,SL18-OI-18-FG6,SA18-CB-1-MG2,0.022448227,2019,4
46736,SL18-OI-18-FG6xSL18-NL-6-MG1,SL18-OI-18-FG6,SL18-NL-6-MG1,-0.353279376,2019,2
46960,SL18-OI-2-FG2xSL18-LD-1-MG2,SL18-OI-2-FG2,SL18-LD-1-MG2,-0.305254665,2019,4
47289,SL18-OI-2-FG3xSL18-NL-9-MG1,SL18-OI-2-FG3,SL18-NL-9-MG1,-0.369568825,2019,10
47347,SL18-OI-2-FG3xSL18-SF-17-MG1,SL18-OI-2-FG3,SL18-SF-17-MG1,-0.32497506,2019,9
48241,SL18-OI-6-FG1xSA18-CB-2-MG1,SL18-OI-6-FG1,SA18-CB-2-MG1,-0.2594005,2019,3
48247,SL18-OI-6-FG1xSA18-CB-4-MG1,SL18-OI-6-FG1,SA18-CB-4-MG1,-0.1394005,2019,1
48333,SL18-OI-6-FG1xSL18-LD-13-MG2,SL18-OI-6-FG1,SL18-LD-13-MG2,-0.251892078,2019,3
48335,SL18-OI-6-FG1xSL18-LD-2-MG1,SL18-OI-6-FG1,SL18-LD-2-MG1,-0.337541148,2019,8
