"Env","EID","GID","kwt","d2b","GY","PH","M","UID","P1","P2","CV0","CV1","CV2","kwt_NI","d2b_NI","GY_NI","PH_NI"
"dhule",1,"B108 x R11",8.460140484,53.14389717,1831.154809,180.3408793,"H",1,"B108","R11",1,1,5,8.460140484,53.14389717,1831.154809,180.3408793
"dhule",1,"B108 x R110",7.870559468,55.47384914,2365.744454,186.727451,"H",2,"B108","R110",1,1,2,7.870559468,55.47384914,2365.744454,186.727451
"dhule",1,"B108 x R115",7.806896128,57.28624055,2019.043293,194.3098813,"H",3,"B108","R115",1,2,4,7.806896128,57.28624055,2019.043293,194.3098813
"dhule",1,"B108 x R151",8.485476677,55.46080978,2072.901926,191.3626996,"H",4,"B108","R151",1,5,5,8.485476677,55.46080978,2072.901926,191.3626996
"dhule",1,"B108 x R157",10.16678124,54.64192353,2563.002906,193.0159375,"H",5,"B108","R157",1,2,5,10.16678124,54.64192353,2563.002906,193.0159375
"dhule",1,"B108 x R167",7.449647385,57.90901052,2197.155058,198.941303,"H",6,"B108","R167",1,2,5,7.449647385,57.90901052,2197.155058,198.941303
"dhule",1,"B108 x R171",9.532246287,57.2952746,2370.166701,200.0707146,"H",7,"B108","R171",1,2,5,9.532246287,57.2952746,2370.166701,200.0707146
"dhule",1,"B108 x R177",6.858780418,56.33649156,1576.559175,191.6524345,"H",8,"B108","R177",1,3,1,6.858780418,56.33649156,1576.559175,191.6524345
"dhule",1,"B108 x R183",8.555715379,53.23529079,2101.317179,189.2347613,"H",9,"B108","R183",1,4,1,8.555715379,53.23529079,2101.317179,189.2347613
"dhule",1,"B108 x R187",6.917303567,57.29595872,1866.458667,179.7464433,"H",10,"B108","R187",1,1,4,6.917303567,57.29595872,1866.458667,179.7464433
"dhule",1,"B108 x R2",9.456066868,55.91264629,2900.113369,193.1496619,"H",11,"B108","R2",1,5,5,9.456066868,55.91264629,2900.113369,193.1496619
"dhule",1,"B108 x R21",7.03678646,58.03939611,1839.413352,142.13423,"H",12,"B108","R21",1,4,2,7.03678646,58.03939611,1839.413352,142.13423
"dhule",1,"B108 x R3",9.078364935,55.78595091,1929.309008,147.5219387,"H",13,"B108","R3",1,2,1,9.078364935,55.78595091,1929.309008,147.5219387
"dhule",1,"B108 x R69",9.140893117,56.8621028,2173.026213,201.6275762,"H",14,"B108","R69",1,3,3,9.140893117,56.8621028,2173.026213,201.6275762
"dhule",1,"B108 x R70",8.996276019,55.12683865,2355.386833,180.1021293,"H",15,"B108","R70",1,3,2,8.996276019,55.12683865,2355.386833,180.1021293
"dhule",1,"B108 x R75",8.210905988,56.93412609,1393.695271,162.638467,"H",16,"B108","R75",1,4,5,8.210905988,56.93412609,1393.695271,162.638467
"dhule",1,"B108 x R80",9.360492042,57.44649849,2260.510061,193.4581082,"H",17,"B108","R80",1,2,2,9.360492042,57.44649849,2260.510061,193.4581082
"dhule",1,"B108 x R9",10.18617796,53.19258102,2171.634876,186.3661884,"H",18,"B108","R9",1,3,4,10.18617796,53.19258102,2171.634876,186.3661884
"dhule",1,"B110 x R11",9.949329377,52.56300053,2813.960551,183.3613339,"H",19,"B110","R11",1,4,4,9.949329377,52.56300053,2813.960551,183.3613339
"dhule",1,"B110 x R110",9.443575746,57.14735572,2427.462315,202.8612852,"H",20,"B110","R110",1,2,1,9.443575746,57.14735572,2427.462315,202.8612852
"dhule",1,"B110 x R115",8.483508965,58.20980102,2256.094422,208.2301056,"H",21,"B110","R115",1,1,5,8.483508965,58.20980102,2256.094422,208.2301056
"dhule",1,"B110 x R151",9.201044141,55.26076281,1904.245794,202.596067,"H",22,"B110","R151",1,1,4,9.201044141,55.26076281,1904.245794,202.596067
"dhule",1,"B110 x R157",10.27682855,55.73946841,2443.252768,210.5485335,"H",23,"B110","R157",1,5,5,10.27682855,55.73946841,2443.252768,210.5485335
"dhule",1,"B110 x R167",9.31905613,56.17146714,3303.949871,193.1712828,"H",24,"B110","R167",1,3,2,9.31905613,56.17146714,3303.949871,193.1712828
"dhule",1,"B110 x R171",9.348556599,57.32597574,3012.944795,207.6945693,"H",25,"B110","R171",1,1,4,9.348556599,57.32597574,3012.944795,207.6945693
"dhule",1,"B110 x R177",8.665996993,55.76867636,1769.312656,181.0161089,"H",26,"B110","R177",1,3,5,8.665996993,55.76867636,1769.312656,181.0161089
"dhule",1,"B110 x R2",9.650269948,58.78736762,2417.389562,198.882708,"H",27,"B110","R2",1,3,1,9.650269948,58.78736762,2417.389562,198.882708
"dhule",1,"B110 x R21",8.284522855,57.39796289,1781.899755,173.7630985,"H",28,"B110","R21",1,1,2,8.284522855,57.39796289,1781.899755,173.7630985
"dhule",1,"B110 x R22",8.632631508,61.61935726,2296.286108,187.3465425,"H",29,"B110","R22",1,5,2,8.632631508,61.61935726,2296.286108,187.3465425
"dhule",1,"B110 x R3",7.654338827,57.19238639,1519.636829,149.193776,"H",30,"B110","R3",1,2,3,7.654338827,57.19238639,1519.636829,149.193776
"dhule",1,"B110 x R69",9.43321954,58.09455462,2409.525377,186.5589691,"H",31,"B110","R69",1,5,2,9.43321954,58.09455462,2409.525377,186.5589691
"dhule",1,"B110 x R70",9.098215818,57.94413124,1758.275526,170.4926942,"H",32,"B110","R70",1,4,4,9.098215818,57.94413124,1758.275526,170.4926942
"dhule",1,"B110 x R80",10.14607334,56.7310087,2693.564428,215.6769744,"H",33,"B110","R80",1,5,4,10.14607334,56.7310087,2693.564428,215.6769744
"dhule",1,"B110 x R83",8.156196981,53.66358018,2585.367013,204.2408752,"H",34,"B110","R83",1,4,4,8.156196981,53.66358018,2585.367013,204.2408752
"dhule",1,"B110 x R9",8.670342157,54.47079304,2260.695945,199.4706073,"H",35,"B110","R9",1,5,2,8.670342157,54.47079304,2260.695945,199.4706073
"dhule",1,"B130 x R11",9.682589268,52.95517508,2199.813182,180.1107572,"H",36,"B130","R11",1,3,2,9.682589268,52.95517508,2199.813182,180.1107572
"dhule",1,"B130 x R110",8.692188325,56.77399423,1936.613789,184.1464865,"H",37,"B130","R110",1,3,3,8.692188325,56.77399423,1936.613789,184.1464865
"dhule",1,"B130 x R115",9.302733258,55.77375876,1939.294292,191.1755637,"H",38,"B130","R115",1,4,1,9.302733258,55.77375876,1939.294292,191.1755637
"dhule",1,"B130 x R151",7.429036999,53.79693778,1802.126725,178.2000787,"H",39,"B130","R151",1,3,4,7.429036999,53.79693778,1802.126725,178.2000787
"dhule",1,"B130 x R157",9.757230881,55.72319472,2470.828781,193.1294657,"H",40,"B130","R157",1,1,5,9.757230881,55.72319472,2470.828781,193.1294657
"dhule",1,"B130 x R167",7.951985679,59.44476492,2235.882352,194.8205748,"H",41,"B130","R167",1,2,4,7.951985679,59.44476492,2235.882352,194.8205748
"dhule",1,"B130 x R171",8.044725293,56.27365994,2323.291065,177.3182924,"H",42,"B130","R171",1,1,1,8.044725293,56.27365994,2323.291065,177.3182924
"dhule",1,"B130 x R177",8.872776787,56.09568086,2057.979624,199.3160197,"H",43,"B130","R177",1,2,2,8.872776787,56.09568086,2057.979624,199.3160197
"dhule",1,"B130 x R183",9.349863951,57.82101787,1906.919519,185.1247766,"H",44,"B130","R183",1,3,5,9.349863951,57.82101787,1906.919519,185.1247766
"dhule",1,"B130 x R187",8.81866117,56.45270207,1916.456611,187.2015844,"H",45,"B130","R187",1,5,3,8.81866117,56.45270207,1916.456611,187.2015844
"dhule",1,"B130 x R2",9.763771687,57.39280117,2125.831722,186.8344449,"H",46,"B130","R2",1,4,2,9.763771687,57.39280117,2125.831722,186.8344449
"dhule",1,"B130 x R21",8.142845591,55.82486074,2387.68293,162.9131729,"H",47,"B130","R21",1,3,1,8.142845591,55.82486074,2387.68293,162.9131729
