"","x"
"1","B108 x R11"
"2","B108 x R110"
"3","B108 x R115"
"4","B108 x R151"
"5","B108 x R157"
"6","B108 x R167"
"7","B108 x R171"
"8","B108 x R177"
"9","B108 x R183"
"10","B108 x R187"
"11","B108 x R2"
"12","B108 x R21"
"13","B108 x R3"
"14","B108 x R69"
"15","B108 x R70"
"16","B108 x R75"
"17","B108 x R80"
"18","B108 x R9"
"19","B110 x R11"
"20","B110 x R110"
"21","B110 x R115"
"22","B110 x R151"
"23","B110 x R157"
"24","B110 x R167"
"25","B110 x R171"
"26","B110 x R177"
"27","B110 x R2"
"28","B110 x R21"
"29","B110 x R22"
"30","B110 x R3"
"31","B110 x R69"
"32","B110 x R70"
"33","B110 x R80"
"34","B110 x R83"
"35","B110 x R9"
"36","B130 x R11"
"37","B130 x R110"
"38","B130 x R115"
"39","B130 x R151"
"40","B130 x R157"
"41","B130 x R167"
"42","B130 x R171"
"43","B130 x R177"
"44","B130 x R183"
"45","B130 x R187"
"46","B130 x R2"
"47","B130 x R21"
"48","B130 x R22"
"49","B130 x R3"
"50","B130 x R69"
"51","B130 x R70"
"52","B130 x R75"
"53","B130 x R80"
"54","B130 x R83"
"55","B130 x R9"
"56","B159 x R11"
"57","B159 x R110"
"58","B159 x R115"
"59","B159 x R151"
"60","B159 x R157"
"61","B159 x R167"
"62","B159 x R171"
"63","B159 x R177"
"64","B159 x R183"
"65","B159 x R187"
"66","B159 x R2"
"67","B159 x R21"
"68","B159 x R22"
"69","B159 x R3"
"70","B159 x R69"
"71","B159 x R70"
"72","B159 x R75"
"73","B159 x R80"
"74","B159 x R83"
"75","B159 x R9"
"76","B169 x R11"
"77","B169 x R110"
"78","B169 x R115"
"79","B169 x R151"
"80","B169 x R157"
"81","B169 x R171"
"82","B169 x R177"
"83","B169 x R183"
"84","B169 x R187"
"85","B169 x R2"
"86","B169 x R21"
"87","B169 x R3"
"88","B169 x R69"
"89","B169 x R70"
"90","B169 x R83"
"91","B169 x R9"
"92","B191 x R110"
"93","B191 x R115"
"94","B191 x R151"
"95","B191 x R167"
"96","B191 x R171"
"97","B191 x R183"
"98","B191 x R2"
"99","B191 x R21"
"100","B191 x R22"
"101","B191 x R3"
"102","B191 x R69"
"103","B191 x R70"
"104","B191 x R75"
"105","B191 x R80"
"106","B191 x R9"
"107","B24 x R11"
"108","B24 x R110"
"109","B24 x R115"
"110","B24 x R151"
"111","B24 x R157"
"112","B24 x R167"
"113","B24 x R171"
"114","B24 x R177"
"115","B24 x R183"
"116","B24 x R187"
"117","B24 x R2"
"118","B24 x R21"
"119","B24 x R22"
"120","B24 x R3"
"121","B24 x R69"
"122","B24 x R70"
"123","B24 x R75"
"124","B24 x R80"
"125","B24 x R83"
"126","B24 x R9"
"127","B37 x R115"
"128","B37 x R167"
"129","B37 x R171"
"130","B37 x R177"
"131","B37 x R183"
"132","B37 x R187"
"133","B37 x R2"
"134","B37 x R21"
"135","B37 x R22"
"136","B37 x R3"
"137","B37 x R69"
"138","B37 x R70"
"139","B37 x R83"
"140","B37 x R9"
"141","B3 x R11"
"142","B3 x R110"
"143","B3 x R115"
"144","B3 x R151"
"145","B3 x R157"
"146","B3 x R167"
"147","B3 x R171"
"148","B3 x R177"
"149","B3 x R183"
"150","B3 x R187"
"151","B3 x R2"
"152","B3 x R21"
"153","B3 x R22"
"154","B3 x R3"
"155","B3 x R69"
