"Env","EID","GID","kwt","d2b","GY","PH","M"
"dhule",1,"B108 x R11",8.460140484,53.14389717,1831.154809,180.3408793,"H"
"dhule",1,"B108 x R110",7.870559468,55.47384914,2365.744454,186.727451,"H"
"dhule",1,"B108 x R115",7.806896128,57.28624055,2019.043293,194.3098813,"H"
"dhule",1,"B108 x R151",8.485476677,55.46080978,2072.901926,191.3626996,"H"
"dhule",1,"B108 x R157",10.16678124,54.64192353,2563.002906,193.0159375,"H"
"dhule",1,"B108 x R167",7.449647385,57.90901052,2197.155058,198.941303,"H"
"dhule",1,"B108 x R171",9.532246287,57.2952746,2370.166701,200.0707146,"H"
"dhule",1,"B108 x R177",6.858780418,56.33649156,1576.559175,191.6524345,"H"
"dhule",1,"B108 x R183",8.555715379,53.23529079,2101.317179,189.2347613,"H"
"dhule",1,"B108 x R187",6.917303567,57.29595872,1866.458667,179.7464433,"H"
"dhule",1,"B108 x R2",9.456066868,55.91264629,2900.113369,193.1496619,"H"
"dhule",1,"B108 x R21",7.03678646,58.03939611,1839.413352,142.13423,"H"
"dhule",1,"B108 x R3",9.078364935,55.78595091,1929.309008,147.5219387,"H"
"dhule",1,"B108 x R69",9.140893117,56.8621028,2173.026213,201.6275762,"H"
"dhule",1,"B108 x R70",8.996276019,55.12683865,2355.386833,180.1021293,"H"
"dhule",1,"B108 x R75",8.210905988,56.93412609,1393.695271,162.638467,"H"
"dhule",1,"B108 x R80",9.360492042,57.44649849,2260.510061,193.4581082,"H"
"dhule",1,"B108 x R9",10.18617796,53.19258102,2171.634876,186.3661884,"H"
"dhule",1,"B110 x R11",9.949329377,52.56300053,2813.960551,183.3613339,"H"
"dhule",1,"B110 x R110",9.443575746,57.14735572,2427.462315,202.8612852,"H"
"dhule",1,"B110 x R115",8.483508965,58.20980102,2256.094422,208.2301056,"H"
"dhule",1,"B110 x R151",9.201044141,55.26076281,1904.245794,202.596067,"H"
"dhule",1,"B110 x R157",10.27682855,55.73946841,2443.252768,210.5485335,"H"
"dhule",1,"B110 x R167",9.31905613,56.17146714,3303.949871,193.1712828,"H"
"dhule",1,"B110 x R171",9.348556599,57.32597574,3012.944795,207.6945693,"H"
"dhule",1,"B110 x R177",8.665996993,55.76867636,1769.312656,181.0161089,"H"
"dhule",1,"B110 x R2",9.650269948,58.78736762,2417.389562,198.882708,"H"
"dhule",1,"B110 x R21",8.284522855,57.39796289,1781.899755,173.7630985,"H"
"dhule",1,"B110 x R22",8.632631508,61.61935726,2296.286108,187.3465425,"H"
"dhule",1,"B110 x R3",7.654338827,57.19238639,1519.636829,149.193776,"H"
"dhule",1,"B110 x R69",9.43321954,58.09455462,2409.525377,186.5589691,"H"
"dhule",1,"B110 x R70",9.098215818,57.94413124,1758.275526,170.4926942,"H"
"dhule",1,"B110 x R80",10.14607334,56.7310087,2693.564428,215.6769744,"H"
"dhule",1,"B110 x R83",8.156196981,53.66358018,2585.367013,204.2408752,"H"
"dhule",1,"B110 x R9",8.670342157,54.47079304,2260.695945,199.4706073,"H"
"dhule",1,"B130 x R11",9.682589268,52.95517508,2199.813182,180.1107572,"H"
"dhule",1,"B130 x R110",8.692188325,56.77399423,1936.613789,184.1464865,"H"
