factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
-0.02290449 -0.1623324 -0.06091377 -0.3042964 0.09641389
0.0002499747 -0.09827113 -0.127388 -0.2273459 0.1071434
0.007579142 -0.07738204 -0.2173913 -0.4800631 0.1439825
-0.1675145 0.04907824 -0.2417952 -0.2275321 0.1834858
-0.04240188 0.1007534 -0.1068087 -0.3591243 0.1335458
0.1244697 -0.1561327 -0.121904 -0.2082586 0.2172031
0.1569121 0.0245644 -0.1389269 -0.2651457 0.157433
0.06259429 -0.0162369 -0.2184028 -0.2462102 0.1085573
0.03967799 -0.06338972 -0.05092784 -0.2408744 0.02020684
0.03416972 -0.1144284 -0.0743875 -0.3033005 0.08776577
-0.04763143 -0.1660932 -0.1666294 -0.2128249 0.1658649
0.002760884 -0.1358263 -0.2591587 -0.4300133 0.1787844
0.03582277 -0.06077638 -0.2825989 -0.5370485 0.1566762
0.01183564 -0.1005922 -0.05235488 -0.230779 0.1522238
0.09804888 0.06208507 -0.08062193 -0.3524327 0.1801287
0.07024047 -0.08306665 -0.1332409 -0.3921986 0.1643017
0.1741411 0.007229457 -0.03173321 -0.1514878 0.1287267
0.1233826 -0.03189897 0.07563594 -0.278861 0.124292
-0.01298875 0.01321278 0.0203408 -0.2502174 0.1055179
0.1579101 0.04977627 -0.1668676 -0.3118976 0.155953
0.1024244 0.0054043 -0.2218454 -0.2632699 0.1460698
0.1439054 -0.09862218 -0.154529 -0.254657 0.1563137
-0.06414201 -0.08306757 -0.08617455 -0.250283 0.1619794
-0.04007967 -0.01207455 -0.1130609 -0.4281984 0.1869824
0.04796622 0.03419061 -0.2107806 -0.4970604 0.1034986
0.006230331 0.02069267 -0.0783256 -0.1908728 0.08375123
-0.01840206 -0.09279339 -0.05252895 -0.1388049 0.05041512
0.07577445 -0.001912642 -0.03897888 -0.2274383 0.1013426
0.01644452 -0.07711012 -0.2321082 -0.4139447 0.09637083
0.02999186 -0.02366658 -0.0755441 -0.1238654 0.04882469
-0.05116361 -0.01952771 -0.08023491 -0.3107971 0.05806422
-0.07182818 -0.1458658 -0.1598265 -0.2621119 0.05440698
0.002606408 -0.1393589 -0.09545149 -0.34792 0.05905041
-0.01063837 -0.2385687 -0.121784 -0.1280924 0.06366299
-0.1259623 -0.1976944 -0.2033512 -0.3193537 0.01181281
0.1020518 -0.1251328 -0.1025363 -0.4103789 0.09794443
-0.04956836 -0.05310272 -0.1212797 -0.4561555 0.141488
-0.05557204 -0.1878067 -0.1899581 -0.4508767 0.1296304
-0.01189767 -0.3085424 -0.08632708 -0.2390607 0.0449406
0.01744997 -0.1756125 -0.09379531 -0.2289801 0.1561859
