"","testing","Individual","popChk","Year","y","yHat"
"1",1,"SA18-CB-10-FG1xSL18-SF-19-MG2","ES",2019,0.42,0.367153254754812
"2",2,"SL18-LD-10-FG1xSL18-OI-4-MG1","ES",2019,0.23,0.230718227084076
"3",3,"SL18-NL-6-FG1xSL18-OI-11-MG2","ES",2019,0.11,0.200953386825327
"4",4,"SL18-NL-6-FG1xSL18-OI-14-MG2","ES",2019,0.48,0.390872451427398
"5",5,"SL18-NL-6-FG1xSL18-OI-15-MG1","ES",2019,0.47,0.385425498022732
"6",6,"SL18-NL-6-FG1xSL18-OI-16-MG1","ES",2019,0.34,0.268889410612022
"7",7,"SL18-NL-6-FG1xSL18-SF-17-MG1","ES",2019,0.41,0.315507868561921
"8",8,"SL18-NL-6-FG1xSL18-SF-19-MG2","ES",2019,0.27,0.313704416988988
"9",9,"SL18-LD-10-FG2xSA18-CB-7-MG2","ES",2019,0.38,0.342369078044256
"10",10,"SL18-LD-10-FG2xSL18-NL-3-MG2","ES",2019,0.11,0.161516396013342
"11",11,"SL18-NL-9-FG2xSA18-CB-7-MG1","ES",2019,0.22,0.24437540773989
"12",12,"SL18-NL-9-FG2xSL18-SF-19-MG1","ES",2019,0.28,0.205645919602989
"13",13,"SL18-OI-11-FG1xSL18-SF-15-MG2","ES",2019,0.23,0.253518145357882
"14",14,"SL18-OI-15-FG1xSA18-CB-2-MG3","ES",2019,0.37,0.245762676897346
"15",15,"SL18-OI-15-FG1xSL18-NL-5-MG1","ES",2019,0.09,0.140282966325476
"16",16,"SL18-OI-15-FG1xSL18-SF-15-MG1","ES",2019,0.41,0.326097236373201
"17",17,"SL18-OI-16-FG3xSA18-CB-4-MG3","ES",2019,0.42,0.370354912149546
"18",18,"SL18-OI-16-FG3xSA18-CB-5-MG3","ES",2019,0.07,0.162833653783858
"19",19,"SL18-LD-13-FG2xSL18-LD-13-MG2","ES",2019,0.3,0.0802015727210822
"20",20,"SL18-OI-16-FG3xSL18-LD-3-MG2","ES",2019,0.19,0.21309561538176
"21",21,"SL18-OI-16-FG3xSL18-NL-6-MG1","ES",2019,0.21,0.226427866053139
"22",22,"SL18-OI-16-FG3xSL18-SF-17-MG2","ES",2019,0.34,0.299113802120259
"23",23,"SL18-OI-17-FG1xSL18-SF-13-MG2","ES",2019,0.43,0.361298317451641
"24",24,"SL18-OI-17-FG2xSL18-SF-17-MG2","ES",2019,0.04,0.168394576585504
"25",25,"SL18-OI-18-FG1xSL18-OI-9-MG3","ES",2019,0.32,0.304694286692895
"26",26,"SL18-OI-18-FG2xSA18-CB-7-MG1","ES",2019,0.33,0.333994096427999
"27",27,"SL18-OI-18-FG2xSL18-LD-10-MG1","ES",2019,0.31,0.281836950271261
"28",28,"SL18-OI-18-FG2xSL18-LD-9-MG1","ES",2019,0.28,0.286378389123345
"29",29,"SL18-OI-18-FG2xSL18-NL-2-MG2","ES",2019,0.21,0.224955085545171
"30",30,"SL18-OI-18-FG2xSL18-LD-2-MG3","ES",2019,0.08,0.150362128076929
"31",31,"SL18-OI-18-FG3xSL18-LL-9-MG1","ES",2019,0.09,0.137672516259615
"32",32,"SL18-OI-18-FG3xSL18-OI-7-MG1","ES",2019,0.26,0.273990849476776
"33",33,"SL18-OI-18-FG5xSA18-CB-4-MG3","ES",2019,0.18,0.207406065985704
"34",34,"SL18-OI-18-FG5xSL18-LD-2-MG1","ES",2019,0.28,0.272874512925765
"35",35,"SL18-OI-18-FG5xSL18-SF-15-MG2","ES",2019,0.51,0.416797355104936
"36",36,"SL18-OI-18-FG6xSA18-CB-1-MG2","ES",2019,0.27,0.265160477318594
"37",37,"SL18-OI-18-FG6xSL18-NL-6-MG1","ES",2019,0.14,0.185027092112711
"38",38,"SL18-OI-2-FG2xSL18-LD-1-MG2","ES",2019,0.1,0.142672719856987
"39",39,"SL18-LD-1-FG1xSL18-NL-2-MG2","ES",2019,0.17,0.193761975870883
"40",40,"SL18-OI-2-FG3xSL18-NL-9-MG1","ES",2019,0.08,0.135932665705326
"41",41,"SL18-OI-2-FG3xSL18-SF-17-MG1","ES",2019,0.17,0.218108802278923
"42",42,"SL18-OI-6-FG1xSA18-CB-2-MG1","ES",2019,0.07,0.164025354264395
"43",43,"SL18-OI-6-FG1xSA18-CB-4-MG1","ES",2019,0.19,0.270220747948336
"44",44,"SL18-OI-6-FG1xSL18-LD-13-MG2","ES",2019,0.16,0.213147464118644
"45",45,"SL18-OI-6-FG1xSL18-LD-2-MG1","ES",2019,0.23,0.295794813197311
"46",46,"SL18-OI-6-FG1xSL18-LD-5-MG1","ES",2019,0.16,0.237786627633697
"47",47,"SL18-LD-1-FG1xSL18-OI-18-MG1","ES",2019,0.18,0.202458493842907
"48",48,"SL18-OI-6-FG1xSL18-NL-9-MG1","ES",2019,0.19,0.231841443217793
"49",49,"SL18-OI-6-FG1xSL18-SF-15-MG1","ES",2019,0.24,0.265961748216203
"50",50,"SL18-OI-6-FG1xSL18-SF-19-MG1","ES",2019,0.12,0.199021127473992
"51",51,"SL18-OI-7-FG3xSA18-CB-2-MG3","ES",2019,0.16,0.211187611838814
"52",52,"SL18-OI-9-FG1xSL18-LL-9-MG2","ES",2019,0.17,0.226063035280703
"53",53,"SL18-SF-13-FG1xSL18-LL-9-MG3","ES",2019,0.25,0.233043641237212
"54",54,"SL18-LD-1-FG2xSA18-CB-4-MG3","ES",2019,0.46,0.361081664560951
"55",55,"SL18-SF-17-FG1xSL18-LL-9-MG1","ES",2019,0.1,0.16263509002304
"56",56,"SL18-SF-17-FG3xSA18-CB-10-MG1","ES",2019,0.32,0.345723789836759
"57",57,"SL18-SF-17-FG3xSA18-CB-3-MG3","ES",2019,0.17,0.218836833583368
"58",58,"SL18-SF-17-FG3xSL18-LD-2-MG1","ES",2019,0.15,0.18851825689258
"59",59,"SL18-SF-17-FG3xSL18-NL-10-MG2","ES",2019,0.06,0.120985197092422
"60",60,"SL18-SF-17-FG3xSL18-NL-2-MG3","ES",2019,0.22,0.172727969138426
"61",61,"SL18-SF-17-FG3xSL18-NL-9-MG1","ES",2019,0.24,0.223197415669199
"62",62,"SL18-SF-17-FG3xSL18-OI-7-MG1","ES",2019,0.23,0.242725265674607
"63",63,"SL18-SF-17-FG3xSL18-OI-9-MG3","ES",2019,0.26,0.255050321184075
"64",64,"SA18-CB-10-FG2xSL18-LL-9-MG1","ES",2019,0.2,0.230058258130438
"65",65,"SL18-LD-1-FG2xSL18-SF-13-MG3","ES",2019,0.22,0.241206350667171
"66",66,"SL18-LD-1-FG2xSL18-SF-15-MG1","ES",2019,0.27,0.267478841353593
"67",67,"SL18-LD-1-FG3xSL18-NL-5-MG1","ES",2019,0.1,0.137912950109711
"68",68,"SL18-LD-1-FG3xSL18-OI-11-MG2","ES",2019,0.3,0.241815590251745
"69",69,"SL18-LD-1-FG3xSL18-OI-15-MG1","ES",2019,0.14,0.182809790500986
"70",70,"SL18-LD-1-FG3xSL18-OI-16-MG1","ES",2019,0.11,0.149701408804553
