factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
0.1608441 0.01700658 0.002173102 0.07346671 0.03459867
0.166864 0.02660855 0.1882204 0.3128171 0.09848758
0.105048 0.112458 0.1487237 0.02737331 0.1450387
-0.02043319 -0.08027187 0.2508893 0.3006982 0.1371834
0.03766643 -0.03472981 0.03618569 0.2802868 0.1958691
-0.03422862 -0.07225207 0.1148655 -0.2358173 0.1363313
-0.02383766 -0.1087818 0.0476404 -0.3264434 0.07377016
-0.01264402 0.05003255 0.052166 -0.6423953 0.1343996
0.1066612 -0.01853197 0.07691828 -0.3896731 0.07376946
0.03356335 0.02527252 0.07987502 -0.1564693 0.05252143
0.2194387 0.01884726 0.4083901 0.07482666 0.1306594
0.06246969 -0.06672211 0.8233549 0.1871355 0.1115289
-0.06777281 -0.09532228 0.6463289 -0.1930526 0.0682299
0.0515522 -0.02219457 0.6752264 -0.2995104 0.06490212
-0.02786821 -0.05268708 0.7572343 -0.146842 0.04687595
0.05591689 -0.007331726 0.866094 -0.3633918 0.005788857
-0.01047261 0.0101491 1.181319 -0.2349956 -0.02741572
-0.07155498 -0.005215743 1.406279 -0.07622579 0.02711614
0.02900488 -0.08086521 0.9769721 0.09933997 0.07678428
-0.001756281 -0.161866 1.056246 0.1813188 0.004049216
-0.04890287 -0.1928043 0.9928527 -0.01734863 0.000360149
0.02699659 -0.09804056 1.543837 0.1303449 -0.003202298
0.07480954 0.06822484 1.473514 0.0413995 0.08040146
-0.01372754 -0.06411688 1.319729 -0.2178096 0.09239687
0.1371035 -0.06893198 1.315108 -0.5248461 0.1158978
0.02797348 -0.0290998 1.593378 -0.7222414 0.133959
0.1482893 0.05598189 1.389313 -1.202701 0.1080354
0.1692824 0.008867036 1.320258 -0.9530842 0.1238052
0.1217551 -0.01408205 1.069492 -0.795298 0.1512891
0.04439847 0.06076737 1.160342 -0.9836044 0.1317904
0.07664819 0.08602176 1.237297 -1.351192 0.05412423
0.1218353 -0.05919812 1.222572 -1.032744 0.09750298
0.1511702 0.1197526 1.077353 -0.7573135 0.08241206
0.1124959 -0.1195323 1.337442 -0.8322477 -0.01449422
0.1106071 0.01049807 1.018149 -0.8402503 0.01340581
-0.008433083 -0.09878131 1.151569 -1.009296 0.01487377
-0.001004023 -0.06973895 1.120317 -1.471142 -0.02401269
-0.03657433 -0.1270614 1.183999 -1.650433 -0.04390482
-0.05210614 0.01552978 1.111059 -1.648931 0.06222425
-0.04913967 -0.12409 1.289444 -1.613283 -0.01562681
-0.07345134 -0.1529136 1.228353 -1.312878 -0.08785747
-0.05210152 -0.06617123 1.220393 -1.60832 0.02689914
0.06372183 -0.05228199 1.514562 -1.704204 0.03564208
-0.06820321 -0.1625881 1.52452 -1.936688 0.03920812
-0.07067402 -0.1521423 1.452257 -1.770746 0.04848683
