factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
0.07689977 -0.07586729 -0.07764332 0.1348266 0.03290347
-0.05561403 -0.02435693 -0.1770064 0.2805979 0.07313858
0.1910891 0.1653953 -0.184769 0.2570507 -0.006372817
-0.005741968 -0.1390688 -0.2430031 0.7897538 -0.02578753
-0.07797469 -0.180091 -0.602705 0.4436629 0.02585756
-0.06007793 -0.1582025 -0.1902324 0.259415 0.06096071
-0.1665519 -0.3738455 -0.04373378 0.4502887 0.06841139
0.1252622 -0.1164824 0.2161111 0.3994631 0.09132323
0.1964918 -0.09799744 0.7061384 0.6277733 0.1224038
0.07520485 0.07112435 0.9309846 1.096752 0.1289215
0.2101751 0.1275345 1.3983 1.078499 0.1071117
0.02104301 0.1221359 1.550649 0.99673 0.1455259
0.2259765 0.1566605 1.25179 0.7315495 0.128228
-0.1508276 0.1080716 1.321571 0.4564915 0.09839961
-0.03776018 -0.2560097 0.9156809 0.6708072 0.1548151
0.03358667 -0.07258025 0.8130264 0.4069348 0.1243761
0.1884964 0.1191434 0.6682855 0.4625286 0.05814993
0.09949811 -0.009658817 0.8134982 0.5036556 0.08837183
0.08031205 -0.07292645 0.6437605 0.05986382 0.1909342
0.1394573 0.1184958 0.6188168 -0.1905155 0.2025428
0.3815029 0.1363948 0.6286244 -0.4240169 0.21058
0.3432454 0.09146456 0.4021909 -0.6641766 0.2146036
0.386113 0.2286219 0.5848903 -1.130995 0.1834538
0.2451263 0.22631 0.5821452 -1.218702 0.1419303
0.178785 0.1349228 0.7312471 -1.539449 0.1060488
0.221476 0.1258145 0.704951 -1.779816 0.07498065
-0.04548487 -0.06415282 0.4831149 -1.749027 0.06300937
-0.07093564 -0.1476192 0.3640033 -1.914667 0.06086221
0.08464054 -0.0558469 0.5584984 -2.064295 0.06482167
0.0854909 -0.03110122 0.4559574 -2.165589 0.1156151
-0.06331689 -0.0442453 0.3599499 -2.71594 0.162263
0.1155197 -0.08315517 0.6814037 -2.598077 0.1111093
0.03637843 0.06242392 0.7438634 -2.578933 0.1369094
0.1345582 0.08465509 0.8335563 -2.65553 0.1076921
0.03093067 0.04525908 0.8650557 -2.584433 0.1267877
-0.08461189 -0.09262582 0.8283656 -2.386469 0.07280916
-0.003765862 -0.0806548 0.9445913 -2.749299 0.01461836
0.0501174 -0.1638311 1.241977 -2.947455 -0.06077248
-0.1517571 -0.06237826 1.123344 -3.208093 -0.07579948
-0.07784471 -0.2055348 1.104242 -3.591298 -0.07367297
-0.238 -0.1288745 1.054885 -4.099462 -0.05887183
-0.1188284 -0.0686204 1.152438 -4.039822 -0.006205967
0.03749011 0.04661753 1.31956 -3.922543 0.0363058
-0.02507036 -0.002896178 1.262082 -3.960101 0.09675007
-0.01216472 -0.1434822 1.139936 -4.021039 0.1091653
0.01884182 -0.119067 1.240207 -4.33495 0.09765422
0.1156088 0.06976455 1.381172 -4.074812 0.08825159
0.1490004 0.02189889 1.440165 -3.573088 0.06238249
0.1213435 0.0314769 1.61751 -3.637966 0.03601481
0.1044044 0.05156517 1.362527 -3.702557 0.08314527
-0.1331616 -0.1972979 1.276267 -3.940953 0.1136756
0.01175138 -0.1571436 1.625828 -4.211737 0.107063
-0.04280496 -0.1591869 1.514477 -4.007707 0.08339867
0.0428059 -0.007179078 1.316005 -4.087234 0.1178033
0.04252711 -0.01227971 1.436118 -3.785916 0.09124386
0.1043075 0.007087291 1.560028 -4.288946 0.09639869
0.1646273 0.06654925 1.558521 -4.426824 0.08104283
0.0460239 -0.01876471 1.803738 -4.337018 0.08083485
-0.0828863 -0.09925281 1.915863 -4.237399 0.09918831
-0.1236106 -0.1427559 1.716952 -4.147211 0.0851118
0.07671763 -0.117928 1.90424 -4.107284 0.1205478
0.1838416 0.02305328 2.325604 -4.096287 0.1050153
0.04447801 -0.02372744 2.16227 -3.814609 0.1025483
0.04231853 -0.142085 2.071984 -3.500438 0.1128017
0.09713677 -0.03734993 1.901371 -3.151491 0.110215
-0.03777142 -0.06709866 1.910495 -3.337888 0.1499774
-0.2658486 -0.2454634 1.912181 -3.310066 0.1536596
-0.1740658 -0.1890819 1.783072 -3.099467 0.2108984
0.05027056 -0.07073395 1.620745 -3.267851 0.2148295
0.221579 0.05070732 1.845845 -3.378813 0.199602
0.117506 0.06840559 1.628026 -3.358037 0.1566368
0.3890351 0.3313137 1.431573 -3.62593 0.2180155
0.3765115 0.3275411 1.577188 -3.706099 0.1904954
0.3020925 0.2305854 1.97686 -3.837321 0.1650727
0.4167779 0.1625538 1.918728 -3.790536 0.1572983
0.2311154 0.2532675 1.937733 -3.865982 0.1633165
0.5737813 0.5394458 1.978212 -3.979643 0.2234864
0.5430644 0.4551029 1.72739 -3.884477 0.2009565
0.4266846 0.4650396 1.897991 -4.373521 0.2725699
0.3502549 0.2631679 1.6949 -4.333009 0.2593854
0.2265598 0.09357032 1.787513 -4.298558 0.209733
0.2870475 0.1478297 1.790481 -4.655426 0.2344509
0.2504008 0.2493613 1.83998 -4.617873 0.2506271
0.05515937 -0.06415024 1.97979 -4.590152 0.1608693
0.05487554 0.01180483 1.847658 -4.201937 0.1325578
-0.002572061 -0.0323227 1.802404 -4.360178 0.07935278
-0.15359 -0.07682225 1.930505 -4.45457 0.07424897
0.168647 0.0008686045 1.838107 -4.595001 0.05392748
0.08738525 0.02190006 1.957138 -4.860898 -0.002229876
0.1180863 -0.00572554 2.025525 -5.011729 0.02153332
-0.044623 0.06659644 2.16151 -5.083835 0.02367665
0.06920829 0.061408 2.214333 -4.993761 0.05342394
0.04975805 -0.001267256 2.332895 -5.096579 0.002859184
-0.05657995 -0.125381 2.502571 -4.795317 0.0505897
0.04890203 -0.178662 2.448154 -4.900132 0.08062998
-0.06973603 -0.01569799 2.521064 -5.21163 0.03647277
-0.2080269 -0.2702524 2.597134 -4.939871 0.007204925
-0.2657386 -0.3031819 2.501065 -5.232727 0.01921882
-0.4291657 -0.5309778 2.355402 -5.371613 0.06699411
-0.3503979 -0.4351523 2.327731 -5.505237 0.06958956
