factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
-0.08542293 -0.08895071 -0.1320067 -0.2405296 0.1307861
-0.2023879 -0.2407621 -0.5820123 -0.3598126 0.1419375
0.07595277 0.0246702 -0.1905912 -0.4250053 0.05859732
0.2666762 -0.03159424 -0.2115897 -0.1539876 0.1167536
0.1314133 0.2611578 -0.3183277 -0.4267108 0.2199651
0.175676 0.09631675 -0.2830011 -0.4640506 0.2855825
0.3738582 0.2603489 -0.2312616 -0.4666032 0.2051225
0.4231263 0.298523 -0.1124849 -0.3491715 0.1588821
0.1306725 0.02434433 0.09916537 -0.5386595 0.1204326
-0.06131946 -0.1020421 -0.1213215 -0.2634422 0.1734107
0.04841528 0.04937474 -0.3203698 -0.3019494 0.2637821
-0.006555621 -0.004675261 -0.2601583 -0.5028176 0.2657247
-0.1227993 -0.2947766 -0.02010668 -0.2235812 0.05173137
-0.1431915 -0.2134133 -0.01509666 -0.2193804 0.04199992
-0.1509718 -0.4018885 -0.232751 -0.4217917 0.1499829
-0.09224648 -0.1925064 -0.09197423 -0.1425046 0.1622158
-0.009160022 -0.1662817 -0.1727385 -0.4035424 0.1667742
-0.1153801 -0.2190074 -0.04244292 -0.09970684 0.09410124
-0.2017284 -0.3941051 -0.1595742 -0.3379308 0.07338134
-0.2804707 -0.3368294 -0.278012 -0.1537144 0.1122196
-0.1515746 -0.2450366 -0.2061773 -0.1532467 0.128488
-0.2073001 -0.3502908 -0.2480745 -0.2752651 0.1505703
-0.00571245 0.05070189 -0.1850166 -0.4273645 0.1207917
0.001271716 -0.2592366 -0.4172226 -0.4118352 0.1804933
-0.1634681 -0.1554254 -0.353753 -0.4027342 0.1288858
-0.04953404 -0.1095055 -0.1584134 -0.385646 0.08474096
-0.06184123 -0.1217988 -0.2360238 -0.282121 0.05985667
-0.0598026 -0.07007531 -0.01721558 -0.3637637 0.07187692
0.3206788 0.1781027 -0.128456 -0.1483593 0.07654186
0.04367264 0.06913157 -0.2879651 -0.1905869 0.06237763
0.03900116 -0.09170991 -0.06016229 -0.01007901 0.06785268
0.1324433 0.0447998 -0.0622212 -0.1388415 0.06926715
-0.08209375 -0.04689565 -0.09036996 0.006456923 0.1796258
-0.1310804 -0.2162187 -0.1477498 -0.3728508 0.1484182
-0.1634124 -0.189463 -0.3348843 -0.4370802 0.2411009
-0.0005470986 -0.04103739 -0.3151142 -0.1647395 0.1503036
0.1401868 -0.02820736 -0.205091 -0.2542411 0.1343683
-0.109484 -0.00401254 -0.1383466 -0.3225606 0.1730936
0.06172192 -0.1140082 -0.1219174 -0.3686711 0.08889197
0.04441013 -0.002054119 -0.006505704 -0.2077102 0.001773557
0.2122095 0.1687673 0.06813955 -0.1715093 0.08763634
-0.1454541 -0.005449245 -0.0833422 -0.1012181 0.1339902
-0.23523 -0.3357596 -0.3526913 -0.003559045 0.1495691
-0.1018308 -0.09974691 -0.1218529 -0.2785536 0.1267717
-0.009230511 -0.05583167 -0.06831363 -0.1841511 0.1321871
0.1542264 0.04855217 -0.306656 -0.2547896 0.09354564
0.1967006 0.1283063 0.1119321 -0.3226634 0.1442333
-0.09443744 -0.05000264 -0.09762427 -0.3568756 0.07911446
0.1151564 0.1789161 -0.0466969 -0.3762184 0.1458963
-0.1055813 -0.118622 -0.2206254 -0.2151409 0.112318
0.200954 0.05158224 -0.3320778 -0.06768972 0.1685015
-0.0002451359 -0.007198486 -0.2284604 -0.1967148 0.1706341
0.03255161 -0.110235 -0.114032 -0.5171412 0.1231557
0.0127779 0.02105346 -0.1450483 -0.2063032 0.1369265
-0.02788198 -0.07432691 -0.158641 -0.2012765 0.0287887
0.09552391 0.218912 0.06899995 0.04789459 0.002309739
0.1207343 0.004412279 -0.02261693 -0.07981834 0.06596927
0.05172042 -0.08554691 0.005213119 -0.3094266 0.1306013
-0.07243565 -0.09910643 -0.3316903 -0.2775388 0.1296123
0.1269294 0.009213609 -0.3084427 -0.3793938 0.215695
-0.0592962 -0.1625678 -0.3819845 -0.2656589 0.1462853
-0.02321753 -0.09057746 -0.1965084 -0.4302868 0.07777685
-0.01227656 -0.1736205 -0.1985074 -0.2802632 0.1048638
-0.02715816 -0.1465713 -0.2265867 -0.2070167 0.1588456
-0.1614219 -0.1005234 -0.1591432 -0.2169398 0.2024523
-0.01525284 -0.2008814 -0.2091826 -0.07863858 0.1537118
0.187258 0.03833615 -0.3131247 -0.2973081 0.1483994
0.210738 0.1240661 -0.06241051 -0.2089039 0.1215639
0.1419798 0.08003337 -0.2401752 -0.2637082 0.1519486
-0.192758 -0.155171 -0.4695682 -0.3497149 0.1817285
0.004628731 -0.2048104 -0.4159882 -0.3373373 0.07013739
-0.001256723 -0.02205193 -0.3289236 -0.2625956 0.1924739
