"","testing","Crosses","yBLUE","yHat","popChk","Year"
"1",1,"SA18-CB-10-FG1xSL18-SF-19-MG2",NA,0.221126970810909,"ES",2019
"2",64,"SA18-CB-10-FG2xSL18-LL-9-MG1",-0.168129123911242,0.227675476329746,"ES",2019
"3",74,"SA18-CB-4-FG3xSA18-CB-4-MG3",-0.168127888117815,0.248463587526215,"ES",2019
"4",92,"SA18-CB-7-FG1xSL18-LL-9-MG3",-0.0400000000000033,0.210490566442549,"ES",2019
"5",138,"SA18-CB-9-FG1xSL18-JS-5-MG3",0.0726522989500146,0.332720396930562,"ES",2020
"6",149,"SA18-CB-2-FG3xSL18-NC-9-MG1",0.13695739091747,0.39168320436709,"ES",2020
"7",151,"SA18-CB-5-FG4xSL18-CC-1-MG3",0.0514581330360505,0.433637009237046,"ES",2020
"8",157,"SA18-CB-2-FG3xSL18-OI-2-MG2",0.231916064684984,0.328565244449972,"ES",2020
"9",200,"SA18-CB-9-FG1xSL18-JS-19-MG1",0.632607996784839,0.334275734604352,"ES",2020
"10",220,"SA18-CB-4-FG6xSL18-JS-6-MG3",0.924804632358453,0.383849190159428,"ES",2020
"11",222,"SA18-CB-5-FG6xSL18-CC-6-MG2",0.338573749675651,0.327576455387524,"ES",2020
"12",231,"SA18-CB-2-FG3xSL18-CC-2-MG5",1.22136395662682,0.505739830777476,"ES",2020
"13",232,"SA18-CB-9-FG1xSL18-OI-7-MG3",0.904291217068682,0.261194068293526,"ES",2020
"14",249,"SA18-CB-7-FG1xSL18-LD-1-MG1",0.196290532696597,0.336072218034008,"ES",2020
