factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
0.1909788 0.1115331 0.02234927 -0.06250137 0.05946653
0.2235099 0.1656152 -0.1123725 -0.1061492 0.1094863
0.1396015 0.1064775 0.06813506 -0.2306295 0.09371334
-0.1483641 -0.09202672 -0.1139475 -0.1432857 0.06156386
-0.1482011 -0.164033 -0.1479258 -0.1755207 0.02947172
-0.1126132 -0.202123 -0.04863758 -0.0904624 0.01400236
-0.004384322 -0.05655036 -0.1462197 0.07134638 0.01935847
-0.1029857 -0.1543969 -0.2639089 -0.2389865 0.07978826
0.2390995 0.1464573 -0.2832267 -0.2673199 0.1053731
0.03188175 -0.01397058 -0.1387457 -0.2729755 0.1242239
-0.009056608 -0.07048207 -0.3445191 -0.3685958 0.1480493
-0.05332681 -0.1399024 -0.2985222 -0.3611289 0.1839142
-0.01195405 -0.1882704 -0.1470293 -0.3193109 0.08199697
0.1038923 -0.1049384 -0.07449753 -0.2343635 0.1259257
-0.06807338 -0.2579672 -0.1009866 -0.3438616 0.1722524
-0.06347568 0.02517836 -0.3570979 -0.291344 0.143217
0.04530841 -0.01322811 -0.1784982 -0.3237411 0.1297503
0.2083418 -0.0191569 -0.1816798 -0.4086805 0.1128549
0.1052774 0.164789 -0.06821646 -0.2447505 0.1155431
0.1128553 -0.100746 -0.1003244 -0.2290949 0.1469612
0.1276807 -0.1172956 0.04047195 -0.3649832 0.1351102
0.08614407 -0.07822192 -0.1501386 -0.196768 0.2164991
0.125526 0.09839908 -0.01612563 -0.3475563 0.1661474
0.1581908 0.01482025 -0.2192535 -0.1771138 0.2194287
-0.02769688 -0.08638224 -0.3003513 -0.3698897 0.1727387
0.04811807 -0.09907445 -0.3095566 -0.5195228 0.1362053
-0.1380811 -0.1412194 -0.03290753 -0.2680741 0.05966401
0.1629332 -0.1149595 -0.2762884 -0.4201009 0.1353768
-0.01420063 0.1000128 -0.1108216 -0.3731137 0.1328483
-0.03474884 -0.005181251 -0.1569403 -0.4241527 0.1768567
0.3063306 0.4639673 -0.0660227 -0.2990208 0.1942087
0.4320109 0.3801423 -0.21238 -0.2773908 0.1904358
0.4738886 0.2164039 -0.3473442 -0.2244078 0.2189723
0.3678087 0.1524386 -0.2472703 -0.3462577 0.1464881
-0.02390428 0.05483305 -0.125309 -0.3756749 0.1347651
0.4032721 0.3398353 -0.07568816 -0.2600129 0.1397404
0.2342743 -0.009067219 -0.0804004 -0.1875606 0.1139014
0.2326109 0.1469021 0.1057907 -0.18854 0.1401661
0.2438485 0.07415193 -0.1915655 -0.07745724 0.05810609
0.190007 0.06898231 -0.09674912 -0.2657095 0.0783068
0.1148859 -0.02919514 -0.1559461 -0.271313 0.08067058
0.07925082 -0.01067369 -0.1815318 -0.1058749 0.08280759
0.1490822 0.05174103 0.01803317 -0.07898574 0.02944234
-0.1140047 -0.07860013 -0.1699956 -0.1010863 0.1059655
0.16563 0.1298141 -0.09393914 -0.2480042 0.09939469
-0.04094469 0.05352746 -0.01843047 -0.2412453 0.06889906
0.0369079 -0.05856997 -0.07498943 -0.09897364 0.06937228
0.0002671655 -0.007132044 -0.06610279 -0.2897607 0.05978004
0.1334323 0.09189796 -0.0317514 -0.2142135 0.09574173
0.05198658 0.03688762 -0.1171761 -0.469946 0.1242919
-0.2286724 -0.2250333 -0.3067638 -0.3670077 0.1112521
0.04733208 -0.08856123 -0.09867471 -0.1904931 0.1027071
0.1635017 0.1391793 0.1107566 -0.1073066 0.08933297
0.0698981 0.118842 0.09191814 -0.3801251 0.09685424
0.1285456 -0.0080232 0.08217129 -0.3033631 0.0262292
0.1865468 -0.006368154 -0.07363686 -0.3247435 0.09913394
0.07120669 0.00849656 -0.1287655 -0.2205734 0.1050581
-0.05928911 -0.03037657 -0.1177023 -0.401074 0.07921673
0.1463353 0.05412538 0.02185548 -0.2247853 0.07088876
0.04067515 -0.01672849 -0.1507245 -0.4498349 0.1169748
0.06401111 -0.04708311 -0.03362781 -0.3301847 0.1104909
0.2243671 0.1023988 -0.03128372 -0.3234303 0.1668561
0.2995698 0.09724154 -0.002263876 -0.4991402 0.2290727
0.210855 0.1261978 -0.06795265 -0.3575377 0.1774041
-0.06847372 -0.09001346 -0.06769 -0.1098121 0.2093575
0.06318186 0.07176997 -0.3525114 -0.4490474 0.1837827
-0.03855944 -0.04692052 -0.1325388 -0.3606588 0.1998662
0.1507215 0.004029089 -0.187364 -0.4259051 0.234372
0.1651406 0.008291742 -0.1318936 -0.277185 0.1218901
0.09363024 0.08912742 -0.1286127 -0.3459946 0.1465462
0.08406492 0.09759679 -0.01179593 -0.2637816 0.1139995
-0.008522338 -0.05424629 -0.2512539 -0.3308741 0.1744362
0.0557779 0.05410707 -0.2088052 -0.4886279 0.2053831
0.06657219 -0.00962487 -0.1589371 -0.3054798 0.1803927
-0.008488478 -0.126757 -0.3693333 -0.1606738 0.1264195
-0.4090188 -0.5283037 -0.08872162 -0.3312688 0.02919932
-0.2648908 -0.4513859 -0.3769824 -0.2958838 0.07350668
-0.09101753 -0.1887566 -0.1762056 -0.2787665 0.06456557
0.04597679 -0.06522717 -0.1435075 -0.03669164 0.03324553
0.02492937 0.05733959 -0.20419 -0.1084585 0.05708822
0.18687 0.1863926 -0.1340955 -0.428792 0.112559
0.2133689 0.1825835 -0.223761 -0.2367739 0.148642
-0.02697275 -0.1016178 -0.3970823 -0.3235954 0.1979055
0.0002962025 -0.1287117 -0.2945873 -0.3948053 0.1571294
0.002816307 -0.1761681 -0.281072 -0.398832 0.07974207
-0.02461666 0.01603851 -0.3246662 -0.174786 0.04650511
0.08089718 -0.0408948 -0.2523806 -0.1262185 0.02756237
0.03029622 0.1040081 -0.1329708 -0.04735889 0.0297799
0.01035679 -0.02307863 -0.0778381 -0.2702427 0.06968787
-0.02124639 -0.09723154 -0.2302341 -0.2036346 0.08835898
0.09935455 0.0352769 -0.3088064 0.04851292 0.06084981
0.1788532 0.04672405 -0.3229959 -0.1954224 0.1139585
0.06328661 0.0516737 -0.1773186 -0.16382 0.1179258
0.1574025 0.005289543 -0.253004 -0.1354662 0.09190448
0.1598086 -0.1110267 -0.3144828 -0.2960117 0.144761
0.005055085 -0.2010152 -0.5317098 -0.4251404 0.1550418
-0.08115559 -3.95785e-05 -0.5173894 -0.3106018 0.1740984
0.0003847317 -0.07326576 -0.5331729 -0.3111223 0.3270233
0.04037548 0.01553484 -0.4386401 -0.3264439 0.2838138
-0.2120318 -0.2128438 -0.3351599 -0.3152586 0.236301
-0.04690625 -0.1893211 -0.3386247 -0.3091674 0.17949
0.08362633 -0.05130132 -0.2273345 -0.3399697 0.1039376
0.1280098 -0.04633445 -0.2456314 -0.2092532 0.1740907
0.0880199 -0.097901 -0.2319372 -0.208119 0.1549298
7.842825e-05 0.001260828 -0.2077354 -0.191496 0.1628346
-0.08359462 -0.2111778 -0.2844199 -0.1536438 0.1903542
0.09744048 -0.01398777 -0.2864725 -0.2075018 0.1774866
0.03945281 0.02481617 -0.3490345 -0.2793541 0.2036509
-0.07230707 -0.002667344 -0.2170982 -0.2365431 0.1639959
0.01050659 -0.07773426 -0.08865149 -0.1306114 0.1620465
-0.1008383 -0.2704877 -0.2292506 -0.3035685 0.1762767
0.08217918 0.1042008 -0.06988927 -0.4382843 0.09472873
0.1303148 0.0678655 -0.1526568 -0.2789483 0.052869
0.3135163 0.1705207 -0.1325507 -0.157993 0.08500893
0.269644 0.1419246 -0.09421737 -0.08448914 0.10769
0.1494933 0.1169984 -0.006772412 0.05705075 0.08136987
0.1532205 0.117531 0.1189748 0.03607821 0.06106133
0.3457807 0.2752231 0.02044491 -0.1557836 0.04460807
0.5435984 0.3441257 0.008108279 -0.04967093 0.009206729
0.379826 0.4473007 0.07167794 -0.2189331 0.0408281
0.213166 0.2154424 0.09343739 -0.2916537 0.0050742
