"","testing","Crosses","yBLUE","yHat","popChk","Year"
"1",126,"SL18-CC-1-FG2xSL18-OI-16-MG1",0.378749851489636,0.341961910273613,"ES",2020
"2",128,"SL18-CC-5-FG2xSA18-CB-10-MG1",1.88964145048964,0.350614155454701,"ES",2020
"3",130,"SL18-CC-5-FG3xSL18-OI-14-MG1",1.24238629175006,0.286891000811185,"ES",2020
"4",131,"SL18-CC-11-FG3xSL18-CC-3-MG1",-0.039407464822131,0.324388897162596,"ES",2020
"5",132,"SL18-CC-11-FG3xSA18-CB-3-MG3",1.65850658075006,0.323937905986937,"ES",2020
"6",134,"SL18-CC-11-FG3xSL18-JS-16-MG1",0.416287608029074,0.280391888374316,"ES",2020
"7",137,"SL18-CC-1-FG3xSL18-OI-9-MG2",-0.144670430970926,0.30611111424538,"ES",2020
"8",139,"SL18-CC-5-FG1xSL18-JS-9-MG1",-0.0049008210499855,0.196025561662506,"ES",2020
"9",141,"SL18-CC-12-FG3xSL18-OI-15-MG2",0.4808139022919,0.276494874395653,"ES",2020
"10",145,"SL18-CC-5-FG3xSL18-JS-5-MG2",0.0718900482919012,0.238820566862097,"ES",2020
"11",152,"SL18-CC-3-FG1xSL18-JS-6-MG3",0.34374451803605,0.297236558876177,"ES",2020
"12",156,"SL18-CC-1-FG2xSL18-OI-16-MG3",-0.0608364533150164,0.275972174552175,"ES",2020
"13",158,"SL18-CC-5-FG3xSL18-JS-19-MG2",0.0372781926849833,0.201878035981555,"ES",2020
"14",159,"SL18-CC-3-FG2xSA18-CB-10-MG3",1.95023404168499,0.247215156701356,"ES",2020
"15",160,"SL18-CC-1-FG1xSL18-OI-16-MG3",-0.0465869053973125,0.295611656889143,"ES",2020
"16",164,"SL18-CC-8-FG2xSL18-JS-5-MG3",1.29337900747802,0.290668481019862,"ES",2020
"17",167,"SL18-CC-3-FG1xSL18-JS-5-MG2",0.840692242319702,0.309217041948154,"ES",2020
"18",168,"SL18-CC-3-FG2xSL18-OD-6-MG1",0.764268028880007,0.270105221579739,"ES",2020
"19",172,"SL18-CC-12-FG3xSL18-OI-15-MG3",0.0903995025987136,0.332103256550889,"ES",2020
"20",173,"SL18-CC-11-FG3xSL18-NC-2-MG3",0.633560181598714,0.338311031223476,"ES",2020
"21",174,"SL18-CC-12-FG2xSL18-OI-15-MG2",0.906267046598715,0.334321917029694,"ES",2020
"22",178,"SL18-CC-8-FG2xSL18-LD-9-MG1",0.36933785186154,0.27077522725341,"ES",2020
"23",181,"SL18-CC-8-FG1xSL18-OI-7-MG1",-0.14326996551289,0.335218004283279,"ES",2020
"24",185,"SL18-CC-9-FG3xSL18-JS-9-MG3",0.0112005592546228,0.26397577452918,"ES",2020
"25",186,"SL18-CC-5-FG2xSL18-NC-10-MG2",0.183477920347684,0.313857219720776,"ES",2020
"26",190,"SL18-CC-3-FG2xSL18-OI-11-MG3",0.236301593047662,0.30530679241799,"ES",2020
"27",192,"SL18-CC-3-FG2xSA18-CB-4-MG2",0.105245827440696,0.316497235686367,"ES",2020
"28",194,"SL18-CC-8-FG1xSL18-OI-18-MG3",0.0806246675058248,0.349267217736161,"ES",2020
"29",195,"SL18-CC-6-FG3xSL18-JS-9-MG2",-0.105662681494175,0.34087996967998,"ES",2020
"30",197,"SL18-CC-1-FG1xSL18-NC-15-MG3",0.539755977066131,0.389924520337493,"ES",2020
"31",198,"SL18-CC-1-FG1xSL18-CC-4-MG11",0.143774240066132,0.389664165285384,"ES",2020
"32",199,"SL18-CC-5-FG2xSL18-NC-9-MG2",-0.0189189272151628,0.419295015433682,"ES",2020
"33",202,"SL18-CC-5-FG3xSA18-CB-1-MG12",0.143213095440696,0.280445811159653,"ES",2020
"34",203,"SL18-CC-8-FG2xSL18-NC-5-MG3",-0.196100125215163,0.375156814278793,"ES",2020
"35",204,"SL18-CC-6-FG3xSL18-OI-14-MG2",0.0398134917057782,0.303554250871809,"ES",2020
"36",206,"SL18-CC-3-FG3xSL18-OD-6-MG3",0.442661217047664,0.315726300174192,"ES",2020
"37",207,"SL18-CC-6-FG2xSL18-OI-14-MG1",0.135763131440696,0.259366875504538,"ES",2020
"38",216,"SL18-CC-5-FG2xSL18-NC-10-MG2",0.183477920347684,0.369027694503502,"ES",2020
"39",221,"SL18-CC-3-FG1xSL18-JS-11-MG2",-0.182443294641549,0.368650027778319,"ES",2020
"40",226,"SL18-CC-6-FG2xSL18-OI-11-MG4",0.258002903833778,0.263601483245028,"ES",2020
"41",233,"SL18-CC-3-FG1xSL18-OI-16-MG2",0.133503713068682,0.223610986599079,"ES",2020
"42",234,"SL18-CC-8-FG1xSL18-NC-8-MG2",-0.110325581238326,0.297066272919795,"ES",2020
"43",238,"SL18-CC-6-FG1xSL18-JS-5-MG2",-0.0466192186780184,0.296257462172425,"ES",2020
"44",239,"SL18-CC-12-FG2xSL18-LL-9-MG4",0.941452459961629,0.207998608368828,"ES",2020
"45",244,"SL18-CC-10-FG4xSL18-NC-2-MG2",0.510035598929084,0.344210458390695,"ES",2020
"46",247,"SL18-CC-1-FG2xSL18-NC-11-MG2",-0.0711039789523363,0.319492148504947,"ES",2020
"47",248,"SL18-CC-12-FG3xSL18-NC-11-MG2",-0.0973712539523358,0.313870305727666,"ES",2020
