factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
-0.01102452 -0.1947885 -0.3013366 -0.04473478 0.09584723
-0.02556991 -0.3079888 -0.2372452 -0.1944145 0.1582412
-0.07832522 -0.1313665 -0.334472 -0.4190131 0.1209156
0.02038481 -0.110391 -0.3488723 -0.4493135 0.1907763
-0.101854 -0.1423391 -0.4134033 -0.1929004 0.1165887
-0.2938883 -0.3909645 -0.3765501 -0.1278344 0.05550707
-0.05187105 -0.2734621 -0.3852872 -0.2944462 0.1283648
0.08295777 0.01052646 -0.4413278 -0.3720932 0.1819446
0.2633935 0.03887399 -0.2409442 -0.3179044 0.2202024
0.2017041 0.1434353 -0.3611774 -0.289782 0.2687484
0.06977867 -0.07439452 -0.2196739 -0.3400769 0.2293988
0.170416 0.1081488 -0.1322416 -0.2662145 0.2322931
0.06502834 0.1339613 -0.2597794 -0.2265779 0.3010731
0.1996661 0.08431987 -0.2715606 -0.4605154 0.197077
0.208367 0.2409938 -0.2704271 -0.2493062 0.1752215
0.310571 0.202452 -0.09666576 -0.2521075 0.2229833
0.2488757 0.1875869 -0.1453489 -0.5804392 0.2944587
0.1592145 0.08263676 -0.3327595 -0.4659043 0.3224969
0.273945 0.1389171 -0.1185569 -0.4715407 0.2798838
0.3676931 0.2381529 0.01624665 -0.3996617 0.244766
0.1858374 0.2105172 -0.09878553 -0.3871417 0.1336663
0.1885 0.3415985 -0.0907258 -0.5269395 0.2235715
-0.1480829 -0.1355367 -0.2955894 -0.2543692 0.1920945
0.1078498 -0.06790593 -0.175723 -0.3273924 0.2391147
0.0348634 0.00516086 -0.164702 -0.1214685 0.191275
0.1135383 0.03500723 -0.1976699 -0.3680909 0.2225503
0.002064126 -0.1935703 -0.2325273 -0.300054 0.143268
-0.02305678 -0.04788375 -0.2660299 -0.3587375 0.1432285
-0.02699704 -0.03176153 -0.06723256 -0.1718235 0.02141019
0.1517074 -0.008227539 -0.1203802 -0.2409001 0.04043009
0.1382091 0.06993026 0.0244162 -0.166097 0.08491759
0.0001759895 -0.1605778 -0.07079057 -0.4049195 0.05913426
