"","testing","Crosses","yBLUE","yHat","popChk","Year"
"1",124,"SL18-JS-16-FG3xSL18-NC-10-MG3",0.0812286946965967,0.267306746343814,"ES",2020
"2",133,"SL18-JS-16-FG1xSL18-CC-4-MG11",-0.151354840970926,0.345299023051674,"ES",2020
"3",143,"SL18-JS-5-FG1xSL18-LD-2-MG4",0.076056025291901,0.210142706283609,"ES",2020
"4",153,"SL18-JS-16-FG1xSL18-LD-2-MG2",-0.215034661963951,0.263898937583873,"ES",2020
"5",161,"SL18-JS-16-FG3xSL18-OD-6-MG2",-0.0324405623973124,0.260480246355924,"ES",2020
"6",182,"SL18-JS-5-FG1xSL18-OI-14-MG1",-0.19882989451289,0.355255061699182,"ES",2020
"7",208,"SL18-JS-19-FG3xSA18-CB-3-MG2",-0.0885071939523353,0.424053923511991,"ES",2020
"8",210,"SL18-JS-5-FG1xSA18-CB-1-MG12",-0.246608951326765,0.452554651069817,"ES",2020
"9",211,"SL18-JS-16-FG3xSA18-CB-4-MG3",-0.220389804326765,0.479477303296422,"ES",2020
"10",223,"SL18-JS-19-FG3xSL18-OI-17-MG1",-0.129762875933734,0.362339831926754,"ES",2020
"11",227,"SL18-JS-9-FG3xSA18-CB-10-MG1",-0.0580589571662221,0.312581472575401,"ES",2020
"12",230,"SL18-JS-19-FG3xSL18-LD-13-MG3",0.0351535507514826,0.305186195432503,"ES",2020
"13",237,"SL18-JS-19-FG2xSA18-CB-10-MG3",0.0963865233219814,0.302360653687948,"ES",2020
"14",243,"SL18-JS-5-FG2xSL18-OI-5-MG3",-0.143305077070915,0.336232950338916,"ES",2020
