factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
-0.02365487 -0.1112742 -0.2627974 -0.2910579 0.131454
-0.04603519 -0.1545038 -0.3059158 -0.3784324 0.2064339
0.01170555 -0.321765 -0.4090564 -0.1636639 0.1748992
-0.08733864 -0.1555805 -0.1505397 -0.3849323 0.1827057
-0.04393257 -0.4225523 -0.2547057 -0.346582 0.2090782
0.1119504 0.004849725 -0.2788767 -0.4213424 0.261667
0.09464 0.1156249 -0.2321681 -0.49049 0.2607971
0.2911315 0.3311672 -0.3087021 -0.3024547 0.3240995
0.06788486 0.2524507 -0.3441617 -0.3096314 0.2678461
-0.00885715 0.2130196 -0.4443598 -0.3997152 0.1412747
0.008820215 -0.009371927 -0.1706088 -0.4706213 0.1855076
0.05941715 0.08607458 -0.04081389 -0.3070501 0.1656875
0.2076425 0.05367041 -0.2004511 -0.2501919 0.1622861
0.07512044 -0.07394624 -0.1700803 -0.3844495 0.237942
0.2074906 0.03699382 -0.31953 -0.2910971 0.2499064
0.3927108 0.1781107 -0.3177258 -0.5662559 0.3458197
0.1874157 0.0866967 -0.4077376 -0.3154402 0.2406442
-0.009273815 0.1471898 -0.161092 -0.4656164 0.2797186
-0.1067065 0.00329938 -0.299455 -0.2072412 0.2915961
-0.07015492 -0.02900491 -0.2367872 -0.1448897 0.2050803
0.03591164 0.04566611 -0.1142543 -0.2784986 0.1793074
0.05733125 0.09534821 -0.07554688 -0.4384658 0.1323602
0.2579896 0.157452 -0.1479143 -0.5489979 0.2577034
-0.1105458 -0.4628943 -0.3476482 -0.4915302 0.2393784
0.02815013 -0.01727104 -0.4767483 -0.2543049 0.2102425
-0.09519676 -0.08914698 -0.3735965 -0.3368857 0.2220977
-0.1144187 -0.2894254 -0.2543987 -0.2907793 0.1604681
-0.31118 -0.3142811 -0.3522256 -0.4378505 0.2807311
-0.3401943 -0.1105383 -0.5587743 -0.2246924 0.2335929
-0.07791336 -0.07893879 -0.3456266 -0.3967885 0.1418439
0.1485245 0.2158908 -0.2136639 -0.247208 0.04264986
0.2504927 0.2657458 -0.1666928 -0.4880253 0.1266909
0.2777898 0.2082926 -0.002411525 -0.03873973 0.03714558
0.1647988 0.1050034 -0.0240197 -0.07155557 0.03730708
-0.01140641 -0.05689848 0.05532543 -0.2822651 0.05619556
-0.07788372 -0.06136524 0.1509616 -0.04225092 0.0810156
0.09556159 0.01764567 0.0634628 -0.2243054 0.04593514
0.2090933 0.07962786 0.1569796 0.04036259 0.06682916
0.1919572 0.09824542 0.1424636 -0.01429367 0.1216728
0.2087409 0.2286703 0.01681628 -0.08451067 0.1751946
0.2148142 0.3934981 0.05256063 -0.101846 0.2155248
0.2959529 0.3533896 -0.04910208 -0.04982313 0.2014372
-0.01440137 -0.06391455 -0.1387268 -0.2644329 0.2484954
-0.009499567 0.02340348 -0.2800967 -0.2864961 0.2693653
-0.007147885 0.05325103 -0.3405391 -0.287287 0.2452389
0.1820503 0.1611113 -0.1940271 -0.287603 0.2645047
0.2277261 0.120804 -0.06081168 -0.4093234 0.1948001
0.1233859 0.2259026 0.02805165 -0.2786476 0.2240074
0.1366092 0.05670902 0.01170399 -0.3928088 0.147387
0.2680398 0.1072566 0.04116518 -0.1900924 0.1773134
0.1076175 0.02113774 0.04918685 -0.2332826 0.2467726
-0.006473828 0.1951612 -0.09464391 -0.4934489 0.2982683
0.1974225 0.0001273203 -0.3358617 -0.429108 0.3055141
0.08989746 0.1254761 -0.0805395 -0.4341966 0.1684892
-0.02488261 -0.05157009 -0.07029893 -0.4735484 0.142962
0.1510616 -0.1038191 -0.063867 -0.2671393 0.1742994
0.155319 0.1355196 -0.07915556 -0.1815904 0.1761802
0.06134505 -0.0378426 -0.1121256 -0.3949856 0.09824424
0.2065932 0.2546389 0.03546689 -0.2778584 0.104885
0.4088002 0.2800655 0.09661425 -0.2133376 0.1533151
0.1713743 0.1793754 0.185368 -0.3256954 0.223376
0.115188 0.03393916 -0.06221697 -0.2261392 0.2451423
0.1973649 0.152095 0.04770946 -0.3274169 0.2011088
0.07050506 0.0956373 -0.1522244 -0.4326069 0.1971006
0.3348308 0.1028506 -0.1430365 -0.289222 0.2773014
0.3302692 0.1875885 -0.3872329 0.05889813 0.2849083
0.4830849 0.3413714 -0.3857366 -0.1017733 0.242354
0.2543922 0.2397266 -0.1712523 -0.4078123 0.2739746
0.24307 0.02581675 -0.4120357 -0.3647278 0.2702563
0.2732663 0.1143796 -0.177871 -0.4558785 0.3464938
0.3778598 0.1720406 -0.1500934 -0.4398624 0.248256
0.1557448 0.06785901 -0.3342727 -0.4020667 0.2976397
0.2204457 -0.06587933 -0.262806 -0.3305005 0.1983458
-0.0563883 -0.2771468 -0.532287 -0.2369781 0.1787166
-0.02750581 -0.1601481 -0.3203591 -0.2016833 0.2212424
0.2731344 0.1605534 -0.338428 -0.25868 0.1432511
0.1531003 0.1456785 -0.3119081 -0.3685975 0.2103505
-0.1036719 -0.1950284 -0.4742196 -0.4508542 0.2112614
0.01096067 0.009146409 -0.3636696 -0.4684684 0.2129843
0.1598197 0.01840034 -0.3028017 -0.5114023 0.2596467
0.1145174 0.1143123 -0.06875473 -0.3515992 0.1726927
0.09135952 0.2598471 -0.09554679 -0.3941685 0.1566741
0.1252247 -0.02987368 0.1134384 -0.1435354 0.1524763
0.07701033 -0.03069097 -0.04286043 -0.1628129 0.09191518
0.1335707 -0.007841624 -0.01605014 -0.2540648 0.1448633
0.2862211 0.05343984 -0.1916915 -0.4177989 0.1523255
0.4067232 0.257171 0.008805475 -0.3065439 0.1272709
0.01066405 0.002932458 -0.001164086 -0.301192 0.111182
-0.03804118 0.05272914 -0.1594537 -0.4546154 0.1438056
0.1203057 0.09273459 -0.3169633 -0.3834038 0.1747923
0.05130449 0.05965867 -0.2218632 -0.4374411 0.2362432
-0.01257894 -0.1428418 -0.09853906 -0.3808678 0.1279781
0.1338825 0.008730798 -0.1102045 -0.401021 0.1848694
-0.02836599 -0.1091599 -0.3038604 -0.4807011 0.2136674
-0.07673869 -0.1042044 -0.3396085 -0.3467713 0.1707115
0.2213003 0.2110897 -0.1573659 -0.3853723 0.1575828
0.2210797 0.184403 -0.1897944 -0.2491788 0.1312887
0.1770661 0.1083097 -0.00345447 -0.2156832 0.1169639
0.3390657 -0.04122376 -0.1109156 -0.2904786 0.1789224
0.2307041 0.07713636 -0.03282018 -0.153153 0.171097
0.1864995 0.002832079 -0.1387094 -0.2507446 0.2060299
0.1848109 0.2181566 -0.2351392 -0.3137779 0.2103003
0.1297487 -0.04377821 -0.2026751 -0.2857168 0.17376
0.2950125 0.08264009 -0.03264149 -0.399691 0.1470758
0.07524306 0.06440668 -0.09507581 -0.6704702 0.1631797
0.3028669 0.2055461 -0.2500555 -0.3572445 0.1528754
0.1733835 0.1228258 -0.2135395 -0.3614158 0.1427442
0.1991557 0.1220131 -0.1235518 -0.1305315 0.2134491
0.2085933 0.1667815 -0.04500879 -0.2314592 0.1833687
0.2015707 0.2629944 -0.1710278 -0.3045292 0.1535454
0.2336191 0.1964527 -0.2958691 -0.3667467 0.1595863
0.01001521 -0.2155875 -0.3022243 -0.4062256 0.1654614
0.04609069 -0.06670296 -0.2355385 -0.3041078 -0.0009459161
0.03431912 -0.03585692 -0.1302735 -0.2993816 -0.02575893
0.08258767 -0.1044251 -0.05799867 -0.3773059 -0.02928463
-0.0815687 -0.04783024 -0.006506724 -0.3450354 0.003322907
-0.107315 -0.1356977 -0.04122632 -0.2732459 0.07580421
-0.1755152 -0.1125947 -0.1202236 -0.2400964 0.06823761
-0.004413755 -0.1383995 -0.07932355 -0.330839 0.03994745
0.1451592 0.1318541 0.07800997 -0.2986454 0.01443616
0.2939825 0.3073661 0.04245865 -0.3210418 0.07459421
0.1958211 0.03423562 0.166264 -0.3611621 0.07208556
0.2634643 0.1687347 -0.05406826 -0.2210685 0.1153062
-0.02294224 0.03442386 -0.2905662 -0.2295127 0.09060118
0.05785113 -0.1331377 -0.2741352 -0.305375 0.1556952
-0.1645537 -0.28733 -0.1620426 -0.2189389 0.1833294
0.02053607 -0.02160336 -0.2011044 -0.102175 0.1993509
0.1959305 0.1449867 -0.2301939 -0.2606888 0.2244783
0.06388308 0.1027674 -0.3669325 -0.3653221 0.2363752
0.2303614 0.04260357 -0.141442 -0.4469856 0.2344497
0.1422598 0.08638615 -0.1437997 -0.2485953 0.1233953
0.005135511 -0.1750369 -0.3502046 -0.3882191 0.1483417
-0.09428131 -0.1240031 -0.3063234 -0.4346069 0.2008589
-0.1817805 -0.3069666 -0.2164793 -0.2970691 0.2027713
-0.1716251 -0.3311254 -0.3066769 -0.440216 0.2312402
-0.01874429 -0.03156375 -0.1457007 -0.2533301 0.1211179
0.2484321 0.06706885 0.129768 0.02684747 0.02776465
0.3062784 0.1656009 0.02254191 -0.2524328 0.09197867
-0.0171418 0.02625772 -0.04143898 -0.1853862 0.08722978
-0.1261042 -0.1003337 -0.03968477 0.002790139 0.1804546
-0.077042 -0.02907824 -0.08972599 -0.08349911 0.06553144
-0.1747858 -0.1753792 -0.2321813 -0.3242901 0.09114302
-0.07037868 -0.1432306 -0.1737334 -0.2342214 0.1384319
-0.2316369 -0.3105341 -0.1075784 -0.2097551 0.1182572
-0.1478962 -0.279283 -0.1759632 -0.295445 0.0863464
-0.06813604 -0.1904228 -0.05116904 -0.278168 0.07143102
-0.124343 -0.2141183 -0.1171393 -0.328037 0.09784984
0.0008257489 -0.09956525 -0.2064793 -0.1312289 0.1088639
0.1352697 -0.03670869 -0.2369724 -0.09847413 0.14904
0.06055073 0.3005674 -0.1329679 -0.4459964 0.2091506
0.1616455 0.06959867 -0.2529237 -0.1763467 0.168248
0.05875108 0.013023 -0.2682831 -0.3516751 0.3106461
0.1250803 0.1558898 -0.4768878 -0.3567818 0.2201134
0.04685835 -0.1756261 -0.3777687 -0.4446668 0.1840169
0.2506476 0.3079087 -0.2945755 -0.3224343 0.1881327
0.2394718 0.1841787 -0.1187432 -0.1924174 0.2199782
0.1523377 0.1079808 -0.206461 -0.2609883 0.1525734
0.05511117 -0.04668798 -0.2658885 -0.4455171 0.1252638
0.03829168 -0.1968874 -0.1133839 -0.3658669 0.09695207
0.007330086 -0.1922545 -0.06980287 -0.2185796 0.09164324
0.05001924 -0.1241381 -0.1579786 -0.1504538 0.1239967
0.04417441 0.1713934 -0.2005781 -0.3177318 0.08569075
0.08755662 0.1304719 -0.1468046 -0.4042611 0.06911317
0.2758334 0.1664031 -0.2547611 -0.1217367 0.07107208
0.2198534 0.130712 -0.1879172 -0.2288549 0.1349712
0.06011855 -0.09090925 -0.2099641 -0.3757854 0.1059536
0.007423125 -0.01725817 -0.06315289 -0.2895447 0.09661421
0.2045862 -0.09077071 0.08486017 -0.1318728 0.06110833
0.1952891 0.2452566 0.02457276 -0.03154604 0.08325494
-0.1392903 -0.1055546 0.02351848 -0.2300853 0.1507374
-0.01414068 -0.02860367 -0.05679919 -0.2707894 0.119307
0.03411492 -0.1385352 -0.1320978 -0.2451414 0.1450154
-0.1501203 -0.2100634 -0.2023009 -0.3333143 0.1219615
-0.01881701 -0.06742454 -0.1390972 -0.2775462 0.07721985
-0.2054429 -0.1889651 -0.08204316 -0.2743338 -0.05238079
-0.3761006 -0.3215196 -0.1253904 -0.1929808 -0.02547162
-0.3599762 -0.3395976 -0.1918756 -0.3959178 -0.001915667
-0.286823 -0.2079631 -0.1526682 -0.2671271 -0.08272009
-0.06299741 -0.1489962 -0.1069389 -0.1922097 -0.07239375
-0.009174622 -0.09041684 -0.002899188 -0.1700848 -0.0003757046
0.09882684 0.1221421 0.02375479 -0.3094877 -0.00754795
-0.09211686 -0.09030679 -0.1369275 -0.2697625 0.09104107
0.04500551 0.03045253 -0.0729097 -0.2460849 0.08366984
0.05427427 0.1150897 -0.1000866 -0.5099115 0.1173641
0.1749326 0.08703309 -0.120008 -0.3279401 0.1451251
-0.00947445 -0.06364041 -0.2461224 -0.4987394 0.1178815
-0.09425068 -0.09915826 -0.3817855 -0.3940505 0.2118747
0.03519053 -0.07296594 -0.2810064 -0.4125935 0.2093046
0.05293552 0.01969867 -0.2258638 -0.3335861 0.1483754
0.02976215 -0.006674435 -0.2023381 -0.1779131 0.08877033
-0.01641701 -0.05331198 -0.05063465 -0.3058447 0.0775037
0.03177767 -0.09584393 0.01944319 -0.1462234 0.04451106
0.1545025 0.00661843 -0.03712227 -0.2387241 0.07865078
0.2297467 0.2012184 0.007349084 -0.2783917 0.09809611
0.01927034 0.01244958 -0.05669896 -0.346914 0.0844629
-0.1362775 -0.01884794 -0.1844813 -0.3251673 0.08291946
0.007847193 0.09801694 0.01473155 -0.3472621 0.06931214
-0.03245485 -0.01933736 -0.1551975 -0.2432428 0.1897213
-0.1179742 -0.02052769 -0.1373398 -0.1060269 0.0773334
0.08149328 0.1719198 -0.03167715 -0.2285072 0.103486
0.03325362 -0.1147401 -0.18442 -0.3146326 0.1637094
-0.1296395 -0.2817063 -0.3509353 -0.2404265 0.227227
-0.3288479 -0.3442695 -0.3991799 -0.06087747 0.1475909
-0.214497 -0.1887961 -0.1581477 -0.1630984 0.1230564
0.02255263 -0.05619725 -0.04766992 -0.3372298 0.04979617
-0.09686964 -0.2857852 -0.249314 -0.317572 0.0376292
-0.1473894 -0.2215775 -0.3285657 -0.4279456 0.1173069
-0.03706606 -0.04746737 -0.232892 -0.4129439 0.09898874
0.0534878 0.005771691 -0.1846013 -0.2976676 0.06288364
0.04887303 0.003925965 -0.1638106 -0.3527865 0.1004671
0.04764968 -0.03239456 -0.361126 -0.02647543 0.1025743
0.0216506 0.01113326 -0.1755546 -0.4512304 0.1728949
0.09923393 -0.05169249 -0.2699446 -0.477918 0.2131219
-0.05894907 -0.02362075 -0.2680466 -0.5659678 0.2562407
-0.02681339 -0.0895289 -0.2194333 -0.2107201 0.2273621
0.2206301 0.2003862 -0.1483559 -0.2128853 0.2888983
0.1238858 0.1418292 -0.1092936 -0.3326664 0.2383621
0.1523993 0.1413088 -0.1585723 -0.2528102 0.144824
0.1580086 0.1049076 -0.03734527 -0.3891132 0.133062
0.1606667 0.1170995 0.1396933 -0.2856401 0.07480961
0.3274261 0.2539638 0.06347989 -0.3224614 0.1022836
0.3766639 0.2666205 0.1694349 -0.2005602 0.06465139
0.4313031 0.3168249 0.1346852 -0.2387032 0.1211756
0.2720464 0.2064877 0.1102168 -0.1667793 0.1104509
0.4353784 0.2394303 0.02750693 -0.3406356 0.1064765
0.3391908 0.3641286 -0.0331081 -0.2970571 0.08899148
0.1386891 0.1373744 -0.2790227 -0.3854969 0.1158689
0.09011719 -0.09543179 -0.2514712 -0.4262122 0.1555243
-0.1758516 -0.09330527 -0.3045627 -0.3153183 0.1555726
0.07023423 -0.01417104 -0.04941626 -0.1793956 0.1270168
0.09275458 0.1531174 -0.0738053 -0.2368204 0.2001891
0.2003844 0.0656437 -0.1108697 -0.4017345 0.1836957
0.2735128 0.154743 -0.06059371 -0.3793913 0.1882667
0.2547274 0.1059945 -0.07778944 -0.4485211 0.1990096
0.1665244 0.1302703 -0.0811521 -0.389002 0.1717566
0.1175651 -0.1032898 -0.1463755 -0.520678 0.1292396
0.01839471 -0.09274639 -0.2534961 -0.3487737 0.1756227
-0.04987948 -0.2037354 -0.2079353 -0.3599913 0.1194336
-0.3093211 -0.2421231 -0.1921332 -0.3726887 0.1483749
-0.1844988 -0.1057218 -0.2347656 -0.05580205 0.1536571
-0.1084495 -0.233187 -0.09014294 -0.2801185 0.1332892
