"","testing","Crosses","yBLUE","yHat","popChk","Year"
"1",2,"SL18-LD-10-FG1xSL18-OI-4-MG1",-0.289293215058616,0.144457050574901,"ES",2019
"2",9,"SL18-LD-10-FG2xSA18-CB-7-MG2",0.0449934514384039,0.317083120219966,"ES",2019
"3",10,"SL18-LD-10-FG2xSL18-NL-3-MG2",-0.424418572323028,0.155765043980284,"ES",2019
"4",19,"SL18-LD-13-FG2xSL18-LD-13-MG2",-0.0377318694405124,0.118932564123031,"ES",2019
"5",39,"SL18-LD-1-FG1xSL18-NL-2-MG2",-0.408129123911241,0.14069220472241,"ES",2019
"6",47,"SL18-LD-1-FG1xSL18-OI-18-MG1",-0.398129123911243,0.154007906357003,"ES",2019
"7",54,"SL18-LD-1-FG2xSA18-CB-4-MG3",0.00439737088284459,0.215351000743093,"ES",2019
"8",65,"SL18-LD-1-FG2xSL18-SF-13-MG3",-0.15871710014981,0.235304730938617,"ES",2019
"9",66,"SL18-LD-1-FG2xSL18-SF-15-MG1",-0.0650065485615968,0.28255635597579,"ES",2019
"10",67,"SL18-LD-1-FG3xSL18-NL-5-MG1",-0.35312257534965,0.185515860705787,"ES",2019
"11",68,"SL18-LD-1-FG3xSL18-OI-11-MG2",-0.111892077528942,0.200112921113502,"ES",2019
"12",69,"SL18-LD-1-FG3xSL18-OI-15-MG1",-0.107551773209009,0.271837538823467,"ES",2019
"13",70,"SL18-LD-1-FG3xSL18-OI-16-MG1",-0.398705238820051,0.253381623255464,"ES",2019
"14",71,"SL18-LD-1-FG3xSL18-OI-6-MG2",-0.0875517732090085,0.246114605321522,"ES",2019
"15",72,"SL18-LD-1-FG3xSL18-OI-7-MG1",-0.230000000000004,0.222401843669906,"ES",2019
"16",73,"SL18-LD-1-FG3xSL18-OI-9-MG3",-0.132545224647415,0.194321031757832,"ES",2019
"17",75,"SL18-LD-1-FG3xSL18-NL-9-MG2",-0.372691400220808,0.226556798623224,"ES",2019
"18",76,"SL18-LD-1-FG3xSL18-OI-15-MG2",-0.206963796970441,0.244940089279073,"ES",2019
"19",77,"SL18-LD-2-FG2xSA18-CB-3-MG3",-0.210000000000003,0.22280046976836,"ES",2019
"20",78,"SL18-LD-2-FG2xSL18-LL-9-MG2",-0.29441857232303,0.171195257203221,"ES",2019
"21",79,"SL18-LD-2-FG2xSL18-NL-9-MG1",-0.33871710014981,0.178181322810492,"ES",2019
"22",80,"SL18-LD-2-FG2xSL18-SF-19-MG1",-0.017584899148173,0.187010396219965,"ES",2019
"23",81,"SL18-LD-3-FG1xSL18-NL-9-MG1",-0.369977851143756,0.108808160040439,"ES",2019
"24",82,"SL18-LD-3-FG1xSL18-SF-19-MG2",-0.27870523882005,0.246474807781849,"ES",2019
"25",83,"SL18-LD-3-FG2xSA18-CB-2-MG3",-0.149400500441522,0.145283238928892,"ES",2019
"26",84,"SL18-LD-3-FG2xSL18-LL-9-MG2",-0.258965216753327,0.105367383039414,"ES",2019
"27",85,"SL18-LD-3-FG2xSL18-SF-17-MG3",-0.316855275794111,0.151158841805008,"ES",2019
"28",86,"SL18-LD-4-FG1xSA18-CB-2-MG1",-0.285582663470404,0.239997509900367,"ES",2019
"29",87,"SL18-LD-4-FG1xSL18-NL-3-MG2",-0.353279376459376,0.125480556016527,"ES",2019
"30",88,"SL18-LD-4-FG2xSL18-LL-9-MG1",-0.294397708892698,0.179775467246261,"ES",2019
"31",89,"SL18-LD-4-FG2xSL18-SF-15-MG2",-0.191852484245286,0.268583068982732,"ES",2019
"32",90,"SL18-LD-4-FG3xSL18-SF-17-MG1",-0.235254665165115,0.193549444351703,"ES",2019
"33",91,"SL18-LD-5-FG1xSA18-CB-10-MG1",-0.199400500441523,0.143250640813084,"ES",2019
"34",93,"SL18-LD-9-FG2xSL18-SF-13-MG3",-0.295254665165113,0.17892824142201,"ES",2019
"35",94,"SL18-LD-9-FG3xSL18-NL-7-MG1",-0.25871710014981,0.178679734527153,"ES",2019
"36",95,"SL18-LD-9-FG3xSL18-SF-17-MG1",-0.163122575349649,0.230126713444587,"ES",2019
"37",99,"SL18-LD-10-FG1xSA18-CB-1-MG2",-0.233279376459375,0.161304517898785,"ES",2019
"38",116,"SL18-LD-10-FG1xSL18-OI-18-MG1",-0.374418572323029,0.184679307884016,"ES",2019
"39",129,"SL18-LD-13-FG2xSL18-LD-13-MG2",-0.0377318694405124,0.253865009946973,"ES",2019
"40",169,"SL18-LD-2-FG2xSL18-SF-19-MG1",-0.017584899148173,0.366565920300713,"ES",2019
"41",170,"SL18-LD-13-FG2xSA18-CB-7-MG1",0.205266906880008,0.411606444335376,"ES",2020
"42",189,"SL18-LD-9-FG4xSL18-OI-6-MG2",0.350706588172327,0.344071769531737,"ES",2020
