factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
-0.06121101 -0.03551708 0.04851479 0.009327938 -0.00910716
0.1108627 0.07840218 -0.048539 -0.2589996 0.1595639
-0.1440491 0.09000255 -0.2233643 -0.3251058 0.1835129
-0.05199339 -0.3211605 -0.3728658 -0.2110835 0.2122536
-0.03076798 0.08101939 -0.2010459 -0.2270871 0.123251
0.4406885 0.2742455 -0.3532778 -0.4217758 0.1580557
0.6505302 0.2279037 -0.372248 -0.1410134 0.1935168
0.8276026 0.00327218 -0.2979934 -0.4100023 0.1976424
1.032011 0.2230168 -0.1407469 -0.3366107 0.1550454
0.7491257 0.1685761 0.0145789 -0.4057916 0.1423474
0.9927893 0.3219124 -0.02899507 -0.1718552 0.1585248
1.024546 0.5343032 -0.1920873 -0.3237488 0.1512934
0.6976159 0.8396911 -0.2359178 -0.3732899 0.1920387
0.9695469 0.7278158 -0.3239367 -0.3276118 0.1675828
1.190615 0.9450456 -0.3006441 -0.2587745 0.08350885
1.399252 0.9639101 0.04291035 -0.2768958 0.05615095
1.474713 1.181192 -0.03967378 -0.2168916 0.06845323
1.777545 0.693791 -0.02479572 -0.3453794 0.1206292
1.573613 0.8992968 -0.1370413 -0.2960844 0.1010425
1.324044 0.9047382 -0.3197977 -0.1806073 0.1220865
1.61911 1.084508 -0.3758523 -0.5344265 0.2171776
1.373099 0.8772555 -0.4130761 -0.5064337 0.3464909
1.337752 0.8841661 -0.3447896 -0.2305229 0.2687546
1.374664 1.271879 -0.1681746 -0.2217885 0.1571094
1.638084 1.407576 -0.3272621 -0.4271965 0.163366
1.402074 1.801595 -0.1447192 -0.2738211 0.08087353
1.522393 1.638688 -0.1693218 -0.3342574 0.1535603
1.669573 1.893835 -0.1872495 -0.2171538 0.03394654
1.556123 1.181596 -0.08949454 -0.269512 0.02328468
1.348113 1.305185 -0.01974753 -0.3466242 0.1217058
1.434808 1.475481 0.003703486 -0.408008 0.02433538
1.105413 1.575829 -0.1618328 -0.247223 0.05352429
0.9966649 1.407926 -0.425918 -0.3505625 0.07763109
0.8473555 1.704148 -0.2319133 -0.2947182 0.07625238
0.7550046 1.837231 -0.2498585 -0.1931101 0.1196081
0.7146523 1.85485 -0.3802284 -0.4641912 0.1632762
0.756119 1.862943 -0.5829295 -0.4037838 0.1948366
0.424568 1.964671 -0.2492066 -0.614114 0.2484048
0.05542688 2.175014 -0.210786 -0.2710749 0.1733921
0.06899395 1.982139 -0.04746875 -0.3900112 0.1273244
-0.2964819 2.058211 -0.01323592 -0.3922937 0.06220105
-0.1475037 1.777927 -0.1049835 -0.00948002 0.08792168
-0.2526647 1.841452 0.002565777 -0.03455954 0.08409886
-0.0844991 2.084153 -0.09795222 -0.183043 0.07368975
-0.4531048 2.299369 0.04823888 -0.3870822 0.04743652
-0.4688248 1.852063 -0.2708651 -0.2133599 0.1373258
-0.3345173 1.894736 -0.1502556 -0.07350905 0.1244231
-0.4357977 1.826773 -0.1614064 -0.2970638 0.04391944
-0.535568 1.830297 -0.2303723 -0.2801044 0.06398572
-0.4843286 1.907862 0.004878182 -0.2021395 0.06495374
-0.02072893 1.822026 -0.2158786 -0.2629657 0.09444448
0.09851407 1.960673 -0.3848886 -0.4657834 0.1901009
0.1233095 1.843557 -0.2962388 -0.2162294 0.2106225
-0.02720441 1.830576 -0.2034866 -0.3850097 0.1634746
0.04102541 1.523861 -0.4429704 -0.4467168 0.2162029
-0.02840736 0.9774397 -0.3319144 -0.2236197 0.1925504
-0.09560322 0.6693799 -0.1228932 -0.3126881 0.2866101
-0.420905 0.5322382 -0.2328653 -0.2432653 0.3676681
-0.2745616 0.8214202 -0.3712591 -0.3268545 0.2660925
-0.4402601 0.9449722 -0.4779183 -0.4830861 0.2490792
-0.3178245 0.7140194 -0.4284122 -0.6476594 0.2440527
-0.1473252 0.3436418 -0.3189242 -0.5305064 0.2418619
-0.361931 0.3454135 -0.5694146 -0.2963995 0.2787128
-0.3876976 0.8512853 -0.3514383 -0.5570523 0.2909264
-0.0601415 1.039319 -0.1228966 -0.6502644 0.331958
-0.09411513 1.002933 -0.135038 -0.3832635 0.2700299
-0.1753053 0.9162736 -0.0492276 -0.4203303 0.1250214
0.03718223 1.251932 0.02572351 -0.1474334 0.1095743
0.2116914 1.283616 -0.1153076 -0.184551 0.2081363
0.06030149 0.8271918 -0.1101685 -0.4131859 0.1961356
0.1524383 0.6305805 -0.1869815 -0.3887923 0.145039
-0.09944668 0.7355059 -0.394569 -0.3946514 0.1912975
-0.4229714 1.188075 -0.3104685 -0.5679443 0.2341454
-0.594964 0.941232 -0.211479 -0.5645846 0.258641
-0.8357982 1.155091 -0.2904509 -0.541278 0.2680787
-0.6462804 0.9201688 -0.1912435 -0.4896992 0.2771916
-0.5204489 0.5088129 -0.08379058 -0.4264389 0.2475176
-0.3741938 0.4349226 -0.1690141 -0.4270503 0.2529262
-0.7457013 0.6457317 -0.2788184 -0.4831946 0.3281373
-1.002059 0.5363543 -0.4586238 -0.2611982 0.1675888
-0.8064746 0.7358826 -0.3537476 -0.00380247 0.1379778
