"","testing","Crosses","yBLUE","yHat","popChk","Year"
"1",251,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-6.44240337990389,"Z1",2019
"2",252,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-6.39869279349788,"Z1",2019
"3",253,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-6.48683932515196,"Z1",2019
"4",254,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-6.4512344169503,"Z1",2019
"5",255,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-6.43915070183678,"Z1",2019
"6",256,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-6.43026143232915,"Z1",2019
"7",257,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-6.31817321793019,"Z1",2019
"8",258,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-6.38984891678179,"Z1",2019
"9",259,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-6.36583936210674,"Z1",2019
"10",260,"SL18-ME-1-FG1xSL18-ME-1-MG1",-0.274473040958907,-6.37196774152089,"Z1",2019
"11",261,"SL18-ME-1-FG1xSL18-ME-2-MG2",-0.365047920074288,-15.9362174819485,"Z2",2019
"12",262,"SL18-ME-1-FG1xSL18-ME-2-MG2",-0.365047920074288,-15.9268364244671,"Z2",2019
"13",263,"SL18-ME-1-FG1xSL18-ME-2-MG2",-0.365047920074288,-15.9987604679454,"Z2",2019
"14",264,"SL18-ME-1-FG1xSL18-ME-2-MG2",-0.365047920074288,-15.9748731211459,"Z2",2019
"15",265,"SL18-ME-1-FG1xSL18-ME-2-MG2",-0.365047920074288,-15.9866767528319,"Z2",2019
"16",266,"SL18-ME-1-FG1xSL18-ME-2-MG2",-0.365047920074288,-15.8814408710535,"Z2",2019
"17",267,"SL18-ME-1-FG1xSL18-ME-2-MG2",-0.365047920074288,-15.9695874027071,"Z2",2019
