factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
-0.3589915 -0.266216 -0.1289201 -0.05067475 0.06636616
-0.4529519 -0.4851106 -0.04210012 -0.1344639 0.1025002
-0.05718941 -0.2791522 -0.45486 -0.5040249 0.2786801
-0.387402 -0.2978192 -0.2821909 -0.1220429 0.2287467
-0.5260069 -0.04229734 -0.1756593 -0.2913065 0.155999
-0.6569868 -0.1169239 0.08253429 -0.3414693 0.175818
-0.3994468 -0.3037771 -0.09992255 -0.6900302 0.2847504
-0.5307415 -0.3563732 -0.2574314 -0.3976224 0.3131748
-0.1358952 -0.1916864 -0.2660912 -0.589451 0.2475815
-0.08457296 -0.4748851 -0.09839862 -0.4039924 0.1787764
-0.1156301 -0.6561211 -0.1770415 -0.3921507 0.167171
-0.2561374 -0.5087001 0.1218867 -0.4668117 0.07655351
-0.6215471 -0.4379898 -0.2294379 -0.2937697 0.2227365
-0.5722858 0.002802835 -0.08653597 -0.3474676 0.3369503
-0.6773515 0.2342428 -0.2586593 -0.6618997 0.3172053
-0.7263203 -0.1994016 -0.1041468 -0.2390757 0.1889943
-0.3087425 -0.1601001 -0.2394566 -0.2718143 0.1893716
-0.4447598 -0.06667913 -0.4395175 -0.4844988 0.2312139
-0.2285191 0.1272175 -0.4850703 -0.6688531 0.3099583
-0.3742129 0.07421344 -0.1602058 -0.2776621 0.3400848
-0.1966074 0.2455908 -0.2401629 -0.3377743 0.3134015
-0.1497915 -0.2053204 -0.2017097 -0.1974994 0.3070278
-0.2650196 -0.8499871 -0.3562448 -0.2691587 0.2581237
-0.2390601 -0.5419199 -0.4408751 -0.3396279 0.2877572
-0.5736224 -0.6402738 -0.3770861 -0.3108809 0.2087652
-0.2784936 -0.548864 -0.3263369 -0.3152476 0.2669052
-0.6611068 -0.8388425 -0.2868596 -0.1637692 0.2455427
-0.9369757 -0.8440238 -0.3622575 -0.5019269 0.2150201
-1.139172 -0.877482 -0.235218 -0.3423453 0.1758191
-1.094445 -0.74493 -0.1302563 -0.3994738 0.2173138
-0.8360551 -0.6587566 -0.1270393 -0.527809 0.3044894
