factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
-0.1843968 0.03085931 -0.2065617 -0.03754204 0.1365926
-0.2731373 -0.08973684 -0.2512754 -0.3780005 0.09352633
-0.4429776 0.005358269 -0.5184852 -0.1412587 0.1657689
-0.2106555 -0.1046512 -0.5166673 -0.4985382 0.246453
0.1243522 -0.1129362 -0.191899 -0.5087792 0.3380535
-0.1163216 -0.2541567 -0.3821769 -0.3525262 0.2879091
-0.3671345 -0.2453058 -0.4880674 -0.554521 0.2478541
-0.2242207 -0.1605564 -0.2532894 -0.03060165 0.2404369
-0.2592018 0.02689006 -0.3064424 -0.1346679 0.247885
-0.1452301 0.09406455 -0.2714852 -0.4513199 0.2546136
-0.1495519 0.437071 -0.204061 -0.1769494 0.3233558
0.1661836 0.006692301 -0.2885528 0.6179753 0.4092282
0.3433878 -0.4401509 -0.6933309 0.5693139 0.3978932
0.6397169 -0.786814 -0.5625893 0.7161743 0.3673782
0.4940067 -0.9557612 -0.3865476 0.6600794 0.2743024
0.3777785 -1.0064 -0.2403689 0.5728524 0.2024306
0.4639349 -0.9612583 -0.151807 0.7887354 0.2055884
0.407737 -1.327408 -0.07773161 0.2300419 0.186259
0.2305659 -1.343523 -0.3055683 -0.08334722 0.2211723
-0.001223156 -1.377938 -0.3568741 -0.1581461 0.2944722
-0.2719212 -1.166461 -0.2299847 -0.1066421 0.2619118
0.0008262451 -1.31706 -0.1907141 0.1147045 0.2208029
0.1383159 -0.8397005 -0.07227088 0.5053313 0.190017
0.03592735 -0.7809145 -0.2838203 0.3617156 0.3049418
0.1827651 -0.221019 -0.401288 0.05999325 0.3564498
-0.1355411 0.07424185 -0.1504701 0.2290051 0.299938
-0.2956652 0.6495044 -0.1243033 0.2307526 0.3554368
-0.477136 1.092857 -0.1941782 0.2878934 0.3951982
-0.3561053 0.8870187 -0.4984769 -0.3983227 0.4558123
-0.2557164 1.753031 -0.3647679 -0.1585594 0.5279029
-0.4793061 1.64697 -0.3056226 0.706567 0.4544135
-0.7830121 0.9340986 -0.365711 0.7351603 0.4073474
-0.9008999 0.5475907 -0.5929391 0.1231304 0.5182166
-1.08528 0.6972629 -0.6586798 -0.007650074 0.4949534
-0.7981474 0.7237407 -0.4353399 -0.1225061 0.5363038
-0.9332606 0.525752 -0.4734465 -0.1702811 0.5372621
-1.061242 0.2795733 -0.5224334 0.01366203 0.540584
-1.411185 -0.1083362 -0.6355474 0.0561656 0.4540547
-1.348241 0.1839771 -0.6266736 0.1441874 0.3911894
-1.336525 -0.2730079 -0.4703976 0.05985042 0.4023131
-1.230702 -0.2023566 -0.5732891 -0.2870989 0.4486691
-1.289492 0.03823092 -0.4582614 -0.3339886 0.4031434
-0.9701981 0.3441715 -0.4123904 -0.2345129 0.4048448
-1.510867 -0.3086939 -0.2890631 -0.3739393 0.2928726
-1.326014 -0.3666516 -0.2481401 -0.03032137 0.3062584
-1.301845 -1.047821 -0.3830164 -0.4868113 0.3704849
-1.155287 -0.980083 -0.07804065 -0.5649844 0.3348983
-1.400872 -0.9159975 -0.3262712 -1.085338 0.2577765
-1.041813 -1.13006 -0.2296606 -0.9911606 0.2821485
-0.6667515 -1.189513 -0.2817348 -1.242647 0.3927991
-0.7514618 -1.091847 -0.5128092 -1.188329 0.4553684
-0.9815255 -1.240853 -0.5139472 -1.225005 0.4678654
-0.8898061 -1.499364 -0.3103341 -1.057581 0.4654097
-0.7152426 -1.597552 -0.6363773 -1.419959 0.6549214
-0.4708694 -1.356206 -0.5871508 -1.052388 0.6891087
-0.6783495 -1.000917 -0.666232 -0.6599302 0.6258028
-0.315357 -0.8484168 -0.4779021 -0.04712707 0.6121349
-0.5517151 -0.511759 -0.2269221 -0.1556885 0.4981133
-0.7204491 -0.2317639 -0.1814741 -0.6284538 0.4345061
-0.642795 -0.1592034 -0.1170248 -0.5574759 0.4244849
-0.6428157 -0.2562977 -0.4757828 -0.8581389 0.3916827
-0.4525331 -0.2157171 -0.3102744 -0.7369773 0.3448004
-0.5057865 0.1298514 -0.6167162 -0.661215 0.3924062
-1.024937 0.2207744 -0.7407096 -0.6117178 0.3546567
-0.9466822 0.09443451 -0.4989233 -0.498179 0.3483522
-0.6695475 0.2300824 -0.1922465 -0.391516 0.3851605
-0.6574619 0.7296676 -0.4114951 -0.4515675 0.5314858
-0.3604517 0.5899372 -0.3269591 -0.2504112 0.4936237
-0.1961529 0.7650223 -0.2457562 0.1555933 0.5583817
-0.3102983 0.9441931 -0.3380056 0.3744697 0.3885933
-0.3706045 0.06051297 -0.2584744 0.9575954 0.3210946
-0.6496142 -0.1850454 -0.55783 1.126792 0.3173536
-0.4330883 -0.3124541 -0.4357726 1.006139 0.3452141
-0.535845 0.01675015 -0.6253665 0.9710244 0.382754
-0.6554383 0.08525562 -0.5364579 1.424403 0.3932698
-0.7317948 0.465115 -0.5688208 1.467169 0.3912165
-0.7872923 0.6838373 -0.3658306 1.236839 0.4951411
-0.7039377 0.5098113 -0.256896 0.9615487 0.5369186
-0.6814706 0.2240767 -0.3728705 0.934772 0.4638155
-0.815892 0.2953257 -0.3731038 0.7382069 0.4402494
-1.141956 0.007910151 -0.5731606 0.5574407 0.5340557
-0.9898123 0.1017842 -0.6128035 0.5530988 0.5057022
-0.9094434 -0.05859154 -0.623788 0.7926815 0.3931992
-1.17448 0.2085641 -0.5059954 0.896302 0.4093637
-0.8560991 0.2233785 -0.3316374 1.086018 0.3527171
-1.23141 0.2015443 -0.2106794 0.6458598 0.4424419
-1.098091 0.2168593 -0.3544311 0.9249179 0.3912884
-0.8145334 0.4369757 -0.3716345 1.350945 0.4318099
-0.7718284 1.222631 -0.3388218 0.9669717 0.302325
-0.7267754 0.6520888 -0.1598307 1.179329 0.4025542
-0.7553561 0.5874514 -0.3770159 1.22105 0.2613401
-0.4358734 0.5066803 -0.305433 1.000385 0.2952676
-0.8002316 0.6160154 -0.196282 0.9394425 0.378246
-0.4221301 0.3984744 -0.4020637 1.167842 0.3873572
-0.2054661 0.1433603 -0.2993108 1.550797 0.3654442
-0.250535 0.273056 -0.1668376 0.621285 0.3971025
0.3398927 0.3015836 -0.235659 0.5335464 0.4736912
-0.09459471 -0.01373236 -0.1708427 0.4736771 0.4346227
-0.3285605 -0.622414 -0.154469 -0.1881289 0.5463805
-0.9158332 -0.5012868 -0.572411 -0.1101392 0.6392559
-1.31011 -0.1622018 -0.5916963 -0.2280277 0.5054921
-1.653321 -0.3065262 -0.6254283 -0.1058795 0.4606648
-1.482124 0.3118799 -0.3202683 -0.2246897 0.4234633
-1.935503 0.2349432 -0.5183282 -0.01980684 0.3642366
-1.701169 0.9380683 -0.3740511 0.1572766 0.3715027
-1.945401 0.963327 -0.5832129 -0.4044146 0.6190457
-1.834244 0.8529701 -0.5011227 -0.5001431 0.4646207
-1.803822 0.6291578 -0.6416185 -0.4429382 0.4813452
-1.59073 0.5684867 -0.5068694 -0.3156491 0.3941852
-1.649553 0.5171565 -0.5295785 -0.6446716 0.4696279
-1.444163 -0.003425791 -0.2863118 -0.6100667 0.3319614
-0.8081744 0.6516777 -0.1742296 -0.8194658 0.3325598
-0.9806941 0.05899792 -0.2586808 -0.9700558 0.2999585
-0.8176098 0.1370387 -0.2799704 -0.8454037 0.3983176
-0.4618384 0.3221922 -0.2395061 -1.192812 0.3886213
-0.4448128 0.00656734 -0.568305 -0.9990631 0.429852
-0.395331 -0.4396538 -0.371416 -1.306661 0.4430029
-0.2848112 -0.4204064 -0.5092246 -1.876028 0.4723848
0.08541295 -0.4206026 -0.3547416 -2.109842 0.4309099
0.1716427 -0.8488645 -0.5075601 -2.616146 0.5526069
0.2177961 -0.8595816 -0.2878049 -2.546266 0.46277
0.1346587 -1.280421 -0.4174419 -2.102375 0.5188967
0.3114491 -1.838156 -0.221806 -1.729762 0.428453
0.5785508 -1.636805 -0.2481752 -2.210468 0.391873
0.820436 -1.726531 -0.3757493 -2.026124 0.4649487
0.6366472 -1.716426 -0.4323834 -2.342108 0.3909875
0.5007283 -1.855634 -0.28744 -2.329459 0.3814424
0.7266043 -1.997505 -0.2441854 -2.231583 0.3963214
0.6880284 -1.954706 -0.4096509 -2.215451 0.3895896
0.8377614 -2.326033 -0.7532125 -2.197071 0.412592
0.8582194 -2.667686 -0.7635063 -2.415792 0.4538341
0.7975651 -2.493117 -0.5580735 -2.582118 0.3407059
0.7060549 -3.390058 -0.5730985 -3.12574 0.421449
0.8248104 -3.305366 -0.223672 -2.749786 0.39657
1.139765 -2.971463 -0.2598746 -3.099338 0.371878
1.107241 -2.727428 -0.2963705 -3.090766 0.3846753
0.991053 -2.734326 -0.5241714 -3.284974 0.4594426
0.680446 -2.332437 -0.5707489 -3.257546 0.4954017
0.8191558 -2.295432 -0.4760444 -3.163232 0.5041612
0.7930148 -2.488011 -0.56754 -3.464463 0.5307489
0.7635606 -2.783944 -0.4545989 -3.587901 0.539392
0.8797627 -2.775997 -0.405915 -3.865196 0.5278803
0.9162447 -2.444011 -0.4413102 -3.158832 0.5756695
1.241051 -2.520319 -0.4646308 -2.867724 0.5206547
1.334851 -2.872725 -0.3571406 -3.350593 0.4494043
1.236298 -2.583968 -0.2130986 -3.767925 0.4318584
1.610735 -2.551981 -0.3256906 -3.361753 0.3942426
1.905618 -3.496311 -0.2656237 -3.295087 0.344278
1.896963 -3.839227 -0.3362401 -3.35657 0.3333045
2.176799 -3.803595 -0.4482917 -3.366003 0.3215932
2.159765 -4.288538 -0.2890554 -3.293527 0.303044
2.230318 -4.119275 -0.5739259 -3.342105 0.3289009
2.24349 -4.211983 -0.4293257 -3.080203 0.3050455
2.322637 -4.54152 -0.2045269 -3.023916 0.34098
2.258686 -4.395497 -0.1750493 -3.04742 0.3203898
1.994703 -4.071313 -0.2056341 -2.940264 0.3942231
2.25598 -3.903554 -0.2813721 -3.520612 0.3986301
1.789287 -3.936426 -0.3267698 -3.091879 0.3595738
2.335815 -4.346026 -0.5521869 -2.661279 0.2979226
2.781682 -4.286491 -0.1279304 -2.816343 0.3311632
