"","testing","Crosses","yBLUE","yHat","popChk","Year"
"1",3,"SL18-NL-6-FG1xSL18-OI-11-MG2",-0.372691400220809,0.100420898028234,"ES",2019
"2",4,"SL18-NL-6-FG1xSL18-OI-14-MG2",0.105602291107311,0.0666690107163572,"ES",2019
"3",5,"SL18-NL-6-FG1xSL18-OI-15-MG1",0.0818721118821846,0.0600209953837766,"ES",2019
"4",6,"SL18-NL-6-FG1xSL18-OI-16-MG1",0.0222001101874753,-0.0379891095767519,"ES",2019
"5",7,"SL18-NL-6-FG1xSL18-SF-17-MG1",0.0922001101874731,0.0319387601800973,"ES",2019
"6",8,"SL18-NL-6-FG1xSL18-SF-19-MG2",-0.17696379697044,0.146172161859587,"ES",2019
"7",11,"SL18-NL-9-FG2xSA18-CB-7-MG1",-0.148129123911241,0.278477062717726,"ES",2019
"8",12,"SL18-NL-9-FG2xSL18-SF-19-MG1",-0.180565827382321,-0.0835088503059712,"ES",2019
"9",97,"SL18-NL-10-FG1xSA18-CB-4-MG3",-0.215602629117155,0.0887225734919795,"ES",2019
"10",98,"SL18-NL-10-FG1xSL18-LD-2-MG1",-0.379568824871162,0.0953940037018749,"ES",2019
"11",100,"SL18-NL-10-FG1xSL18-OI-15-MG1",0.0555626978236457,0.0212764406979495,"ES",2019
"12",101,"SL18-NL-10-FG1xSL18-OI-7-MG1",-0.0768552757941103,-0.0412882420697844,"ES",2019
"13",102,"SL18-NL-10-FG1xSL18-SF-13-MG1",-0.10837724051476,0.0962969257139383,"ES",2019
"14",103,"SL18-NL-10-FG3xSL18-NL-3-MG2",-0.292545224647415,0.0779119727728199,"ES",2019
"15",104,"SL18-NL-2-FG1xSA18-CB-1-MG2",-0.0955826634704041,0.117060588199726,"ES",2019
"16",105,"SL18-NL-2-FG1xSL18-LD-13-MG2",-0.153710551588217,0.0208682173690301,"ES",2019
"17",106,"SL18-NL-2-FG1xSL18-SF-17-MG1",-0.0855630358334996,0.0569497752852567,"ES",2019
"18",107,"SL18-NL-2-FG3xSA18-CB-2-MG3",-0.397541147672675,0.207514135675798,"ES",2019
"19",108,"SL18-NL-2-FG3xSA18-CB-4-MG1",-0.278974948305735,0.138089131092255,"ES",2019
"20",109,"SL18-NL-2-FG3xSL18-LD-3-MG2",-0.329977851143757,0.0687464422427881,"ES",2019
"21",110,"SL18-NL-2-FG3xSL18-OI-16-MG1",-0.145014652878588,0.0633101642721256,"ES",2019
"22",111,"SL18-NL-3-FG1xSA18-CB-7-MG2",-0.0754457648382044,0.0792480913411762,"ES",2019
"23",112,"SL18-NL-3-FG1xSL18-OI-11-MG2",-0.234975059594933,0.103096854821189,"ES",2019
"24",113,"SL18-NL-3-FG1xSL18-SF-13-MG2",-0.238377240514761,0.0850579653463137,"ES",2019
"25",114,"SL18-NL-3-FG2xSL18-SF-17-MG2",-0.0226914002208084,0.16310326121717,"ES",2019
"26",115,"SL18-NL-3-FG3xSA18-CB-2-MG2",-0.312691400220808,0.187347922489183,"ES",2019
"27",117,"SL18-NL-6-FG1xSA18-CB-3-MG3",0.0181475157547141,0.170099409663139,"ES",2019
"28",118,"SL18-NL-6-FG1xSA18-CB-7-MG2",0.124993451438404,0.282287828768636,"ES",2019
"29",119,"SL18-NL-6-FG1xSL18-LD-1-MG2",-0.194397708892698,0.14422823171066,"ES",2019
"30",120,"SL18-NL-6-FG1xSL18-LD-2-MG1",-0.135254665165114,0.0195475207009047,"ES",2019
"31",121,"SL18-NL-6-FG1xSL18-LD-3-MG2",-0.098965216753327,-0.0346245854593315,"ES",2019
"32",122,"SL18-NL-6-FG1xSL18-NL-2-MG1",-0.00755177320900896,0.204121111789155,"ES",2019
"33",150,"SL18-NL-2-FG3xSA18-CB-4-MG1",-0.278974948305735,0.592558844696259,"ES",2019
"34",179,"SL18-NL-3-FG3xSL18-NC-9-MG2",0.42268602248711,0.651943992547799,"ES",2020
"35",196,"SL18-NL-7-FG4xSA18-CB-1-MG12",-0.0233780905593039,0.445306161115971,"ES",2020
"36",201,"SL18-NL-3-FG1xSL18-OD-3-MG1",-0.128956512215162,0.658420413366448,"ES",2020
"37",217,"SL18-NL-3-FG1xSA18-CB-7-MG2",-0.0754457648382044,0.751258547865477,"ES",2019
"38",240,"SL18-NL-3-FG1xSL18-OI-7-MG3",0.234539667961629,0.352851839629106,"ES",2020
"39",241,"SL18-NL-5-FG1xSL18-OI-14-MG1",0.169256150303515,0.366874392893342,"ES",2020
"40",278,"SL18-NL-7-FG3xSL18-OI-15-MG3",-0.171000995876771,-32.0983058193946,"Z4",2020
"41",279,"SL18-NL-7-FG3xSL18-OI-15-MG3",-0.171000995876771,-32.1684912898077,"Z4",2020
"42",280,"SL18-NL-7-FG3xSL18-OI-15-MG3",-0.171000995876771,-31.986997654115,"Z4",2020
"43",281,"SL18-NL-7-FG3xSL18-OI-15-MG3",-0.171000995876771,-32.1417517986713,"Z4",2020
"44",282,"SL18-NL-7-FG3xSL18-OI-15-MG3",-0.171000995876771,-32.0102738279045,"Z4",2020
"45",283,"SL18-NL-7-FG3xSL18-OI-15-MG3",-0.171000995876771,-32.0038650131032,"Z4",2020
