factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
-0.06254825 -0.1131199 -0.01756323 0.1346184 0.02538507
0.0172289 -0.2196703 0.0878014 0.1319478 0.04828529
0.01036126 -0.08468722 0.04151745 0.2678774 0.08344642
-0.0060045 -0.1718305 0.03833348 0.1967783 0.09405694
-0.005820504 -0.2906165 0.05209031 0.01655029 0.09070099
0.0233058 -0.4147503 0.06640407 -0.09949197 0.1120307
0.01879936 -0.5846146 -0.1314811 -0.05542899 0.09258323
0.1538439 -0.526878 -0.04481495 0.01783308 0.09792231
0.04899387 -0.528633 0.09737234 0.009146706 0.1358908
0.0008082009 -0.7080608 -0.05525365 -0.1863395 0.1810528
0.3711141 -0.6857248 0.01599301 -0.3776925 0.1724841
0.282127 -0.8737076 -0.1897771 -0.981716 0.2180753
0.4296237 -0.8819638 -0.1242349 -0.8600544 0.1836856
0.1471854 -0.9702984 -0.5865386 -1.339882 0.2222536
0.2071254 -1.133903 -0.539253 -1.151028 0.1458735
-0.1114063 -1.887874 -0.6221726 -0.894743 0.2012848
0.06894308 -1.676678 -0.5902642 -0.8227356 0.1438941
0.2180968 -1.501219 -0.7435562 -0.6564687 0.1785143
0.3721561 -1.217601 -0.7952755 -0.9025672 0.2152535
0.4108829 -1.481582 -0.5767777 -0.7097539 0.2138449
0.3876198 -1.654279 -0.6333019 -0.8619319 0.1982579
0.3245822 -1.843504 -0.7643942 -0.8102122 0.2547767
0.407511 -1.861469 -0.7463488 -0.7542148 0.2561082
0.4424911 -1.797406 -0.774565 -0.9186418 0.2788664
0.3651949 -1.741479 -0.8286229 -0.6768314 0.2564176
0.2820332 -1.656678 -0.7354056 -0.8570158 0.2825572
0.07737624 -1.63398 -0.6582033 -1.007558 0.2588143
0.06449884 -1.277825 -0.5335896 -1.182929 0.246331
0.3426351 -1.685792 -0.5521926 -1.136732 0.249486
0.5424051 -1.595369 -0.4355741 -1.227457 0.2860207
0.6899565 -1.416084 -0.3720356 -0.9133729 0.2623268
0.4221796 -1.241954 -0.3383132 -1.020628 0.2688622
0.2422822 -1.50478 -0.3779453 -0.9080609 0.3006478
0.1792224 -1.668691 -0.2709602 -0.8946079 0.3375324
0.2261918 -1.551132 -0.471886 -0.7948439 0.3071617
0.3693014 -1.509837 -0.09401079 -0.7235671 0.3283485
