"","testing","Crosses","yBLUE","yHat","popChk","Year"
"1",13,"SL18-OI-11-FG1xSL18-SF-15-MG2",-0.18685527579411,0.109586864967454,"ES",2019
"2",14,"SL18-OI-15-FG1xSA18-CB-2-MG3",-0.0318469011476353,0.247244431380241,"ES",2019
"3",15,"SL18-OI-15-FG1xSL18-NL-5-MG1",-0.272114049518571,0.152198417041807,"ES",2019
"4",16,"SL18-OI-15-FG1xSL18-SF-15-MG1",0.0478859504814277,0.153199497566831,"ES",2019
"5",17,"SL18-OI-16-FG3xSA18-CB-4-MG3",-0.0855630358334991,0.0109153246793468,"ES",2019
"6",18,"SL18-OI-16-FG3xSA18-CB-5-MG3",-0.318127888117816,0.0305166851187118,"ES",2019
"7",20,"SL18-OI-16-FG3xSL18-LD-3-MG2",-0.134437302176354,0.0343929170620702,"ES",2019
"8",21,"SL18-OI-16-FG3xSL18-NL-6-MG1",-0.283279376459376,0.0890303069178552,"ES",2019
"9",22,"SL18-OI-16-FG3xSL18-SF-17-MG2",-0.0343977088926987,0.0559248694208252,"ES",2019
"10",23,"SL18-OI-17-FG1xSL18-SF-13-MG2",0.0181079224710602,0.0803148160307635,"ES",2019
"11",24,"SL18-OI-17-FG2xSL18-SF-17-MG2",-0.334397708892697,0.0343987620146434,"ES",2019
"12",25,"SL18-OI-18-FG1xSL18-OI-9-MG3",-0.126963796970442,0.0155249205379568,"ES",2019
"13",26,"SL18-OI-18-FG2xSA18-CB-7-MG1",-0.00500654856159711,0.182665346588483,"ES",2019
"14",27,"SL18-OI-18-FG2xSL18-LD-10-MG1",-0.19870523882005,0.0590334596931611,"ES",2019
"15",28,"SL18-OI-18-FG2xSL18-LD-9-MG1",-0.298129123911242,0.0212764984083404,"ES",2019
"16",29,"SL18-OI-18-FG2xSL18-NL-2-MG2",-0.235014652878588,-0.012525342501259,"ES",2019
"17",30,"SL18-OI-18-FG2xSL18-LD-2-MG3",-0.369568824871161,0.21374434856365,"ES",2019
"18",31,"SL18-OI-18-FG3xSL18-LL-9-MG1",-0.272114049518573,0.147222493556356,"ES",2019
"19",32,"SL18-OI-18-FG3xSL18-OI-7-MG1",-0.307541147672676,-0.0181848850430246,"ES",2019
"20",33,"SL18-OI-18-FG5xSA18-CB-4-MG3",-0.280565827382324,-0.00334801357275557,"ES",2019
"21",34,"SL18-OI-18-FG5xSL18-LD-2-MG1",-0.0987171001498096,-0.0251561890359463,"ES",2019
"22",35,"SL18-OI-18-FG5xSL18-SF-15-MG2",-0.00929321505861765,0.0613951822424984,"ES",2019
"23",36,"SL18-OI-18-FG6xSA18-CB-1-MG2",0.0224482267909925,0.0302264100056312,"ES",2019
"24",37,"SL18-OI-18-FG6xSL18-NL-6-MG1",-0.353279376459376,0.096403148329008,"ES",2019
"25",38,"SL18-OI-2-FG2xSL18-LD-1-MG2",-0.305254665165113,0.0565321241360078,"ES",2019
"26",40,"SL18-OI-2-FG3xSL18-NL-9-MG1",-0.369568824871162,0.219309733786922,"ES",2019
"27",41,"SL18-OI-2-FG3xSL18-SF-17-MG1",-0.324975059594932,-0.00252526479982892,"ES",2019
