factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
0.001816497 -0.001527057 0.004610287 0.003756341 0.001292662
0.009710127 0.002566633 0.0004660019 0.004538131 -0.0003431969
0.01494914 0.008441201 -0.004622259 0.005212666 -0.0001762052
0.01428998 0.006815122 0.0002808257 0.007747936 -0.0001283428
0.01268274 -0.001016013 0.004041686 0.008833656 -0.0008294482
0.004510204 -0.003998515 0.001521782 0.003734649 -0.0007962303
0.006412827 0.003719871 0.005591601 -0.0005441614 -0.002113002
0.01125806 -0.002653096 0.006047499 -0.005464009 -0.003000138
0.01168703 -0.004642845 0.00870244 -0.007516692 -0.003647167
0.01180493 -0.003873009 0.006244605 -0.005398949 -0.003639116
0.01146612 -0.007205568 0.001879593 0.003058177 -0.003741726
0.007962935 -0.007167958 0.006146837 0.006356669 -0.00309209
0.006855038 -0.007682503 0.008237837 -0.004487507 -0.002475511
0.006445716 -0.004358266 0.01256985 -0.004760067 -0.002597233
0.005081987 -0.005145307 0.01281569 -0.004581738 -0.003093259
0.005003052 -0.00784701 0.01383606 -0.002716338 -0.002804538
0.00737906 -0.01080738 0.01382961 0.001089252 -0.002099042
0.007187688 -0.01120326 0.01319024 0.001829076 -0.001871162
0.007847299 -0.01412709 0.01678075 0.003197193 -0.002250631
0.009578188 -0.01092547 0.01448407 0.005041474 -0.002608096
0.01077309 -0.01856415 0.0145784 0.007954677 -0.002661444
0.01372609 -0.02107079 0.009694736 0.007978816 -0.00288251
0.01284841 -0.02227613 0.007917056 0.01304898 -0.003243854
0.01128353 -0.02012414 0.007226535 0.01188075 -0.003186498
0.01378964 -0.02080551 0.005708979 0.0155091 -0.003811998
0.01964596 -0.02180592 0.007367674 0.01878588 -0.005655843
0.01921569 -0.02233539 0.01406421 0.01722515 -0.00586976
0.01769458 -0.02293096 0.01669559 0.01018204 -0.004923721
0.01812684 -0.02617896 0.01559479 0.01560963 -0.005781523
0.01451135 -0.02920961 0.01481478 0.01458179 -0.004845479
0.01925423 -0.02786443 0.0180817 0.01705848 -0.002600031
0.01838983 -0.02297449 0.01537775 0.01485967 -0.001856825
0.01711253 -0.02326582 0.01470437 0.0114307 -0.003160394
0.01921669 -0.03615167 0.0118349 0.01365849 -0.001880312
0.01266651 -0.04196575 0.01264418 0.009164935 -0.001529146
0.01379523 -0.04148946 0.01244238 0.0091718 -0.001854782
0.005733227 -0.04104629 0.01565143 0.005136137 -0.003945801
0.005141212 -0.04047292 0.01702353 0.003431299 -0.002634303
0.005165427 -0.03564006 0.01470254 0.004219335 -0.001883587
0.009952449 -0.02666184 0.00658578 0.01039479 -0.00122183
0.001399726 -0.02031106 0.0005692114 0.01158895 -0.0008116017
0.002029842 -0.02593426 0.005262184 0.0139674 -3.263967e-05
0.008241955 -0.01858692 0.008459533 0.007874201 -0.0006945178
0.003569206 -0.01817138 0.007327887 0.02093261 -0.0007997065
0.006102914 -0.01848682 0.01318851 0.02488846 -0.002077801
0.005493641 -0.01717428 0.01635124 0.01686371 -0.0003496907
0.006415939 -0.01903818 0.01615392 0.01986569 0.0001788766
0.006163748 -0.01781012 0.01769329 0.01395006 -0.0008635459
0.01207879 -0.001642422 0.009917383 -0.002067595 -0.0003304797
0.02125986 0.007465415 0.009044184 -0.007885602 -0.0002050496
0.02167399 0.009677702 0.00176043 0.0006482812 0.001580689
0.01012536 0.01208199 -0.007587655 -0.005939872 0.003184176
0.01312736 0.00674547 0.005037966 -0.01741584 0.004532604
0.02471359 0.01243665 -0.008988404 -0.02247512 0.00566342
0.01993499 0.01383669 -0.00949463 -0.03299037 0.006318572
0.02410022 0.009076347 -0.008356044 -0.03275244 0.007393385
0.02496337 0.002644739 -0.00927145 -0.03478993 0.005441567
0.02457671 -0.007160377 -0.01042875 -0.03501167 0.007142359
0.02151531 -0.009955618 -0.01096842 -0.03132308 0.006298019
0.01806458 -0.0101135 -0.01148368 -0.03252147 0.006912006
0.01795657 -0.01009224 -0.01448913 -0.04065244 0.007148438
0.01813734 -0.008574531 -0.01216227 -0.0420987 0.008269216
0.01830263 -0.005621979 -0.008455089 -0.04085991 0.009565953
0.01568467 -0.003908597 -0.007884889 -0.03648216 0.009707009
0.01258569 -0.007228818 -0.006716776 -0.03024292 0.0110729
0.009961105 -0.008644484 -0.01301319 -0.02672215 0.01140318
0.01246575 -0.01201396 -0.01432498 -0.02997128 0.01207943
0.01696714 -0.009357699 -0.01826642 -0.02315578 0.01201016
0.02039269 -0.006082042 -0.0161888 -0.02801144 0.0141301
0.02119326 -0.007141063 -0.01417916 -0.02070133 0.0145549
0.0195354 -0.00484129 -0.01758009 -0.02773631 0.01362197
0.02398564 -0.004488436 -0.01715949 -0.02483202 0.01248091
0.03153904 -0.003987263 -0.01938671 -0.0282372 0.01194975
0.03435957 -0.006530498 -0.0168249 -0.02635626 0.01083929
0.0410002 -0.0006341096 -0.02367353 -0.01815955 0.01111955
0.04136549 -0.002814511 -0.02537056 -0.02459698 0.01221497
0.03992081 2.643747e-05 -0.03111085 -0.02489556 0.01345996
0.04063408 0.005414149 -0.02760875 -0.03004938 0.01174101
