"","testing","Crosses","yBLUE","yHat","popChk","Year"
"1",53,"SL18-SF-13-FG1xSL18-LL-9-MG3",-0.210565827382323,-0.00226096426919174,"ES",2019
"2",55,"SL18-SF-17-FG1xSL18-LL-9-MG1",-0.288127888117815,-0.00913910617713566,"ES",2019
"3",56,"SL18-SF-17-FG3xSA18-CB-10-MG1",-0.126963796970441,-0.00825530899277809,"ES",2019
"4",57,"SL18-SF-17-FG3xSA18-CB-3-MG3",-0.159400500441521,-0.00704779815792318,"ES",2019
"5",58,"SL18-SF-17-FG3xSL18-LD-2-MG1",-0.218129123911246,-0.0112663651034538,"ES",2019
"6",59,"SL18-SF-17-FG3xSL18-NL-10-MG2",-0.302114049518574,-0.00961673793543631,"ES",2019
"7",60,"SL18-SF-17-FG3xSL18-NL-2-MG3",-0.229977851143757,-0.00889740576142799,"ES",2019
"8",61,"SL18-SF-17-FG3xSL18-NL-9-MG1",-0.26870523882005,-0.00392154050527003,"ES",2019
"9",62,"SL18-SF-17-FG3xSL18-OI-7-MG1",-0.245582663470403,-0.00946987201973554,"ES",2019
"10",63,"SL18-SF-17-FG3xSL18-OI-9-MG3",-0.215582663470404,-0.0089478840830537,"ES",2019
"11",142,"SL18-SF-17-FG2xSL18-NC-1-MG1",-0.0145044528221311,0.0533250240632367,"ES",2020
"12",146,"SL18-SF-13-FG1xSA18-CB-7-MG1",0.0636005022919018,0.0627892315862757,"ES",2020
"13",175,"SL18-SF-17-FG2xSA18-CB-1-MG13",0.318917352519654,0.0486264324265711,"ES",2020
"14",176,"SL18-SF-17-FG2xSL18-OI-4-MG3",-0.0705632001011442,0.046687156687285,"ES",2020
"15",184,"SL18-SF-17-FG2xSA18-CB-7-MG2",0.270569582605689,0.0433310817165246,"ES",2020
"16",215,"SL18-SF-17-FG2xSL18-NC-12-MG1",0.0412713587918137,0.0464363384092296,"ES",2020
"17",219,"SL18-SF-17-FG2xSA18-CB-7-MG3",1.55497742644075,0.0430707701214148,"ES",2020
"18",229,"SL18-SF-13-FG2xSL18-JS-11-MG3",0.620518724751483,0.0516170918091453,"ES",2020
"19",235,"SL18-SF-13-FG2xSA18-CB-2-MG3",0.956600667761675,0.0503291093696716,"ES",2020
"20",236,"SL18-SF-13-FG2xSL18-JS-9-MG2",0.407943730321982,0.0512860565957961,"ES",2020
