"","testing","Individual","popChk","Year","y","yHat"
"1",3,"SL18-NL-6-FG1xSL18-OI-11-MG2","ES",2019,0.11,0.300893008702038
"2",4,"SL18-NL-6-FG1xSL18-OI-14-MG2","ES",2019,0.48,0.334991254052117
"3",5,"SL18-NL-6-FG1xSL18-OI-15-MG1","ES",2019,0.47,0.341573689988672
"4",6,"SL18-NL-6-FG1xSL18-OI-16-MG1","ES",2019,0.34,0.251778037994724
"5",7,"SL18-NL-6-FG1xSL18-SF-17-MG1","ES",2019,0.41,0.287916534488179
"6",8,"SL18-NL-6-FG1xSL18-SF-19-MG2","ES",2019,0.27,0.355043750699735
"7",11,"SL18-NL-9-FG2xSA18-CB-7-MG1","ES",2019,0.22,0.199360840259665
"8",12,"SL18-NL-9-FG2xSL18-SF-19-MG1","ES",2019,0.28,0.152964789556753
"9",13,"SL18-OI-11-FG1xSL18-SF-15-MG2","ES",2019,0.23,0.109870308011018
"10",14,"SL18-OI-15-FG1xSA18-CB-2-MG3","ES",2019,0.37,0.215743440848466
"11",15,"SL18-OI-15-FG1xSL18-NL-5-MG1","ES",2019,0.09,0.17197049383788
"12",16,"SL18-OI-15-FG1xSL18-SF-15-MG1","ES",2019,0.41,0.220098681217277
"13",17,"SL18-OI-16-FG3xSA18-CB-4-MG3","ES",2019,0.42,0.217639824352836
"14",18,"SL18-OI-16-FG3xSA18-CB-5-MG3","ES",2019,0.07,0.287902965589983
"15",20,"SL18-OI-16-FG3xSL18-LD-3-MG2","ES",2019,0.19,0.277395736873064
"16",21,"SL18-OI-16-FG3xSL18-NL-6-MG1","ES",2019,0.21,0.183150339622207
"17",22,"SL18-OI-16-FG3xSL18-SF-17-MG2","ES",2019,0.34,0.258719364870381
"18",23,"SL18-OI-17-FG1xSL18-SF-13-MG2","ES",2019,0.43,0.275487939444354
"19",24,"SL18-OI-17-FG2xSL18-SF-17-MG2","ES",2019,0.04,0.345798000468802
"20",25,"SL18-OI-18-FG1xSL18-OI-9-MG3","ES",2019,0.32,0.27262448985137
"21",26,"SL18-OI-18-FG2xSA18-CB-7-MG1","ES",2019,0.33,0.217638531079131
"22",27,"SL18-OI-18-FG2xSL18-LD-10-MG1","ES",2019,0.31,0.303097545590367
"23",28,"SL18-OI-18-FG2xSL18-LD-9-MG1","ES",2019,0.28,0.290838085181796
"24",29,"SL18-OI-18-FG2xSL18-NL-2-MG2","ES",2019,0.21,0.157285144326572
