factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
-0.4061188 0.01722564 0.1333613 -0.178783 0.1184297
-0.2475173 0.4453296 0.3950844 -0.1662695 0.1173966
-0.5245629 0.6637573 0.6292014 0.06282348 0.1370805
-0.2144267 0.3500076 0.5729713 0.1797454 0.1533061
-0.0704699 -0.238937 0.6091025 0.133874 0.1292176
-0.1576006 -0.3198905 0.6568174 0.5857448 0.1842854
0.5622217 -0.8394269 0.4558572 0.6506419 0.274007
0.9385665 -0.9964107 0.6450448 0.8831966 0.1849436
1.043443 -0.9242144 0.8338031 0.7945057 0.2045842
1.598424 -0.5582638 0.9418628 0.7073798 0.293471
1.521032 0.2302698 0.8274956 0.4354213 0.2813478
1.037808 0.9372386 0.5674382 -0.2239129 0.3720761
1.146323 0.8556509 0.2548447 0.1016032 0.2900563
1.051915 0.01404312 0.08098329 0.1727539 0.2642641
0.966846 -0.2120706 0.2721006 0.5029876 0.2175835
0.9017072 -0.3374485 0.1425732 0.2977636 0.1240096
1.210394 -0.1710346 0.3537014 0.3040357 0.1090338
0.7159015 0.2430355 0.3754772 0.1178136 0.1643478
0.9548613 0.8717221 -0.239386 0.1323124 0.184116
1.122473 0.6234275 -0.3934934 0.7302629 0.1624384
1.301252 0.3079842 0.0437985 0.7865132 0.08710868
1.405213 0.1332858 0.4041816 0.1463061 0.09644296
1.412503 -0.272441 0.1799353 0.335596 0.1560175
1.299692 0.09985021 0.4517623 0.2566335 0.1807141
1.501506 0.3237271 0.4602567 0.3244479 0.1874356
1.09448 -0.1790893 0.5181153 0.5846769 0.211601
0.7750414 0.03357791 0.2340125 0.737313 0.1982411
0.1108717 0.1446296 0.0337813 0.9592695 0.2342722
-0.08563224 -0.1049887 0.3464448 0.3326107 0.3082148
0.1166529 0.3264178 0.2422057 0.7016632 0.2867844
0.1428939 0.5458035 -0.2023533 1.23266 0.2513204
-0.006732448 0.8709398 -0.2020105 1.716486 0.1469938
-0.2977657 1.353336 0.138421 1.920823 0.2373585
-0.4113671 1.150466 0.5768592 1.808087 0.2035488
-0.8947393 1.77504 0.1901193 1.870589 0.2722227
-0.9914305 1.740712 0.7544977 2.085937 0.1976349
-0.8766251 2.018602 0.9757312 1.93018 0.1945187
-0.8801264 1.633428 1.115546 1.080662 0.2018294
-0.7284813 1.91497 1.244623 0.8514322 0.2447542
-0.9359668 1.719695 0.9717461 0.6038048 0.2400827
-0.9016286 1.6682 1.083322 0.9733859 0.2206186
-0.9235568 1.425317 0.7707571 0.7894154 0.1573452
-0.9023666 0.9217451 0.8623768 1.165773 0.2767616
-0.7308064 1.21755 1.097475 0.9825718 0.08385334
-0.8567605 1.315264 1.165427 1.045995 0.1607993
-0.610531 0.9469079 0.9651052 1.018859 0.2167289
-0.4565533 1.167447 0.8659643 0.9172323 0.1885433
-0.6365081 1.416811 0.8352729 1.216798 0.1945174
-0.5849045 0.9276933 0.5674169 1.388652 0.1560291
-0.6665803 0.3578695 0.7818584 1.048764 0.2783598
-0.7942785 0.05956265 0.9670967 1.21057 0.28968
-0.5547407 0.9216661 0.680764 1.076421 0.1569541
-0.6973804 1.171022 0.6100913 0.7147872 0.2196149
-0.6622068 1.76801 0.6973103 0.4711297 0.2608095
-0.841369 1.767481 0.850469 -0.1087517 0.2368981
-1.373761 2.091084 0.5420549 -0.06353125 0.3368533
-1.765244 2.22411 0.8143773 -0.1539435 0.3767155
-1.66581 1.744881 0.6490107 -0.3291816 0.2692206
-1.552756 1.981466 -0.05861641 0.02766319 0.3010803
-1.614291 2.367129 -0.0969114 -0.1040197 0.2748156
-1.501576 2.602832 -0.2898018 -0.8819563 0.2935563
-1.134405 2.425265 -0.5877612 -1.120836 0.1368913
-1.809772 2.171283 -0.4663253 -1.389902 0.1522379
-1.542037 2.444181 -0.637911 -1.265647 0.1799369
-1.017505 2.708906 -0.3440392 -1.245328 0.1702799
-1.099634 2.582497 -0.6557627 -1.465481 0.1785064
-1.422175 2.016431 -0.2383326 -1.586741 0.112732
-1.605396 1.81405 -0.1937211 -1.561695 0.1965249
-1.554121 2.003075 0.1467393 -1.25098 0.1741024
-2.127136 2.768088 0.2205601 -0.6994575 0.1650229
-2.241725 2.889606 0.3968832 0.1517001 0.06016443
-1.988546 2.837709 0.7366099 0.7222081 0.1982657
-1.823694 2.583655 1.273547 0.4697648 0.04906988
-2.136804 2.774261 1.172558 0.9057331 0.1166451
-2.269037 2.787475 0.6023087 0.9408095 0.231224
-2.489481 3.149883 0.5123648 0.9832327 0.2396774
-2.496993 3.117515 0.1392631 0.812725 0.1628872
-2.297181 3.198229 -0.1034985 1.481466 0.1448256
-2.162797 2.907321 0.2058816 1.368734 0.2122545
-2.499521 2.759359 0.5360349 1.011814 0.1351484
-2.477999 3.007221 0.3994703 1.252013 0.1262973
-2.849673 3.09709 0.6514469 1.44223 0.2137976
-3.169255 2.60487 0.685211 1.648685 0.1908988
-3.228104 2.314448 0.5868858 1.883308 0.2410734
-3.074613 2.173062 0.4049449 2.393099 0.1273716
-2.931092 2.00271 0.4410484 2.636284 0.1713093
-2.628103 2.12185 0.7446535 2.516228 -0.01115524
-3.049998 1.469025 0.6391542 2.67174 0.04867894
-3.107141 1.614371 0.2570519 3.380849 0.07195475
-3.077253 1.934718 0.4107463 3.884694 0.1273931
-2.886729 2.282312 0.005441941 3.83597 0.04127888
-2.640958 2.390247 0.5845207 3.487835 0.1515365
-2.894892 2.392744 0.6013485 3.005736 0.1403757
-2.766094 2.721103 0.6843502 2.880717 0.2334642
-2.518537 2.992922 0.5733824 2.875325 0.2738404
-2.581113 2.79324 1.070787 3.20792 0.254269
-2.705428 2.803443 0.8643916 3.271296 0.2891594
-2.858669 2.961844 0.7815924 2.785184 0.3300339
-3.16774 2.882741 1.05844 2.890668 0.2834831
-3.326193 2.152397 1.010376 2.437602 0.2617703
-3.458895 1.645339 0.9463642 2.777029 0.2708626
-3.533863 1.920467 1.369218 3.064498 0.1946492
-3.875747 1.860664 1.670538 3.19025 0.2148643
-4.167405 2.391978 1.876574 3.342714 0.1852063
-3.616023 2.962838 1.528306 3.111728 0.2217905
-3.851006 3.117025 1.133709 3.006589 0.1894034
-4.007519 3.204904 0.9198121 3.436109 0.2527046
-4.217966 3.759607 0.9986548 3.400398 0.2413951
-3.929515 3.53981 1.167037 3.599936 0.1761703
-3.99095 3.532307 1.147022 3.023059 0.180071
-4.58881 3.51918 0.8756208 2.196758 0.2281028
-4.66086 3.743995 0.9244078 2.607703 0.3476088
-4.232897 3.954733 0.3987884 2.365954 0.1645176
-4.140581 4.138274 0.5248542 1.780588 0.2257487
-4.12358 3.589141 0.2336358 2.055068 0.2345985
-4.243032 3.361457 -0.04695865 2.06648 0.1312696
-4.028908 3.597663 -0.2242966 1.861929 0.1709177
-3.899383 4.444637 -0.2994446 2.08202 0.2124811
-3.897057 4.45533 -0.4918213 1.806574 0.325102
-3.793903 4.224158 -0.04728963 1.655065 0.3208085
-3.56724 3.948202 -0.2665461 1.52571 0.2784062
-3.057751 4.268672 -0.366477 2.112173 0.2855187
-2.873907 4.30827 -0.1691117 2.534585 0.2758251
-2.813172 3.835141 0.108344 2.511528 0.1831185
-2.824446 4.114255 0.4019747 2.491085 0.2297128
-3.188019 4.042317 0.07959343 2.50722 0.1961095
-3.407058 3.268576 0.3015529 2.817629 0.3443958
-3.62334 3.244091 0.2029628 3.027571 0.3519345
-3.627115 3.156604 0.4866995 2.767138 0.3398507
-3.734997 3.38402 0.2560621 2.36171 0.2108635
-3.256638 3.039614 0.4287903 1.873641 0.274225
-3.351679 2.956789 0.6214441 1.765555 0.3053423
-3.354469 3.323538 0.5010887 1.382508 0.3548524
-2.80912 2.852503 0.7940069 1.706607 0.3224418
-3.367367 3.595106 1.306121 2.423085 0.3686712
-3.307399 3.945652 1.304028 2.75941 0.3359566
-3.378416 4.423134 1.170293 2.958964 0.3500746
-3.674368 4.985013 0.7611116 3.293325 0.2235999
-3.726311 5.116013 0.6067916 4.030944 0.1815487
-4.14239 4.882015 0.4277644 3.879544 0.1070344
-3.993928 4.79718 0.16653 4.057983 0.1626488
-3.850737 4.493853 0.1985447 4.424467 0.2041533
-3.979165 4.552635 0.3258888 4.405362 0.2288653
-3.64925 4.668239 0.6709994 4.684103 0.1775122
-3.995903 4.774278 0.3395744 5.018001 0.1723182
-4.075945 4.981108 0.3193501 5.109527 0.1376079
-3.81469 4.696081 0.6614153 5.287918 0.1090941
-3.199339 4.401212 1.197933 5.076003 0.1073049
-3.491744 4.198674 1.272082 4.894439 0.1845955
-3.161063 4.435689 1.488028 4.742383 0.2020311
-3.057894 4.248991 1.530623 4.501027 0.217042
-3.000498 3.963024 1.363601 5.04082 0.2194566
-3.055422 4.290375 1.9757 4.933238 0.2100567
-2.949526 4.570831 1.300284 4.499232 0.1739024
-3.090156 4.407206 0.9232447 4.581004 0.1895671
-2.660594 4.819236 0.9821701 4.320044 0.1397266
-2.928075 4.637929 0.7101723 4.346143 0.005277712
-3.025607 4.777606 0.3321771 4.239563 0.06182658
-3.799283 4.890811 0.3168672 4.451581 0.05597903
-4.035124 4.892836 0.5125322 4.473426 0.09922873
-4.220889 5.599853 0.7467845 4.164256 0.1697718
-4.38527 6.044746 0.4823186 4.044216 0.1939536
-4.287758 6.02243 0.6846063 3.897333 0.1944527
-4.623121 6.088673 0.2122402 3.775075 0.2406164
-4.684909 6.289419 -0.1700834 3.278409 0.3153157
-4.314405 6.693542 -0.2746798 3.22604 0.1963194
-4.494899 7.023989 -0.5642621 3.61906 0.1151309
-4.611674 7.634456 -0.564005 3.408226 0.1441109
-4.478571 8.076263 -0.730812 3.434608 0.1506795
-4.801119 8.536532 -0.9766055 3.004266 0.3196227
-5.27044 8.496457 -0.5985288 3.333583 0.3028944
-5.412914 8.759188 -0.09873315 2.54149 0.1944423
