"","testing","Individual","popChk","Year","y","yHat"
"1",22,"SL18-OI-16-FG3xSL18-SF-17-MG2","ES",2019,0.34,0.235385220816119
"2",25,"SL18-OI-18-FG1xSL18-OI-9-MG3","ES",2019,0.32,0.259902992911299
"3",29,"SL18-OI-18-FG2xSL18-NL-2-MG2","ES",2019,0.21,0.248323631289237
"4",37,"SL18-OI-18-FG6xSL18-NL-6-MG1","ES",2019,0.14,0.251519808502804
"5",42,"SL18-OI-6-FG1xSA18-CB-2-MG1","ES",2019,0.07,0.187396851779238
"6",49,"SL18-OI-6-FG1xSL18-SF-15-MG1","ES",2019,0.24,0.30875755068235
"7",55,"SL18-SF-17-FG1xSL18-LL-9-MG1","ES",2019,0.1,0.166595586328529
"8",78,"SL18-LD-2-FG2xSL18-LL-9-MG2","ES",2019,0.24,0.228222789698697
"9",83,"SL18-LD-3-FG2xSA18-CB-2-MG3","ES",2019,0.18,0.120756659632566
"10",95,"SL18-LD-9-FG3xSL18-SF-17-MG1","ES",2019,0.29,0.281376259264953
"11",101,"SL18-NL-10-FG1xSL18-OI-7-MG1","ES",2019,0.34,0.10751522554834
"12",104,"SL18-NL-2-FG1xSA18-CB-1-MG2","ES",2019,0.38,0.232948300008679
"13",108,"SL18-NL-2-FG3xSA18-CB-4-MG1","ES",2019,0.1,0.0950732095288929
"14",110,"SL18-NL-2-FG3xSL18-OI-16-MG1","ES",2019,0.3,0.155311391578086
"15",114,"SL18-NL-3-FG2xSL18-SF-17-MG2","ES",2019,0.46,0.233417823307455
"16",123,"SL18-OI-11-FG3xSL18-CC-1-MG3","ES",2020,1.031543485,0.48337475856788
"17",133,"SL18-JS-16-FG1xSL18-CC-4-MG11","ES",2020,0.038860603,0.417930955491643
"18",135,"SL18-NC-12-FG2xSA18-CB-4-MG3","ES",2020,0.1931936,0.467966565786463
"19",138,"SA18-CB-9-FG1xSL18-JS-5-MG3","ES",2020,0.116125876,0.434116422990199
"20",141,"SL18-CC-12-FG3xSL18-OI-15-MG2","ES",2020,0.566752741,0.528382431340663
"21",154,"SL18-NC-10-FG1xSL18-NC-5-MG1","ES",2020,0.018680038,0.454409361046273
"22",156,"SL18-CC-1-FG2xSL18-OI-16-MG3","ES",2020,0.078623966,0.353003281669153
"23",168,"SL18-CC-3-FG2xSL18-OD-6-MG1","ES",2020,0.864280209,0.552783799949291
"24",169,"SL18-LD-2-FG2xSL18-SF-19-MG1","ES",2020,0.059279684,0.488553945127523
"25",171,"SL18-OI-6-FG2xSL18-LD-2-MG2","ES",2020,1.181927802,0.544863240914687
"26",176,"SL18-SF-17-FG2xSL18-OI-4-MG3","ES",2020,0.194399721,0.451775603014867
"27",193,"SL18-NC-5-FG2xSL18-JS-11-MG3","ES",2020,0.015173946,0.38166192357717
"28",194,"SL18-CC-8-FG1xSL18-OI-18-MG3","ES",2020,0.368921013,0.461460928906573
"29",195,"SL18-CC-6-FG3xSL18-JS-9-MG2","ES",2020,0.182633664,0.416540332644684
"30",196,"SL18-NL-7-FG4xSA18-CB-1-MG12","ES",2020,0.073979465,0.369606065625961
"31",197,"SL18-CC-1-FG1xSL18-NC-15-MG3","ES",2020,0.740682368,0.397241492687142
"32",198,"SL18-CC-1-FG1xSL18-CC-4-MG11","ES",2020,0.344700631,0.378164918026282
"33",199,"SL18-CC-5-FG2xSL18-NC-9-MG2","ES",2020,0.206048658,0.499905813980474
"34",200,"SA18-CB-9-FG1xSL18-JS-19-MG1","ES",2020,0.857575582,0.395689819804509
"35",201,"SL18-NL-3-FG1xSL18-OD-3-MG1","ES",2020,0.096011073,0.404900168303918
"36",202,"SL18-CC-5-FG3xSA18-CB-1-MG12","ES",2020,0.240570651,0.473607060699289
"37",203,"SL18-CC-8-FG2xSL18-NC-5-MG3","ES",2020,0.02886746,0.480234233996166
"38",204,"SL18-CC-6-FG3xSL18-OI-14-MG2","ES",2020,0.11803921,0.389598603306799
"39",205,"SL18-NC-12-FG2xSA18-CB-3-MG1","ES",2020,0.379091481,0.352799672784454
"40",206,"SL18-CC-3-FG3xSL18-OD-6-MG3","ES",2020,0.563352197,0.411089276363858
"41",207,"SL18-CC-6-FG2xSL18-OI-14-MG1","ES",2020,0.233120687,0.458134571942768
"42",208,"SL18-JS-19-FG3xSA18-CB-3-MG2","ES",2020,0.032183786,0.390101648547853
"43",209,"SL18-NC-12-FG2xSL18-NL-5-MG2","ES",2020,NA,0.279779603975334
"44",210,"SL18-JS-5-FG1xSA18-CB-1-MG12","ES",2020,0.073085831,0.319076025441743
"45",211,"SL18-JS-16-FG3xSA18-CB-4-MG3","ES",2020,0.099304978,0.365501465992171
"46",212,"SL18-OI-4-FG2xSA18-CB-7-MG2","ES",2020,2.019239106,0.438843446442705
"47",213,"SL18-NC-1-FG1xSL18-NC-12-MG3","ES",2020,0.09967743,0.44134373290319
"48",214,"SL18-NC-15-FG3xSL18-CC-1-MG2","ES",2020,0.100402733,0.441578186320248
"49",215,"SL18-SF-17-FG2xSL18-NC-12-MG1","ES",2020,0.507413109,0.419988933368397
"50",216,"SL18-CC-5-FG2xSL18-NC-10-MG2","ES",2020,0.387601637,0.365722998657491
"51",217,"SL18-NL-3-FG1xSA18-CB-7-MG2","ES",2020,0.04892366,0.460551751578706
"52",218,"SL18-LL-9-FG2xSA18-CB-5-MG3","ES",2020,0.03154006,0.350867201874858
"53",219,"SL18-SF-17-FG2xSA18-CB-7-MG3","ES",2020,1.729189987,0.393973238817275
"54",220,"SA18-CB-4-FG6xSL18-JS-6-MG3","ES",2020,1.154265069,0.437144139593881
"55",221,"SL18-CC-3-FG1xSL18-JS-11-MG2","ES",2020,0.047017142,0.503821294728376
"56",222,"SA18-CB-5-FG6xSL18-CC-6-MG2","ES",2020,0.544987778,0.361393810140759
