factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4
-0.009805355 -0.008414864 -0.01786981 0.02721301
-0.01401124 -0.04662698 -0.05158322 0.1462617
0.04571026 -0.06751148 -0.1165381 0.2432381
0.02398213 -0.08623582 -0.08087896 0.08432462
0.01790146 -0.1169503 -0.1117835 0.107892
0.02104798 -0.04099042 -0.04093948 0.0273238
0.08113544 -0.01722634 -0.03236058 -0.02683919
0.0500424 0.03076257 0.05738206 -0.06331275
0.1052749 -0.0687809 0.02350373 -0.1413043
0.05257923 -0.01828874 0.1849003 -0.2984419
0.01962979 -0.0440674 0.1067863 -0.4161194
0.05185632 -0.08543875 0.188371 -0.4404706
0.06050588 -0.04966783 0.1796699 -0.4179344
0.03980177 -0.02842142 0.2136475 -0.3742044
0.04289921 -0.004249625 0.3628392 -0.4666931
0.07143774 -0.06401654 0.3488587 -0.4794905
0.03363 -0.0369871 0.3344914 -0.5337198
0.04378697 -0.06145458 0.2588834 -0.6954561
0.01812855 0.05548989 0.1186024 -0.6886956
0.06933439 -0.0049172 0.0006527664 -0.4334589
0.03243139 -0.138532 0.0189665 -0.5136774
-0.007663792 -0.05247692 -0.1343073 -0.5424059
0.06521085 0.06037425 -0.1794861 -0.6762657
0.03292092 -0.009959666 -0.3711693 -0.4823572
0.109535 -0.006948103 -0.2233928 -0.6009972
0.06660376 -0.1142681 -0.4303543 -0.5737141
0.04986828 -0.03324637 -0.3855982 -0.6461747
0.002814177 -0.0841954 -0.2623421 -0.7919821
0.01855709 -0.09554634 -0.1531573 -0.8213969
0.02605344 -0.06526765 -0.09459927 -0.9398908
0.009703526 -0.003507331 -0.1171533 -1.038951
0.02461678 -0.01736294 0.03126711 -0.9623172
0.03715504 -0.04991123 0.01996439 -0.9636933
-0.01592895 -0.06095423 -0.04746062 -1.10102
0.01753306 -0.0372907 -0.0116904 -1.065183
-0.002112488 -0.02918925 -0.103611 -1.093471
0.03023678 -0.08287178 -0.1252903 -1.033114
0.06624082 -0.04033984 -0.1066192 -0.9963858
0.03856083 -0.01968381 0.003009637 -1.134368
0.002174109 -0.1039882 0.006436884 -1.047664
-0.02287671 -0.0501796 0.07578295 -1.145318
0.02491566 -0.0345748 0.06379453 -0.8284339
0.01199653 -0.1038672 0.1307978 -0.8783997
0.009449164 0.003435212 0.1939219 -0.9302467
0.05694434 -0.0562033 0.2698888 -0.9676712
0.08769949 -0.08823461 0.2566453 -1.114653
0.03172687 -0.04355446 0.1643887 -1.089446
0.01090802 -0.02506346 0.1370158 -1.035819
0.03255611 -0.06193729 -0.0157451 -0.9171452
0.05310196 -0.02167053 0.04248903 -0.9740074
0.04113788 -0.03785266 -0.02434475 -0.9665765
0.04583416 0.005476837 -0.04058073 -0.7942451
0.04121801 0.004270595 -0.01123949 -0.7307934
0.04207285 -0.06350146 -0.1899947 -0.6211708
0.03894673 -0.07868635 -0.05988419 -0.6784113
0.07673856 -0.03505968 -0.1592084 -0.6939412
0.02755593 -0.03738615 -0.07241381 -0.7331125
0.06730921 -0.004605679 -0.1472072 -0.4597199
0.07717934 -0.07010558 0.03914895 -0.5092193
0.04731906 -0.01402558 0.06924293 -0.5205655
0.1119209 -0.07345983 0.1302505 -0.5546841
0.02996377 -0.0929994 0.114192 -0.5316972
0.0663449 -0.05993738 0.1648556 -0.6080692
0.08222783 -0.01951694 0.326662 -0.6565382
0.05948034 -0.03314498 0.2641179 -0.4687939
0.04311775 -0.07326413 0.1869557 -0.5527998
0.01533613 -0.05651906 0.1184808 -0.6283419
-0.0247878 -0.04547556 0.1175621 -0.6599005
0.03295011 -0.07715874 0.1213043 -0.3720254
0.0226563 -0.0555919 0.001416624 -0.3000567
0.03650405 -0.05945302 0.03404546 -0.4369784
0.03115541 -0.06439589 0.02752579 -0.4950014
0.0339708 -0.0428977 0.1688266 -0.3638328
0.03792873 -0.0956074 0.2432972 -0.5065387
-0.01040398 -0.01615709 0.1931001 -0.5068407
0.03006436 -0.09500478 0.07378975 -0.365171
-0.005434696 -0.03748272 0.07442424 -0.2463433
0.05228226 -0.04259202 0.1691586 -0.1500612
0.04532432 0.02581659 0.21404 -0.08781388
0.08708357 -0.03886754 0.2141079 -0.07404826
0.06104174 0.01535438 0.2951233 0.07055994
0.01104445 -0.08511398 0.2072764 0.04568796
0.0421869 -0.07317507 0.2859156 -0.02690503
0.01628313 -0.09443749 0.2854809 0.1561662
0.02571989 -0.06114086 0.3170214 -0.05896384
0.01976146 -0.05033126 0.3092968 -0.0542201
0.06677764 -0.0188696 0.2613003 0.1120254
0.05468049 -0.03950046 0.3013987 0.04567765
0.02778541 -0.05944356 0.2995901 0.06606596
0.05349804 -0.06718125 0.3960422 0.1142853
0.03130593 -0.06244172 0.3596603 0.2446319
0.03919272 -0.05062732 0.285506 0.3112455
0.06550825 -0.02910008 0.1888916 0.2169549
0.02956628 -0.01649496 0.1999504 0.3379654
0.04649742 -0.1113168 0.2044102 0.4816286
0.02676351 -0.05554061 0.1476203 0.4203296
-0.002354422 -0.05435317 0.09414948 0.3916886
0.02494128 -0.03866478 0.1430395 0.3974203
0.03007221 -0.02769577 0.3768125 0.6285224
0.05462091 -0.01404744 0.371524 0.6778478
0.04686611 -0.0682972 0.237892 0.5972265
0.05650395 -0.03856366 0.2985274 0.5788639
0.05133966 -0.0692617 0.3016121 0.2834043
0.06780857 -0.1090982 0.3411476 0.2854586
0.05956641 -0.02687348 0.4158324 0.3318426
0.01597405 0.01664307 0.2875637 0.3278624
0.04168026 -0.114351 0.2003737 0.2995363
0.02298096 -0.05326257 0.2458517 0.1955957
0.05817419 0.008752698 0.1906234 0.05949838
-0.006284703 -0.08537195 0.1609059 -0.01451674
-0.0001842354 -0.03771382 0.1957477 -0.009557412
-0.02230233 -0.07468639 0.1772628 0.01676198
0.004599226 -0.0440664 -0.01525564 0.07323082
0.06680538 -0.06493003 -0.02518343 0.01809614
0.08745367 -0.01912343 -0.0395576 0.09711361
0.09125388 -0.03473063 -0.07012337 0.1371599
0.03545561 -0.07478389 -0.1612942 0.06135278
0.01794425 -0.03488483 -0.2447511 -0.05391317
0.1276993 -0.02298579 -0.2822743 0.01984539
0.09753452 -0.06566589 -0.2267491 0.0575634
0.03463274 -0.02562345 -0.0935645 -0.07141486
0.07341759 -0.01644877 -0.02949922 -0.1686258
0.04230102 -0.06253232 0.001700297 -0.05277686
0.05761485 -0.01375092 0.08674344 -0.2808101
0.06877567 -0.04564599 0.04645713 -0.3422191
0.02609445 -0.0520745 0.0213677 -0.3545757
0.06211494 0.01292015 0.02362906 -0.2990891
0.06611333 0.003795521 -0.1077208 -0.3634003
0.07752189 -0.02123711 -0.1755884 -0.1475525
0.03661124 -0.0559249 -0.1763438 -0.04927966
-0.006359316 -0.09035293 -0.1828231 -0.004399439
0.0908225 -0.05719315 -0.1365109 -0.2229111
0.08576966 -0.07458188 -0.1949081 -0.3010245
0.04803399 -0.02388751 -0.2596233 -0.3390669
0.001961859 -0.05393983 -0.1729403 -0.4822422
0.0614645 0.07188744 -0.2584735 -0.302526
0.05795496 -0.01624859 -0.3621548 -0.2393181
0.06773423 -0.05685139 -0.394491 -0.2428891
0.1068203 -0.04697688 -0.2974623 -0.2032247
0.01951308 0.002717921 -0.1767302 -0.2277573
0.07513598 -0.0183941 -0.1762452 -0.2612231
0.0776624 -0.04098529 -0.2442547 -0.1551382
0.05098736 -0.008862395 -0.3766307 -0.1463562
0.05429944 -0.09116293 -0.4503327 -0.2504799
0.003705801 -0.05265317 -0.5264648 -0.2704036
0.005078249 -0.03130785 -0.4186387 -0.2333311
0.08341566 0.007545852 -0.4693422 -0.1298383
0.04640269 -0.02890334 -0.6808025 -0.1763817
0.05857614 -0.03915767 -0.7888146 -0.200859
0.06529659 0.03163887 -0.8930048 -0.08111873
0.03468574 -0.02428306 -0.8132894 -0.1181629
0.07477125 -0.08230975 -0.7134782 -0.06382041
0.08192953 -0.1037693 -0.7415535 -0.06795781
0.07371072 0.02860728 -0.8409723 -0.01193764
0.04174033 -0.05715874 -0.8163297 0.1686642
0.07171666 -0.02212406 -0.8271028 0.2000609
0.0372768 -0.006174846 -0.7673189 0.3002502
0.02613635 -0.0960322 -0.7163582 0.3119016
0.0004702149 -0.07821379 -0.6382198 0.416479
0.03486277 0.02503961 -0.699271 0.3620561
0.04796272 -0.02166737 -0.681368 0.4209366
0.04596033 -0.06584036 -0.6020306 0.262403
0.04781681 -0.02795578 -0.5442351 0.1446676
0.06989717 -0.04758183 -0.5845015 0.1647366
0.04829195 -0.009551863 -0.5279898 0.09631553
0.02640024 -0.05591305 -0.5587609 0.2653266
0.07375488 -0.09354841 -0.6188634 0.3845977
0.1446737 -0.00558315 -0.5846102 0.5350551
0.0504052 -0.005221018 -0.5834925 0.3221117
0.04397641 -0.08520832 -0.6032346 0.3405759
0.00248195 -0.04819525 -0.5432207 0.3371739
0.07087855 -0.07222068 -0.6354063 0.3699628
0.0103748 -0.02975519 -0.6471722 0.2507815
0.007498548 -0.06309969 -0.6630938 0.2828492
0.05017327 -0.06398853 -0.5943083 0.3119167
0.06465029 -0.04846431 -0.5989925 0.4463437
0.04356443 -0.05056231 -0.5414601 0.5233639
-0.007660933 -0.03573233 -0.5959112 0.4931917
0.05652808 -0.0007732879 -0.5746428 0.5741695
0.01727027 0.02102677 -0.5198496 0.4820942
0.02989584 0.02658058 -0.4219737 0.5472623
0.04135918 -0.05529455 -0.5601102 0.6448891
0.01796567 -0.06198921 -0.4974401 0.6409133
0.05647254 -0.02541583 -0.542137 0.5874916
0.07698467 -0.0987561 -0.5857781 0.794176
0.029747 -0.09382468 -0.7041805 0.712919
0.02059318 -0.04783915 -0.592685 0.61129
0.07512368 -0.03600057 -0.5411052 0.8498443
0.07138043 -0.06043863 -0.5509311 0.744377
0.0443759 -0.00733007 -0.5093455 0.7158146
0.09890062 0.06131832 -0.4386459 0.7061506
0.04354323 0.03990737 -0.3740376 0.6522505
0.07933245 0.01538384 -0.3768524 0.660559
0.05941731 -0.02107276 -0.1912685 0.7382128
0.04869862 -0.04193394 -0.1235725 0.5942405
-0.01480677 -0.07758916 -0.01048756 0.7427312
0.05648142 -0.03624265 -0.07235568 0.7669982
0.0741224 -0.0663913 -0.1323328 0.8456268
0.01533443 -0.109123 -0.03936197 0.910932
0.07513097 -0.1056005 -0.09967835 0.9024243
0.04823467 -0.07498281 -0.1547959 1.041801
0.02639518 -0.01803191 -0.04478336 1.102767
0.05664596 -0.01769447 -0.1361105 1.217383
0.03888104 -0.04125588 -0.01952861 1.071258
0.06875811 -0.1240596 0.02593216 1.114872
0.03473342 -0.04549868 0.1282792 1.072126
0.01253076 -0.1098399 0.06170527 1.212362
-0.005667316 -0.04700839 0.1806964 1.348661
0.05803938 -0.08790488 0.2614555 1.238779
-0.002299694 -0.03591283 0.3002154 1.347589
0.05731716 -0.03696181 0.3033974 1.272911
0.1147663 0.00608413 0.3355553 1.238568
0.04863552 -0.0337656 0.3436217 1.140093
0.1058995 -0.06788196 0.3117879 1.295723
0.07975062 -0.02795415 0.3850722 1.225664
0.07815984 -0.04702222 0.4100343 1.270334
0.06309013 -0.04402579 0.3730247 1.29521
0.06439301 -0.04115377 0.4187326 1.182028
0.04951128 0.01521883 0.4944371 1.213254
0.09715192 -0.0670826 0.4343614 1.261661
0.06022806 -0.02206134 0.3493904 1.245308
0.04392244 -0.01054015 0.2556886 1.283544
0.03703173 -0.04569579 0.2288847 1.403474
0.03838945 -0.07035037 0.2497499 1.529807
0.05591438 0.02284539 0.1815437 1.616772
0.1255854 -0.01174751 0.1634375 1.306892
-0.03292953 -0.02293576 0.1865365 1.487719
0.05702471 -0.1393698 0.2488622 1.518464
-0.0156393 0.01769211 0.2558374 1.311423
0.01895739 -0.01380752 0.2239255 1.468701
0.01351597 -0.0299334 0.3733342 1.450779
0.07382262 -0.03928161 0.4880683 1.617162
0.0943264 -0.01567234 0.4748148 1.766574
-0.01521039 -0.01751322 0.5214644 1.569115
-0.01938893 -0.0595777 0.5238397 1.64501
0.04965785 -0.01477719 0.5329355 1.832478
0.0233241 -0.05817229 0.4854447 1.909722
0.003371898 -0.1005154 0.3334126 1.779978
0.005394552 -0.03289034 0.4133073 1.77193
0.01004322 -0.06459897 0.4105814 1.780034
-0.007253152 -0.001079921 0.2819656 1.79941
0.02041998 -0.05825418 0.1684083 1.919515
0.05103253 -0.07300719 0.1476339 1.880918
0.04542225 -0.07047793 0.2272511 1.797377
0.0935906 -0.04084107 0.2652681 1.882291
0.04024229 -0.03732564 0.2957023 1.874376
0.03045159 -0.06920263 0.1801937 1.919744
-0.0001798219 -0.1167368 0.2329777 1.837971
0.09014528 -0.05846113 0.4529159 1.929012
0.07022242 0.01247364 0.4773384 1.955895
0.06815858 -0.02032371 0.3615503 1.919524
0.1115272 -0.004846258 0.3504737 1.707148
0.0489011 0.06118174 0.3397134 1.796982
0.1088027 0.03153423 0.3836354 1.848875
0.03887138 -0.09070847 0.3684234 1.865739
0.0811105 -0.06854184 0.2211758 1.928214
0.05038652 -0.1368405 0.2891757 1.873702
0.1090376 -0.07481747 0.2683841 1.981015
0.03502298 -0.01389382 0.3119278 1.827649
