factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4
0.04356216 -0.07945423 0.1275905 0.05639668
-0.001498591 -0.01839933 0.09748922 0.06394987
-0.03405601 -0.1384946 0.2212836 0.08277824
0.08788931 -0.03000414 0.137426 0.04028506
0.0427091 -0.04479749 0.008403101 0.1219536
0.03715542 -0.06244981 0.09067969 0.1969037
-0.02244612 -0.05507676 0.07537327 -0.1596436
-0.003868018 -0.04883904 0.03943713 -0.09472773
0.06517646 -0.09176955 -0.06527987 -0.04461586
-0.01465148 0.005486157 0.001065654 -0.04378641
0.05518129 -0.05294353 -0.02822942 -0.0709292
0.0547173 -0.09151256 -0.09978807 -0.04714248
0.04612517 -0.04837826 0.007641102 0.1579565
4.756983e-05 -0.003955888 0.09927136 0.1485066
0.03122456 -0.06402373 -0.07778396 -0.1387884
0.02291704 -0.07452814 0.04991985 -0.2529598
0.1177974 -0.03059387 0.1238274 -0.2664316
0.01412463 -0.0501933 0.01603585 -0.2973604
0.04897548 -0.04950292 0.1223913 -0.3825761
0.009405124 -0.03273956 -0.0001760647 -0.4637476
-0.03570311 -0.08221455 -0.09301161 -0.4469404
0.05823901 -0.0187582 -0.1568794 -0.5056627
-0.03917075 -0.10153 -0.2011795 -0.534847
-0.03411462 -0.04069902 -0.1890723 -0.5351018
0.03146609 -0.02332306 -0.2273382 -0.5681344
0.06130234 -0.07738909 -0.2753744 -0.3930841
0.05653043 0.003156113 -0.2848503 -0.2971103
0.03497365 -0.0319924 -0.3329235 -0.2380607
0.07420183 0.008604447 -0.3967411 -0.2300511
0.03687752 -0.02464291 -0.4040457 -0.1468407
0.04557045 -0.06360691 -0.2933624 -0.1203375
0.04613287 -0.08031003 -0.2176677 -0.1250205
-0.009082649 -0.1288133 -0.3394674 -0.09948847
0.05721897 -0.04353764 -0.3881533 -0.08602172
0.04176 -0.01186629 -0.4354603 0.05411623
0.05050182 -0.082748 -0.3964306 0.2314666
0.04955674 -0.0376295 -0.4652536 0.2616792
0.07436985 -0.01953111 -0.5751033 0.301242
0.1128869 -0.05636571 -0.6821634 0.3772679
0.05335548 -0.01723794 -0.5761032 0.5359003
0.1225521 0.0135232 -0.6951784 0.6263068
0.01692347 -0.08778681 -0.7258944 0.6298797
0.08594742 0.01038116 -0.6697537 0.4088936
0.05899105 -0.0246132 -0.697244 0.3617302
0.06423611 -0.04250261 -0.7592975 0.2292028
0.05410805 -0.1156653 -0.8258975 0.2645323
0.03652703 -0.0770071 -0.9133809 0.4118483
0.08220809 -0.01770118 -0.8682069 0.2936219
0.06211231 -0.05659104 -0.9708559 0.1264432
0.08164869 -0.01080936 -1.110658 -0.005143888
0.0722867 -0.09806643 -1.191692 -0.02540284
0.02262415 -0.01269631 -1.190883 -0.1711634
0.06282198 -0.05295484 -1.102482 -0.03024872
0.03152793 -0.01303661 -1.148405 -0.004430587
0.03598671 -0.02849175 -1.149179 -0.04057367
0.05745394 -0.07917274 -1.020439 -0.03941805
0.07037618 -0.04106826 -1.04484 -0.1890448
0.02835399 0.02592806 -0.9829413 -0.2235295
0.09493782 -0.02731803 -1.002365 -0.1919366
0.02094097 -0.01457049 -0.8866422 -0.3071362
0.06130736 -0.03875457 -0.8157376 -0.3707137
0.0662206 -0.04561982 -0.9116886 -0.3391423
0.05418933 -0.03929586 -0.9360437 -0.3411365
0.04943724 -0.04336755 -0.7987562 -0.4475419
0.05036502 -0.05550917 -0.8835269 -0.4350359
0.03413559 -0.08308692 -0.9082174 -0.3979695
-2.091437e-05 -0.07960425 -0.951988 -0.4128861
0.01118935 -0.01913066 -0.9369256 -0.5578741
0.05352301 -0.04312589 -0.8720178 -0.6504493
0.09029375 -0.08478681 -1.019573 -0.6922925
0.06338669 0.01708969 -0.9749658 -0.7508691
-0.0007219278 -0.008008292 -0.9583965 -0.8023859
0.05614073 0.01146622 -0.9793296 -0.9145455
0.0110184 0.02656425 -1.091218 -0.97456
0.04908118 -0.03088688 -1.158483 -1.164048
0.05088992 -0.05187524 -1.202413 -1.126058
0.007184946 -0.03023365 -1.213435 -1.173578
-0.02752386 -0.1050239 -1.210861 -1.137101
0.01821125 -0.0742374 -1.210981 -1.055427
0.06056585 -0.05269767 -1.208023 -1.001783
0.07406543 -0.0307308 -1.217402 -0.9537504
0.05155647 -0.07039511 -1.174253 -0.9049177
0.02528478 -0.08378024 -1.233163 -0.9379936
0.02193305 -0.05399609 -1.202182 -0.9136767
5.050851e-05 -0.0234946 -1.21977 -0.92435
0.03939667 -0.02685434 -1.245835 -0.9198204
-0.02530012 -0.08100143 -1.181669 -0.9740601
0.05747616 -0.09823624 -1.184636 -0.9818297
0.03911627 -0.08128153 -1.237483 -1.111184
0.0935393 0.0003580401 -1.311303 -1.097664
0.08131574 -0.01204477 -1.271627 -1.167486
0.08907209 3.67085e-05 -1.133576 -1.278487
0.0698156 -0.05882995 -1.293179 -1.318284
0.08043758 -0.04365466 -1.474416 -1.302102
0.02436096 -0.0248488 -1.400365 -1.382194
0.0292318 -0.06343745 -1.343509 -1.441848
0.006503409 -0.07853851 -1.278702 -1.379674
0.04319316 -0.02188314 -1.368794 -1.309604
0.04909218 -0.02314559 -1.502978 -1.170888
0.0860807 -0.02019723 -1.575096 -1.279852
0.02902437 -0.05900463 -1.503156 -1.129846
0.04329706 -0.01637225 -1.416584 -1.203673
0.02142055 -0.04319861 -1.431723 -1.39173
0.04839117 -0.1164493 -1.365837 -1.380789
0.08563439 -0.05783115 -1.228808 -1.372251
0.08680331 -0.006757106 -1.294926 -1.324738
0.03594142 -0.05843609 -1.270377 -1.32047
0.03274357 0.05291176 -1.305771 -1.057525
0.08989172 -0.01663581 -1.218785 -1.110425
0.04631565 -0.01590957 -1.204858 -1.109749
-0.03778794 -0.06650008 -1.253336 -0.9808972
0.05164537 0.03861475 -1.344876 -0.9435278
0.02722939 -0.07010227 -1.29916 -0.7735394
0.1021942 -0.008958546 -1.371806 -0.8697432
0.09359227 -0.06197367 -1.364496 -0.9328505
0.004108733 -0.03150079 -1.254606 -1.032715
0.06787477 -0.05839332 -1.222281 -0.8358213
0.02893275 -0.00746951 -1.245671 -0.7746223
0.05784082 -0.01334286 -1.230448 -0.7281041
0.03963515 0.05885001 -1.213776 -0.7768821
0.06551686 0.02812983 -1.033101 -0.886528
0.07160898 0.003175381 -1.023207 -0.7734335
0.08440434 -0.0253307 -0.9613062 -0.6768041
0.002198599 -0.02955438 -1.026212 -0.7309999
0.08131167 -0.001632507 -0.9485637 -0.6435067
0.04416898 -0.06313455 -0.916697 -0.4670676
-0.001766971 -0.03138194 -0.9260191 -0.5924595
0.02777486 -0.05584566 -1.008153 -0.533976
