"","testing","Individual","popChk","Year","y","yHat"
"1",123,"SL18-OI-11-FG3xSL18-CC-1-MG3","ES",2020,1.031543485,0.237500079340382
"2",124,"SL18-JS-16-FG3xSL18-NC-10-MG3","ES",2020,0.145898646,0.198986986058949
"3",125,"SL18-OI-5-FG5xSA18-CB-7-MG3","ES",2020,0.09321362,0.274253345545959
"4",126,"SL18-CC-1-FG2xSL18-OI-16-MG1","ES",2020,0.478797213,0.254629895269165
"5",127,"SL18-NC-11-FG1xSL18-NL-2-MG1","ES",2020,0.276564855,0.22887487115113
"6",128,"SL18-CC-5-FG2xSA18-CB-10-MG1","ES",2020,1.989688812,0.255941418797572
"7",129,"SL18-LD-13-FG2xSL18-LD-13-MG2","ES",2020,0.03920757,0.270132542797934
"8",130,"SL18-CC-5-FG3xSL18-OI-14-MG1","ES",2020,1.495930496,0.284401577411775
"9",131,"SL18-CC-11-FG3xSL18-CC-3-MG1","ES",2020,0.162226696,0.232848064852913
"10",132,"SL18-CC-11-FG3xSA18-CB-3-MG3","ES",2020,1.912050785,0.27730215767842
"11",133,"SL18-JS-16-FG1xSL18-CC-4-MG11","ES",2020,0.038860603,0.276364946773391
"12",134,"SL18-CC-11-FG3xSL18-JS-16-MG1","ES",2020,0.606503052,0.267193944150871
"13",135,"SL18-NC-12-FG2xSA18-CB-4-MG3","ES",2020,0.1931936,0.285961153638034
"14",136,"SL18-OD-5-FG1xSL18-CC-8-MG2","ES",2020,0.058814816,0.272379035353773
"15",137,"SL18-CC-1-FG3xSL18-OI-9-MG2","ES",2020,0.045545013,0.279919875245655
"16",138,"SA18-CB-9-FG1xSL18-JS-5-MG3","ES",2020,0.116125876,0.2203763453175
"17",139,"SL18-CC-5-FG1xSL18-JS-9-MG1","ES",2020,0.038572756,0.225334476725413
"18",140,"SL18-OI-15-FG1xSA18-CB-2-MG3","ES",2020,0.071632259,0.274497407230409
"19",141,"SL18-CC-12-FG3xSL18-OI-15-MG2","ES",2020,0.566752741,0.274683241612863
"20",142,"SL18-SF-17-FG2xSL18-NC-1-MG1","ES",2020,0.187129708,0.219277995928176
"21",143,"SL18-JS-5-FG1xSL18-LD-2-MG4","ES",2020,0.161994864,0.229913880068341
"22",144,"SL18-OD-5-FG3xSA18-CB-1-MG12","ES",2020,0.111509655,0.257751523771418
"23",145,"SL18-CC-5-FG3xSL18-JS-5-MG2","ES",2020,0.157828887,0.240724770930839
"24",146,"SL18-SF-13-FG1xSA18-CB-7-MG1","ES",2020,0.149539341,0.27945487294176
"25",147,"SL18-LL-9-FG6xSA18-CB-10-MG3","ES",2020,0.02452874,0.23624684871745
