"","testing","Individual","popChk","Year","y","yHat"
"1",1,"SA18-CB-10-FG1xSL18-SF-19-MG2","ES",2019,0.42,0.437793220897075
"2",2,"SL18-LD-10-FG1xSL18-OI-4-MG1","ES",2019,0.23,0.372492770979
"3",3,"SL18-NL-6-FG1xSL18-OI-11-MG2","ES",2019,0.11,0.392071414093291
"4",4,"SL18-NL-6-FG1xSL18-OI-14-MG2","ES",2019,0.48,0.431597766552776
"5",5,"SL18-NL-6-FG1xSL18-OI-15-MG1","ES",2019,0.47,0.439035966548831
"6",6,"SL18-NL-6-FG1xSL18-OI-16-MG1","ES",2019,0.34,0.285689406039535
"7",7,"SL18-NL-6-FG1xSL18-SF-17-MG1","ES",2019,0.41,0.306662548064166
"8",8,"SL18-NL-6-FG1xSL18-SF-19-MG2","ES",2019,0.27,0.431808763899769
"9",9,"SL18-LD-10-FG2xSA18-CB-7-MG2","ES",2019,0.38,0.49471933752371
"10",10,"SL18-LD-10-FG2xSL18-NL-3-MG2","ES",2019,0.11,0.415556426491841
"11",11,"SL18-NL-9-FG2xSA18-CB-7-MG1","ES",2019,0.22,0.392694674312943
"12",12,"SL18-NL-9-FG2xSL18-SF-19-MG1","ES",2019,0.28,0.20321012423738
"13",13,"SL18-OI-11-FG1xSL18-SF-15-MG2","ES",2019,0.23,0.37912177011284
"14",14,"SL18-OI-15-FG1xSA18-CB-2-MG3","ES",2019,0.37,0.30111727267473
"15",15,"SL18-OI-15-FG1xSL18-NL-5-MG1","ES",2019,0.09,0.412429930767721
"16",16,"SL18-OI-15-FG1xSL18-SF-15-MG1","ES",2019,0.41,0.410933285692675
"17",17,"SL18-OI-16-FG3xSA18-CB-4-MG3","ES",2019,0.42,0.532873013029731
"18",18,"SL18-OI-16-FG3xSA18-CB-5-MG3","ES",2019,0.07,0.501716137829707
"19",19,"SL18-LD-13-FG2xSL18-LD-13-MG2","ES",2019,0.3,0.0169359014573233
"20",20,"SL18-OI-16-FG3xSL18-LD-3-MG2","ES",2019,0.19,0.412056509324423
"21",21,"SL18-OI-16-FG3xSL18-NL-6-MG1","ES",2019,0.21,0.490157098428629
"22",22,"SL18-OI-16-FG3xSL18-SF-17-MG2","ES",2019,0.34,0.451592854570975
"23",23,"SL18-OI-17-FG1xSL18-SF-13-MG2","ES",2019,0.43,0.371620332510513
"24",24,"SL18-OI-17-FG2xSL18-SF-17-MG2","ES",2019,0.04,0.502919884584133
"25",25,"SL18-OI-18-FG1xSL18-OI-9-MG3","ES",2019,0.32,0.447847671972236
"26",26,"SL18-OI-18-FG2xSA18-CB-7-MG1","ES",2019,0.33,0.557362943087478
"27",27,"SL18-OI-18-FG2xSL18-LD-10-MG1","ES",2019,0.31,0.4394953500578
"28",28,"SL18-OI-18-FG2xSL18-LD-9-MG1","ES",2019,0.28,0.436684116370764
"29",29,"SL18-OI-18-FG2xSL18-NL-2-MG2","ES",2019,0.21,0.377823498905969
"30",30,"SL18-OI-18-FG2xSL18-LD-2-MG3","ES",2019,0.08,0.48410493315262
"31",31,"SL18-OI-18-FG3xSL18-LL-9-MG1","ES",2019,0.09,0.478698395971511
"32",32,"SL18-OI-18-FG3xSL18-OI-7-MG1","ES",2019,0.26,0.466562918912351
"33",33,"SL18-OI-18-FG5xSA18-CB-4-MG3","ES",2019,0.18,0.388506471147656
"34",34,"SL18-OI-18-FG5xSL18-LD-2-MG1","ES",2019,0.28,0.486611333746684
"35",35,"SL18-OI-18-FG5xSL18-SF-15-MG2","ES",2019,0.51,0.433108518286369
"36",36,"SL18-OI-18-FG6xSA18-CB-1-MG2","ES",2019,0.27,0.489930270741019
"37",37,"SL18-OI-18-FG6xSL18-NL-6-MG1","ES",2019,0.14,0.436141039586002
"38",38,"SL18-OI-2-FG2xSL18-LD-1-MG2","ES",2019,0.1,0.352768567147555
"39",39,"SL18-LD-1-FG1xSL18-NL-2-MG2","ES",2019,0.17,0.410225088704313
"40",40,"SL18-OI-2-FG3xSL18-NL-9-MG1","ES",2019,0.08,0.471426584419519
"41",41,"SL18-OI-2-FG3xSL18-SF-17-MG1","ES",2019,0.17,0.440068950957552
"42",42,"SL18-OI-6-FG1xSA18-CB-2-MG1","ES",2019,0.07,0.576285425458526
"43",43,"SL18-OI-6-FG1xSA18-CB-4-MG1","ES",2019,0.19,0.75381400529175
"44",44,"SL18-OI-6-FG1xSL18-LD-13-MG2","ES",2019,0.16,0.535195677520538
"45",45,"SL18-OI-6-FG1xSL18-LD-2-MG1","ES",2019,0.23,0.744548383928081
"46",46,"SL18-OI-6-FG1xSL18-LD-5-MG1","ES",2019,0.16,0.604165130661553
"47",47,"SL18-LD-1-FG1xSL18-OI-18-MG1","ES",2019,0.18,0.401670783453532
"48",48,"SL18-OI-6-FG1xSL18-NL-9-MG1","ES",2019,0.19,0.603888423293179
"49",49,"SL18-OI-6-FG1xSL18-SF-15-MG1","ES",2019,0.24,0.509825436035964
"50",50,"SL18-OI-6-FG1xSL18-SF-19-MG1","ES",2019,0.12,0.573686424577776
"51",51,"SL18-OI-7-FG3xSA18-CB-2-MG3","ES",2019,0.16,0.422235391388982
"52",52,"SL18-OI-9-FG1xSL18-LL-9-MG2","ES",2019,0.17,0.482246576443271
"53",53,"SL18-SF-13-FG1xSL18-LL-9-MG3","ES",2019,0.25,0.391182914163501
"54",54,"SL18-LD-1-FG2xSA18-CB-4-MG3","ES",2019,0.46,0.394363865649382
"55",55,"SL18-SF-17-FG1xSL18-LL-9-MG1","ES",2019,0.1,0.471634233568136
"56",56,"SL18-SF-17-FG3xSA18-CB-10-MG1","ES",2019,0.32,0.629705144318247
"57",57,"SL18-SF-17-FG3xSA18-CB-3-MG3","ES",2019,0.17,0.500274783896424
"58",58,"SL18-SF-17-FG3xSL18-LD-2-MG1","ES",2019,0.15,0.485339336849363
"59",59,"SL18-SF-17-FG3xSL18-NL-10-MG2","ES",2019,0.06,0.484339135439663
"60",60,"SL18-SF-17-FG3xSL18-NL-2-MG3","ES",2019,0.22,0.338054540594761
"61",61,"SL18-SF-17-FG3xSL18-NL-9-MG1","ES",2019,0.24,0.457873395008308
"62",62,"SL18-SF-17-FG3xSL18-OI-7-MG1","ES",2019,0.23,0.493464172903263
"63",63,"SL18-SF-17-FG3xSL18-OI-9-MG3","ES",2019,0.26,0.462687744102034
