"","testing","Individual","popChk","Year","y","yHat"
"1",1,"SA18-CB-10-FG1xSL18-SF-19-MG2","ES",2019,0.42,0.441361406453103
"2",2,"SL18-LD-10-FG1xSL18-OI-4-MG1","ES",2019,0.23,0.36177448629822
"3",3,"SL18-NL-6-FG1xSL18-OI-11-MG2","ES",2019,0.11,0.396192878835452
"4",4,"SL18-NL-6-FG1xSL18-OI-14-MG2","ES",2019,0.48,0.434796085212191
"5",5,"SL18-NL-6-FG1xSL18-OI-15-MG1","ES",2019,0.47,0.451721018526113
"6",6,"SL18-NL-6-FG1xSL18-OI-16-MG1","ES",2019,0.34,0.264985698120584
"7",7,"SL18-NL-6-FG1xSL18-SF-17-MG1","ES",2019,0.41,0.308784908859805
"8",8,"SL18-NL-6-FG1xSL18-SF-19-MG2","ES",2019,0.27,0.43442525455565
"9",9,"SL18-LD-10-FG2xSA18-CB-7-MG2","ES",2019,0.38,0.475484409377142
"10",10,"SL18-LD-10-FG2xSL18-NL-3-MG2","ES",2019,0.11,0.427377244941026
"11",11,"SL18-NL-9-FG2xSA18-CB-7-MG1","ES",2019,0.22,0.399665617062374
"12",12,"SL18-NL-9-FG2xSL18-SF-19-MG1","ES",2019,0.28,0.19667110862146
"13",13,"SL18-OI-11-FG1xSL18-SF-15-MG2","ES",2019,0.23,0.417634322480242
"14",14,"SL18-OI-15-FG1xSA18-CB-2-MG3","ES",2019,0.37,0.310855566577559
"15",15,"SL18-OI-15-FG1xSL18-NL-5-MG1","ES",2019,0.09,0.401488493117872
"16",16,"SL18-OI-15-FG1xSL18-SF-15-MG1","ES",2019,0.41,0.399691418659735
"17",17,"SL18-OI-16-FG3xSA18-CB-4-MG3","ES",2019,0.42,0.531522830936464
"18",18,"SL18-OI-16-FG3xSA18-CB-5-MG3","ES",2019,0.07,0.528423821557802
"19",19,"SL18-LD-13-FG2xSL18-LD-13-MG2","ES",2019,0.3,0.016693358069436
"20",20,"SL18-OI-16-FG3xSL18-LD-3-MG2","ES",2019,0.19,0.443262064680573
"21",21,"SL18-OI-16-FG3xSL18-NL-6-MG1","ES",2019,0.21,0.472414788440227
