factor(popChk)Z1 factor(popChk)Z2 factor(popChk)Z3 factor(popChk)Z4 factor(Year)2020
0.008740567 -0.06990268 -0.0719064 -0.4024783 0.1840365
0.02458717 -0.06291334 0.00306265 -0.395865 0.1772929
0.06685606 -0.1647584 -0.2813103 -0.2216708 0.2095179
-0.05819394 0.1824437 -0.1233366 -0.1675586 0.1112677
0.04940949 -0.02860682 -0.1179171 -0.2295903 0.08618566
0.04673344 0.04408846 -0.09478717 -0.4605436 0.1649518
-0.1531122 -0.08309907 0.02372963 -0.5109994 0.158297
0.01881923 0.1152674 -0.06591797 -0.355051 0.1440624
-0.001887937 -0.05982145 -0.09761649 -0.3235415 0.09819848
-0.1235024 0.008684938 -0.1818282 -0.3105506 0.1223202
0.1403116 0.006280555 0.01236172 -0.3907611 0.1644238
0.03213063 -0.1683753 -0.2250914 -0.2095728 0.1687364
-0.009176687 -0.135316 -0.1414182 -0.3201561 0.1457664
0.1141429 0.07016129 -0.03555426 -0.2056722 0.1653452
0.1887223 -0.08246499 -0.1296136 -0.242596 0.1147089
-0.07787736 -0.2195105 -0.1759106 -0.4806455 0.1024316
0.0405072 -0.1735631 -0.05381698 -0.2749328 0.06464035
-0.0622932 -0.1272112 -0.06515807 -0.2938266 0.02103664
-0.1656813 -0.0579502 -0.1684407 -0.3381402 0.1091409
-0.1623299 0.0331219 -0.1295028 -0.3503528 0.1261013
-0.03720572 -0.05177841 -0.1693574 -0.2619585 0.1440595
0.03306665 -0.01851646 -0.04015779 -0.2051323 0.1095327
0.1361028 0.04956868 -0.01561545 -0.1475091 0.1590534
-0.02601357 -0.06354956 -0.289005 -0.4049902 0.1977438
-0.05171408 0.09806711 -0.2094034 -0.3162407 0.1813326
0.1188256 -0.04118616 -0.105185 -0.3649076 0.1041484
0.1154373 -0.06856641 -0.01615125 -0.2571859 0.0794951
-0.0551996 -0.03614451 -0.05658796 -0.3802325 0.06739665
-0.1221687 -0.1847787 -0.05118529 -0.3237211 0.03095828
-0.07027722 -0.06637123 0.01966616 -0.1542196 -0.03410788
-0.05879192 -0.1636807 -0.1149313 -0.3675669 0.03403236
-0.05719137 0.003053529 -0.1180602 -0.3195859 0.07396836
-0.03503289 -0.2135805 -0.07605189 -0.2865161 0.06129797
0.06851941 -0.1071594 -0.0836038 -0.1666005 0.1002542
0.1572097 0.1326836 -0.06745804 -0.1799174 0.1747821
0.06137986 0.0002636084 -0.0432586 -0.1887346 0.09941936
0.2470398 -0.07857109 -0.1248115 -0.3071629 0.1560481
0.07227808 -0.1043598 -0.07747232 -0.2892223 0.1039784
-0.0005694583 -0.08213214 -0.1709585 -0.4050554 0.151312
0.04839277 -0.2049106 -0.1486747 -0.3059637 0.1594291
-0.001696103 -0.1319113 -0.00773481 -0.2994674 0.09705878
0.0247421 -0.1018099 -0.1700108 -0.4552327 0.05536581
-0.009601029 -0.06712146 -0.1519086 -0.3534149 0.06536502
-0.09566625 -0.1016697 -0.07824964 -0.3467342 0.08457727
0.03225003 -0.1717253 -0.2030958 -0.3306819 0.09424058
-0.006808366 -0.1272133 -0.2215168 -0.3075315 0.1043528
0.1019614 -0.1035832 -0.2496433 -0.3952623 0.1443057
-0.02660348 0.007171585 -0.1980406 -0.4434587 0.1310257
0.04196317 -0.0152846 -0.2065104 -0.2456403 0.1388694
-0.1303569 -0.009349498 -0.2638266 -0.3355818 0.216741
0.01228011 0.04080068 -0.1431168 -0.4547041 0.2059325
0.03472187 0.04179419 0.03240799 -0.3503118 0.2440772
0.006650546 -0.03551188 -0.2496331 -0.5186513 0.2907627
0.06481013 -0.011917 -0.1312172 -0.4590131 0.1977525
0.00135587 -0.009396033 -0.05401646 -0.3066718 0.1734097
0.05976586 -0.003934826 -0.02474177 -0.2919603 0.191907
0.0636223 -0.05653369 -0.09830081 -0.2813205 0.1453974
0.01236933 -0.06197763 -0.08995272 -0.2161463 0.1260015
-0.03014913 -0.1118174 -0.1385205 -0.4676392 0.1205219
-0.05180844 0.02981223 -0.1060503 -0.2830508 0.1565013
0.01816467 -0.07480636 -0.2018491 -0.3566594 0.233988
0.06822094 -0.07483993 -0.2080162 -0.3760708 0.2260925
0.03183501 -0.1804635 -0.1361925 -0.3890328 0.1847464
0.02964999 -0.009182439 -0.0401584 -0.4649608 0.1693052
0.0855504 -0.04024116 -0.1180543 -0.3254114 0.1949373
0.1394626 -0.04846557 -0.1699345 -0.4347659 0.2133408
0.001590824 -0.09264983 -0.1043992 -0.3924387 0.1915113
0.006012443 0.03812528 -0.1562267 -0.3342705 0.142957
0.1644457 0.08476747 -0.008013791 -0.2098268 0.161835
0.1343574 -0.1515774 -0.07943654 -0.3432803 0.1918609
0.1199051 0.01835255 -0.1829452 -0.1311164 0.1745348
0.05005764 -0.03238265 -0.1888299 -0.3040768 0.1653932
-0.07513949 0.2183788 -0.1093863 -0.1329343 0.1421925
0.01397417 -0.1187851 -0.1372297 -0.2422235 0.1087958
0.03986509 -0.00522396 -0.02547713 -0.1911352 0.1051659
0.02052199 -0.03106304 -0.1404618 -0.3094458 0.174705
-0.04287519 -0.2015689 -0.322443 -0.2166184 0.09725545
0.05108873 -0.008057564 -0.09086432 -0.1776768 0.1743742
-0.05398652 0.06219723 -0.1629208 -0.5302897 0.2344833
-0.01208993 -0.05928089 -0.2542834 -0.5759031 0.1741767
-0.1482936 -0.2414263 -0.3830922 -0.5046606 0.1778787
-0.0158444 0.05225372 -0.1230485 -0.1662495 0.1206072
0.3333785 0.04803797 0.08605118 -0.2354196 0.1333832
0.0655875 -0.09314412 -0.1180263 -0.2986992 0.1864782
0.06682317 0.09793983 -0.266074 -0.2389765 0.2089969
0.01682568 0.1208628 -0.3618924 -0.4639715 0.1930383
-0.01156702 -0.05357704 -0.2255211 -0.1724166 0.2053357
3.702973e-05 0.02028372 -0.03663105 -0.3199446 0.1173305
0.06742948 0.0644974 -0.1463132 -0.2819024 0.2223492
0.1258054 -0.1761502 -0.2247954 -0.3241204 0.1974869
0.09053209 -0.2537774 -0.2376377 -0.5043818 0.2644244
0.0397192 -0.02630244 -0.04702115 -0.2384736 0.2349464
0.07108124 -0.08430207 -0.1954566 -0.2309508 0.1143119
-0.06821601 -0.05595246 -0.09018065 -0.1613603 0.1528527
0.08449201 -0.1497623 -0.2327402 -0.2948699 0.2632318
0.02229905 -0.1026434 -0.2196725 -0.5460911 0.2085654
0.141277 0.1435047 0.0133334 -0.2377022 0.1498124
0.09158888 0.0165335 -0.3477135 -0.3288213 0.2251255
-0.004706039 0.04583059 -0.1373753 -0.04395072 0.1835813
0.01999817 0.1406925 -0.02555734 -0.5447186 0.1909793
0.06762175 0.06039503 -0.2445268 -0.313736 0.1838361
0.0611002 -0.02183802 0.0001025996 -0.2438304 0.1263289
-0.06333579 -0.0707568 -0.08634917 -0.2528054 0.04248175
-0.02443104 -0.006643763 -0.1630633 -0.3334424 0.09763258
-0.06717808 -0.2877519 -0.1660174 -0.3488826 0.1173997
-0.1092582 -0.06342324 -0.08926198 -0.2694405 0.1127206
-0.05614501 -0.1573459 -0.06400548 -0.3331962 0.101237
0.05651335 -0.03241335 -0.139393 -0.1555682 0.05975251
0.02571102 -0.002707132 -0.1048175 -0.3670177 0.08928
-0.001321668 -0.1626193 -0.1690371 -0.2308301 0.05578774
-0.03914188 -0.06375531 -0.09347548 -0.2494345 0.08275338
-0.0201409 -0.02324195 -0.1996331 -0.4211145 0.1387923
-0.05926973 -0.1198501 -0.09625165 -0.3245139 0.1169719
-0.03517207 0.006100874 -0.08103203 -0.3599713 0.1390577
-0.04792096 0.06328057 -0.1477397 -0.4253584 0.1458591
-0.06511114 0.03361868 -0.07816024 -0.2887065 0.1813474
0.06745635 -0.1106038 -0.2309492 -0.3944677 0.1517958
0.06092385 -0.1557151 -0.1806439 -0.4172728 0.07305969
0.0002971418 -0.2379522 -0.02228727 -0.2409873 0.06615131
-0.07245569 -0.06212862 -0.1501805 -0.3748974 0.09101735
-0.1196927 -0.1944128 0.003820492 -0.3065359 0.03917405
0.03081996 -0.1148877 0.01109406 -0.3075915 0.04281669
0.1146985 -0.1456683 -0.09300563 -0.4220739 0.08277949
0.04369739 -0.1055427 -0.2214547 -0.404382 0.09241647
0.03019593 -0.1033224 -0.0812443 -0.2699563 0.08020175
-0.1058743 -0.1394801 -0.1837797 -0.2767393 0.09395618
-0.05523553 -0.1199497 -0.03162784 -0.2566687 -0.00969797
-0.009650642 -0.0841032 -0.08492621 -0.1995714 0.0214593
-0.05665396 -0.02164526 -0.07283635 -0.2481951 0.001965449
-0.1334878 -0.1217607 -0.06231077 -0.08955184 0.01425956
-0.1009333 -0.1182099 -0.02687175 -0.2952209 0.01265196
-0.0009435998 -0.04639129 -0.1134946 -0.2114539 0.01977067
0.05677968 -0.05821306 0.011382 -0.2056634 0.01631617
-0.1183959 -0.1532909 -0.05558344 -0.1046785 -0.01212413
-0.07509658 -0.1766802 -0.074183 -0.2314955 0.01790593
-0.01528951 -0.1251303 -0.03629642 -0.3642131 0.02747777
0.06458691 -0.06538584 -0.1345757 -0.3349464 0.05334342
-0.02074743 -0.1135686 -0.1485064 -0.2378127 0.05322289
-0.05547411 -0.1588031 -0.2440613 -0.4219054 0.07961274
0.06076524 -0.07267376 -0.08248909 -0.2661549 0.05204202
0.05000486 -0.1731728 -0.07128291 -0.2971358 0.1439014
0.01944905 -0.02221367 -0.07681771 -0.3651729 0.1608916
0.04947997 -0.04790356 -0.1227967 -0.3461323 0.1310429
0.02413036 -0.07946964 0.01508178 -0.311391 0.1668472
0.08750777 -0.0780509 -0.2329922 -0.2698341 0.1464168
0.1481136 0.0544102 -0.1096941 -0.386859 0.2112898
0.003786232 -0.02279677 -0.2084134 -0.3332299 0.2273938
0.08986679 -0.02116419 -0.0665927 -0.306879 0.1789975
0.09543929 -0.03937831 -0.009664223 -0.359016 0.2220879
-0.02412937 0.1531204 -0.1613953 -0.396411 0.258249
0.01372221 0.03134553 -0.0942888 -0.393599 0.100049
0.0649835 -0.08390414 -0.04029638 -0.3143044 0.04751275
0.03802814 -0.1844995 -0.2055586 -0.3044834 0.1383614
0.02205658 -0.2502465 -0.1666837 -0.274893 0.1303591
0.06861278 0.03729822 -0.1504465 -0.2343118 0.1522596
-0.06751773 -0.2173581 -0.16071 -0.4110111 0.1590998
0.05251303 -0.0901701 -0.1990676 -0.4749918 0.2083413
0.1599563 -0.01430451 -0.1347063 -0.5504578 0.2368015
0.06482172 0.06540962 -0.2427002 -0.4013079 0.2472693
-0.1216637 -0.005587974 -0.04276789 -0.02744203 0.07765248
-0.02916161 -0.0814047 -0.2116723 -0.4699537 0.1660227
0.1191927 -0.129196 -0.01476969 -0.3139955 0.2045084
0.03496231 -0.04583792 -0.1992961 -0.4145773 0.2132901
0.04966302 -0.2214156 -0.06734989 -0.4060155 0.1002494
0.06387203 0.03672068 -0.1346609 -0.4679256 0.1175984
-0.07174042 -0.1684013 -0.08659332 -0.2489744 0.07586756
0.006712287 -0.03202867 -0.1185534 -0.3615938 0.07987003
-0.004262352 -0.08382134 -0.04463887 -0.3051307 0.03902342
0.06411777 0.06215992 -0.1026597 -0.3283542 0.1072689
0.1233216 -0.2740265 -0.1913046 -0.4573078 0.12908
-0.09750275 -0.06545956 -0.09952971 -0.3185323 0.09179279
-0.04898126 -0.06755762 0.1006161 -0.2402634 0.04242167
-0.04699036 0.0227275 -0.05569926 -0.2992733 0.06276011
-0.006953308 -0.1062967 -0.03771442 -0.210001 0.01575157
-0.03807022 -0.1646503 -0.1328127 -0.1862393 0.05609514
-0.06656664 -0.1463955 -0.06192647 -0.3344541 0.06877641
0.06569827 -0.1950273 -0.1304222 -0.3479109 0.08829581
0.02453258 -0.08684654 0.0323917 -0.2219066 0.04177406
-0.04222215 -0.1469099 -0.0547351 -0.25484 0.05002146
-0.07963665 -0.06853278 -0.3208339 -0.496022 0.1435577
-0.0903088 -0.1474968 -0.2787703 -0.5319487 0.2057907
0.1047243 -0.001390792 -0.181828 -0.4661907 0.1910099
0.05908892 -0.06654482 -0.1758059 -0.3564894 0.149719
-0.04573091 -0.121972 -0.3572587 -0.3829494 0.07760307
0.1526388 0.02866043 -0.15878 -0.4906694 0.1788237
0.06470407 -0.1288116 -0.3013596 -0.4942284 0.1926129
0.1034001 0.07907588 -0.1138795 -0.4923301 0.1634147
0.1064206 0.03086051 -0.05336614 -0.4019191 0.1311972
-0.09820543 0.02664898 -0.1262011 -0.2799717 0.1089284
-0.02175828 0.03062753 -0.09720878 -0.3381286 0.1998885
0.06225581 0.05155122 -0.2199769 -0.2083479 0.2119073
0.01269557 -0.2087337 -0.1832876 -0.3457243 0.1503301
0.04353751 -0.06982401 -0.1555741 -0.2168708 0.06449738
-0.04953481 -0.08356584 -0.08974397 -0.115251 0.06172475
-0.02566717 -0.0741674 -0.124306 -0.2813538 0.08698703
-0.04335769 -0.06446056 -0.1535628 -0.3141827 0.1160654
0.06548244 0.09205035 0.01254064 -0.2830921 0.1521899
-0.01409378 0.02379803 -0.03685044 -0.4001618 0.1356126
-0.01878202 0.0234237 -0.1994989 -0.4364303 0.143066
0.01200342 -0.1320519 -0.07787668 -0.342692 0.1388674
-0.009751784 -0.1016732 -0.1637675 -0.4102917 0.137804
-0.1401096 -0.08122398 -0.1149126 -0.4476172 0.1270255
-0.1029149 -0.1842236 -0.08374877 -0.3770734 0.1333706
-0.009829749 -0.09467227 -0.1108418 -0.3261635 0.05395667
0.01192409 -0.01384671 0.01593409 -0.3330599 0.08632792
0.008448969 0.03958119 -0.09187271 -0.3168675 0.1366753
0.1189523 -0.10325 -0.06003818 -0.3159557 0.1705501
-0.07283013 -0.06731748 -0.1053894 -0.2297206 0.1110398
0.05387376 -0.007812007 -0.09906523 -0.4902033 0.1708604
-0.10534 0.1072152 -0.05260565 -0.2963576 0.09120075
-0.01813928 -0.008157614 -0.04335207 -0.1664129 0.09958631
0.08033924 0.05567932 -0.203294 -0.3139922 0.164424
0.04532222 0.07660444 -0.1933832 -0.2765493 0.2036772
0.04473686 -0.2205112 -0.1402465 -0.4354812 0.05526877
0.01009512 -0.1671441 0.03755121 -0.3077712 0.08532152
0.08983359 -0.01132438 -0.1623587 -0.3935217 0.1122863
-0.002638668 -0.04104169 -0.06594021 -0.2673303 0.1283989
-0.1214245 -0.04423673 -0.1007075 -0.241433 0.132489
-0.06583866 0.08789015 -0.1611572 -0.2050102 0.1853725
0.09233761 -0.0008555123 -0.2460189 -0.3391234 0.240081
0.06282182 -0.07014396 -0.03216353 -0.3522921 0.2238723
0.03016934 0.01607193 -0.1667149 -0.3156103 0.1842626
0.2275152 -0.05724058 -0.2516666 -0.2578993 0.2218554
0.002911661 0.01621204 -0.1764368 -0.4955379 0.1793434
0.03990868 -0.09731452 -0.1639501 -0.379142 0.09587656
0.009586578 -0.0709315 -0.197814 -0.177993 0.1209739
0.1249909 -0.03392837 -0.1221535 -0.3765953 0.211679
0.0680453 -0.01859098 -0.2126587 -0.3235019 0.2666231
0.05332898 -0.08064972 -0.1020472 -0.3317738 0.1780138
0.06094148 -0.07760189 -0.2250428 -0.281021 0.1923524
0.04396277 -0.1013634 -0.2190337 -0.4573828 0.2325484
0.1007663 -0.1845271 -0.142461 -0.3394012 0.2518479
0.1446319 -0.08045294 -0.06871978 -0.2899263 0.1066135
0.1491601 -0.1483823 -0.09623615 -0.2475045 0.1669888
0.049261 -0.03332533 -0.03849217 -0.1419913 0.1250436
-0.05088209 -0.1420843 -0.1130137 -0.4178608 0.07684362
0.04408766 -0.08639516 -0.05959419 -0.3046781 0.06860281
-0.02135305 -0.06242238 -0.1226221 -0.426559 0.09024957
-0.05812851 -0.1483336 -0.05671713 -0.2222775 0.1070391
0.1292721 -0.01312902 -0.1488522 -0.3784398 0.2080146
-0.03518171 -0.06013587 -0.1518689 -0.2064234 0.1273736
-0.05636138 -0.0384141 0.004908552 -0.2393034 0.03063609
-0.09188101 -0.06777575 0.1387937 -0.247467 0.0953044
0.04986648 -0.1515616 -0.02067873 -0.1818922 0.110351
-0.08244496 -0.06863143 -0.1353877 -0.3173581 0.1275812
0.06501391 0.07497916 -0.1020331 -0.3620897 0.1750654
0.03337321 0.002055174 -0.1319428 -0.3700539 0.1525225
-0.04734543 -0.2327438 -0.1652937 -0.4753678 0.1146832
-0.006244434 0.1379181 -0.1612753 -0.3177279 0.09113195
0.07970521 0.007488061 -0.1103115 -0.4808798 0.2233772
0.06234826 0.05089022 -0.02541265 -0.2182785 0.1997411
0.194408 -0.01359586 -0.04387334 -0.3140715 0.2179714
-0.0290442 -0.06397601 -0.07916395 -0.350844 0.2079838
-0.08406335 -0.1164876 -0.1421865 -0.4381678 0.1463611
-0.01351049 -0.02498945 -0.00946889 -0.3012479 0.08217404
0.01922981 0.1229783 -0.1062102 -0.2681686 0.1079905
-0.05429129 -0.2146711 -0.1431601 -0.384983 0.07698115
0.03258712 0.02127596 -0.06418463 -0.2100108 0.0919074
-0.01266372 -0.2114597 -0.1549255 -0.4235544 0.1536411
0.1387612 0.01387266 -0.1914361 -0.4680695 0.230682
0.1035647 -0.09133823 -0.1286794 -0.2867287 0.2305726
0.1131912 0.01125807 -0.07465785 -0.3476728 0.1452824
-0.01158603 0.0199382 -0.03450999 -0.3177952 0.1827568
0.1506929 -0.2084682 -0.03585475 -0.2713148 0.1139982
-0.08124603 -0.1121492 -0.1500999 -0.298314 0.0160329
0.07836699 -0.2348661 -0.1390785 -0.2739417 0.1133466
0.100954 0.06670308 -2.376695e-05 -0.1941612 0.1146933
0.08560398 0.00171749 -0.04724191 -0.1263041 0.1390914
0.1474873 0.1536314 -0.2149591 -0.4640611 0.193287
0.1094551 -0.08618229 -0.2506053 -0.4280231 0.1335761
0.1545001 -0.003425067 -0.1679719 -0.3143528 0.1654964
0.03626399 0.0005827569 -0.0632097 -0.3848229 0.2038519
0.1143826 -0.01057659 -0.1147333 -0.2808285 0.1143997
-0.008573566 -0.05457558 -0.1829863 -0.4096277 0.09217037
-0.1165215 -0.2356273 0.09077162 -0.3690774 0.04769835
-0.1728364 -0.1121523 -0.08727032 -0.2294756 -0.02027954
0.05662674 -0.0103832 -0.07874428 -0.4002565 0.05162213
-0.1385732 -0.2498666 -0.2047849 -0.3178793 0.1145311
-0.08733193 -0.1366164 -0.1563901 -0.4054312 0.06297335
-0.03642632 -0.1031696 -0.0851667 -0.2498914 0.07689688
-0.164718 -0.1067368 -0.1027501 -0.2096118 0.04943082
-0.126866 -0.126403 -0.2421035 -0.431035 0.1380895
-0.1406519 -0.1187914 -0.1473421 -0.451831 0.1216031
-0.03138281 -0.1550628 -0.2558846 -0.4235577 0.1440114
0.0778962 -0.01633378 -0.2774117 -0.3649511 0.2109109
-0.0568418 -0.09721225 -0.1506933 -0.3622248 0.1071534
0.05863304 -0.04179861 -0.1328758 -0.2967753 0.105744
0.03080398 -0.03101134 -0.09124908 -0.3958434 0.1790608
0.03617055 -0.1249444 -0.1261341 -0.4629332 0.1884908
-0.01233981 0.0291893 -0.1706077 -0.6047478 0.2106018
0.05647692 -0.0123754 -0.138677 -0.3333422 0.1944446
0.1643263 -0.06015154 -0.1552852 -0.3831407 0.219509
-0.01339273 0.01380846 -0.1783074 -0.4252189 0.1279023
0.03065048 -0.008464223 -0.1899424 -0.372552 0.1817294
-0.09545 -0.1055326 -0.01064124 -0.2453396 0.05702433
0.03108526 -0.08695544 -0.1854692 -0.3879586 0.1338717
0.03198042 0.01771388 -0.1371914 -0.4583231 0.130434
0.130132 -0.03845295 -0.2166523 -0.4064522 0.1155597
0.06719929 -0.2045429 -0.111243 -0.09053039 0.1599745
0.04066328 0.1754829 -0.1692654 -0.4319655 0.1886792
-0.00333004 0.06647088 0.01568729 -0.4202107 0.08205337
0.09439479 0.007282183 -0.04598807 -0.2801003 0.2172049
0.1210683 -0.02730767 -0.160275 -0.3313324 0.1672161
0.06686966 -0.1190216 -0.1156003 -0.3494177 0.1862851
0.0002489507 -0.03900205 -0.1988185 -0.3907549 0.2170181
0.062111 -0.2166844 0.03327893 -0.1089265 0.1147255
0.1430431 -0.09276848 -0.04885453 -0.5035231 0.1224871
-0.1169048 -0.1690843 -0.04147449 -0.3869009 0.06184003
-0.03610762 -0.1572717 -0.07320747 -0.3963751 0.08706872
0.1481151 -0.006641521 -0.04747835 -0.3238046 0.1800228
-0.05927321 -0.223119 -0.01572787 -0.2299157 0.1183501
-0.01353617 0.01366582 -0.280406 -0.4087876 0.1821896
0.07551649 -0.2294075 -0.1742633 -0.5723053 0.1589083
-0.06289688 -0.02888358 -0.07446037 -0.3797954 0.1269354
-0.03285403 0.08534694 -0.08786716 -0.3029209 0.1689366
0.08596199 0.03149 -0.03794804 -0.2844876 0.189971
0.1642675 0.07002601 -0.1442251 -0.4356008 0.2563939
0.1294716 -0.07112947 -0.08510989 -0.4727835 0.2333101
-0.007064443 -0.07508446 -0.157161 -0.2256158 0.163998
0.05019083 0.03695144 -0.09114512 -0.2687367 0.09259727
-0.001505269 -0.03350983 -0.1420045 -0.3879306 0.1270961
0.008234365 -0.1534838 -0.1054886 -0.4007378 0.1078357
0.04930875 0.05312328 -0.1137723 -0.2448835 0.09805537
-0.04187159 -0.1330338 -0.01094388 -0.2927684 0.07326323
-0.03865763 -0.1287994 0.003595074 -0.2824916 0.09132515
0.04125577 -0.06525409 -0.01384297 -0.3036286 0.06031508
0.02731091 -0.03858617 -0.07848912 -0.2856528 0.06578633
-0.08192792 -0.1632471 -0.1658589 -0.4104281 0.06711899
-0.1158587 -0.1937675 -0.1059301 -0.5343774 0.09748752
-0.04863315 -0.2080901 -0.0890234 -0.323737 0.09390908
-0.03925259 -0.1649451 -0.0728077 -0.1583492 0.05364961
0.02797142 0.08140092 -0.03270722 -0.2905595 0.1705224
-0.02918831 -0.01826759 -0.1217531 -0.291564 0.1751411
-0.05435803 -0.01065131 -0.05777489 -0.4676732 0.1923339
0.04502328 -0.02037792 -0.02013391 -0.3614493 0.17554
0.1067131 0.01172208 -0.01653285 -0.4136811 0.1670228
0.1287127 -0.008606123 -0.2028527 -0.5191876 0.2720212
0.02237872 -0.06726441 -0.09241135 -0.2802369 0.1388422
0.05703507 -0.04719274 -0.1212732 -0.2750258 0.1390059
0.1073213 -0.06827787 -0.02807312 -0.2025316 0.02616691
-0.06177344 -0.06598124 -0.1267802 -0.280564 0.1369103
0.01782267 0.03947392 -0.08096801 -0.2863977 0.1415221
0.1192838 0.1262148 -0.01079618 -0.3222515 0.1839115
0.08465295 0.03553467 -0.2521731 -0.2631433 0.171713
0.0006502009 -0.1273095 -0.08610488 -0.5012072 0.121623
-0.0520471 -0.07674594 -0.06811081 -0.3123929 0.1543643
-0.037992 -0.1108359 -0.09472762 -0.4925874 0.1349098
0.06158247 -0.1881233 -0.07261817 -0.261125 0.08812159
-0.003385756 0.03340538 0.006699463 -0.401792 0.1650193
0.1149416 0.1685797 -0.2558973 -0.2497976 0.2395158
0.01043327 -0.002064942 -0.04735977 -0.2935768 0.1136425
-0.1586028 -0.1360268 -0.1975526 -0.1818594 0.1193415
-0.03282811 -0.08046339 -0.2630603 -0.2718398 0.1523788
0.01614505 0.05206982 -0.1728608 -0.3993097 0.1730698
-0.03141091 -0.05148863 -0.1853827 -0.3097746 0.1699327
0.01420186 -0.02993309 -0.1231882 -0.4625012 0.1446284
0.01698346 -0.08281229 -0.2170178 -0.4277448 0.09660219
-0.03481923 -0.1593201 -0.1022999 -0.2601888 0.08559477
0.02449965 -0.1334277 -0.158912 -0.3423373 0.09994487
-0.03876078 -0.01800883 -0.0861313 -0.2566659 0.189608
0.03834797 -0.1886644 -0.2673704 -0.3060681 0.167495
-0.04484725 0.09713128 -0.139966 -0.3865826 0.1844162
-0.1402521 -0.2231481 -0.166557 -0.3467545 0.05375638
0.0550406 -0.06177683 -0.1813539 -0.2469414 0.09748339
0.01424792 -0.02439332 -0.3420681 -0.4444948 0.2129613
0.00452016 -0.1984436 -0.2730516 -0.5106132 0.2090185
-0.007348415 0.1040045 -0.04429988 -0.3636315 0.1636858
0.0365557 0.008656645 0.01046483 -0.2361071 0.1087473
0.1007446 -0.02049646 -0.07536373 -0.2815256 0.1843903
0.02009396 -0.1252032 -0.01443411 -0.2793312 0.1820382
-0.09844716 -0.01215121 -0.1411855 -0.3879895 0.1475098
-0.2226031 -0.245271 -0.199347 -0.32584 0.07117864
-0.0007591114 -0.144658 -0.2682548 -0.3947885 0.122686
-0.134391 -0.1922492 -0.2452342 -0.4918163 0.1775195
0.06506102 -0.04448896 -0.11963 -0.3149757 0.1368042
0.05859108 -0.2964102 -0.1683893 -0.4870057 0.1730199
0.1246493 -0.04672942 -0.1485265 -0.2148262 0.1588061
0.106282 -0.04015517 -0.1420827 -0.3029229 0.1441434
0.006019488 -0.1025507 -0.02371569 -0.2593988 0.1099497
-0.07096991 -0.1705779 -0.1971188 -0.333773 0.1024875
0.003777214 -0.05619706 -0.1266064 -0.3275881 0.1473767
0.01366572 -0.1162787 -0.1996864 -0.3723214 0.150718
-0.01617048 -0.01587767 -0.08977685 -0.3670677 0.09509688
-0.0201364 -0.1472101 -0.1698185 -0.2852634 0.0860233
0.05180853 0.005046136 -0.08593475 -0.1874891 0.06536089
-0.03291185 -0.1277736 -0.1261747 -0.3218492 0.1079434
-0.06560711 -0.1865978 -0.2318378 -0.4782226 0.1201354
-0.06621312 -0.147482 -0.1026946 -0.2430973 0.04415481
-0.001709718 -0.1491648 -0.03238497 -0.3048794 0.07427889
-0.05132765 -0.04474561 0.1622029 -0.1246802 0.03348874
0.009544668 -0.1067096 -0.03181614 -0.2562318 0.04694942
0.01075008 -0.0391854 -0.07428238 -0.4115703 0.1469398
0.02689863 0.01476483 -0.1528578 -0.3972472 0.2256414
0.086344 -0.1321494 -0.2117076 -0.5480636 0.175436
0.08912428 0.0947169 -0.2233981 -0.3838497 0.2319975
-0.0334764 0.05512688 -0.1820381 -0.3111 0.2298198
0.1216946 0.04917645 -0.1919539 -0.4704004 0.2894674
0.01749028 -0.02854888 -0.1699783 -0.287361 0.1811791
-0.02472033 -0.04093091 -0.03407673 -0.2104063 0.127108
0.3332248 -0.01099049 -0.1112321 -0.4623852 0.1417074
0.102914 0.1370004 -0.2280028 -0.2510166 0.1424322
0.1113173 0.08925657 -0.1665526 -0.2854576 0.1613844
0.02823163 0.01135188 -0.2336282 -0.5348183 0.2418781
0.09642068 -0.1089803 -0.09679294 -0.3992449 0.2236531
-0.01032447 -0.1273044 -0.2510284 -0.3041024 0.1925994
-0.02640275 -0.1979604 0.03862807 -0.2895992 0.1118271
0.1506989 -0.08998959 -0.08375732 -0.4709087 0.1271695
