"Row" "Column" "Ainverse"
"1" 1 1 3.48496751170189
"2" 2 1 -0.0518005581809385
"3" 2 2 249397.464890589
"4" 3 1 0.298577496082771
"5" 3 2 -56806.6002495525
"6" 3 3 820615.920869607
"7" 4 1 0.106534949265582
"8" 4 2 3311.60236965802
"9" 4 3 -22497.0663009656
"10" 4 4 270366.063923746
"11" 5 1 0.245831806021487
"12" 5 2 2870.83860326298
"13" 5 3 -128069.027218169
"14" 5 4 -27824.6086608784
"15" 5 5 838407.682989282
"16" 6 1 0.151061000814534
"17" 6 2 6997.69196457925
"18" 6 3 -127604.636533017
"19" 6 4 -48337.4996992423
"20" 6 5 -158500.837542507
"21" 6 6 935986.912321427
"22" 7 1 0.210863851203707
"23" 7 2 54810.8338065577
"24" 7 3 -64504.5526937153
"25" 7 4 -23086.7619970978
"26" 7 5 -62545.47652617
"27" 7 6 -73035.5975619514
"28" 7 7 674897.927778247
"29" 8 1 -2.26692822158608
"30" 8 2 8455.31880545299
"31" 8 3 -32091.263241071
"32" 8 4 -14856.5118077771
"33" 8 5 -40520.7668858515
"34" 8 6 -44086.0643610951
"35" 8 7 -84640.1650478753
"36" 8 8 443338.054037346
"37" 9 1 0.026042386297857
"38" 9 2 -20807.9825251463
"39" 9 3 -18594.2163616062
"40" 9 4 8253.69416114692
"41" 9 5 16423.4810341679
"42" 9 6 21506.2433337648
"43" 9 7 27009.3387594977
"44" 9 8 18092.0062047983
"45" 9 9 260520.441958507
"46" 10 1 -0.0100373945733828
"47" 10 2 20807.7649826295
"48" 10 3 18594.1642776206
"49" 10 4 -8253.61941159597
"50" 10 5 -16423.3592675392
"51" 10 6 -21506.0464790732
"52" 10 7 -27009.2071163057
"53" 10 8 -18091.9484437621
"54" 10 9 -260518.299141159
"55" 10 10 260519.056841022
"56" 11 1 0.249904805374791
"57" 11 2 23731.9325406101
"58" 11 3 -21758.1292129268
"59" 11 4 5245.07794111056
"60" 11 5 4426.24713111307
"61" 11 6 5614.82672845124
"62" 11 7 -31869.9608024005
"63" 11 8 12020.6257877981
"64" 11 9 -11872.2797800698
"65" 11 10 11872.0549086234
"66" 11 11 365026.417067165
"67" 12 1 -0.271706177878841
"68" 12 2 -23731.7801013087
"69" 12 3 21758.2031907113
"70" 12 4 -5245.02466313018
"71" 12 5 -4426.26497988547
"72" 12 6 -5614.69940455844
"73" 12 7 31869.7247022057
"74" 12 8 -12020.8829997844
"75" 12 9 11872.4718667827
"76" 12 10 -11872.2961145809
"77" 12 11 -365024.816823908
"78" 12 12 365026.645385727
"79" 13 1 -0.0363273868566893
"80" 13 2 -0.0622514560624131
"81" 13 3 -0.212863877199703
"82" 13 4 0.0448489088924351
"83" 13 5 -0.145089607565381
"84" 13 6 -0.150864397786354
"85" 13 7 0.187971328226982
"86" 13 8 0.0873447710692
"87" 13 9 -0.0766654676978292
"88" 13 10 0.040394722932118
"89" 13 11 0.168461238597519
"90" 13 12 -0.202863253899342
"91" 13 13 3.1731740312866
"92" 14 1 -0.000573220419064418
