"Individual" "Female" "Male"
"SA18-CB-10-FG1xSL18-SF-19-MG2" "SA18-CB-10-FG1xSL18-SF-19-MG2" "0" "0"
"SL18-LD-10-FG1xSL18-OI-4-MG1" "SL18-LD-10-FG1xSL18-OI-4-MG1" "0" "0"
"SL18-NL-6-FG1xSL18-OI-11-MG2" "SL18-NL-6-FG1xSL18-OI-11-MG2" "0" "0"
"SL18-NL-6-FG1xSL18-OI-14-MG2" "SL18-NL-6-FG1xSL18-OI-14-MG2" "0" "0"
"SL18-NL-6-FG1xSL18-OI-15-MG1" "SL18-NL-6-FG1xSL18-OI-15-MG1" "0" "0"
"SL18-NL-6-FG1xSL18-OI-16-MG1" "SL18-NL-6-FG1xSL18-OI-16-MG1" "0" "0"
"SL18-NL-6-FG1xSL18-SF-17-MG1" "SL18-NL-6-FG1xSL18-SF-17-MG1" "0" "0"
"SL18-NL-6-FG1xSL18-SF-19-MG2" "SL18-NL-6-FG1xSL18-SF-19-MG2" "0" "0"
"SL18-LD-10-FG2xSA18-CB-7-MG2" "SL18-LD-10-FG2xSA18-CB-7-MG2" "0" "0"
"SL18-LD-10-FG2xSL18-NL-3-MG2" "SL18-LD-10-FG2xSL18-NL-3-MG2" "0" "0"
"SL18-NL-9-FG2xSA18-CB-7-MG1" "SL18-NL-9-FG2xSA18-CB-7-MG1" "0" "0"
"SL18-NL-9-FG2xSL18-SF-19-MG1" "SL18-NL-9-FG2xSL18-SF-19-MG1" "0" "0"
"SL18-OI-11-FG1xSL18-SF-15-MG2" "SL18-OI-11-FG1xSL18-SF-15-MG2" "0" "0"
"SL18-OI-15-FG1xSA18-CB-2-MG3" "SL18-OI-15-FG1xSA18-CB-2-MG3" "0" "0"
"SL18-OI-15-FG1xSL18-NL-5-MG1" "SL18-OI-15-FG1xSL18-NL-5-MG1" "0" "0"
"SL18-OI-15-FG1xSL18-SF-15-MG1" "SL18-OI-15-FG1xSL18-SF-15-MG1" "0" "0"
"SL18-OI-16-FG3xSA18-CB-4-MG3" "SL18-OI-16-FG3xSA18-CB-4-MG3" "0" "0"
"SL18-OI-16-FG3xSA18-CB-5-MG3" "SL18-OI-16-FG3xSA18-CB-5-MG3" "0" "0"
"SL18-LD-13-FG2xSL18-LD-13-MG2" "SL18-LD-13-FG2xSL18-LD-13-MG2" "0" "0"
"SL18-OI-16-FG3xSL18-LD-3-MG2" "SL18-OI-16-FG3xSL18-LD-3-MG2" "0" "0"
"SL18-OI-16-FG3xSL18-NL-6-MG1" "SL18-OI-16-FG3xSL18-NL-6-MG1" "0" "0"
