"","X","GID","P1","P2","TraitBLUE","Year","CV"
"1",486,"SA18-CB-10-FG1xSL18-SF-19-MG2","SA18-CB-10-FG1","SL18-SF-19-MG2",NA,2019,10
"2",657,"SA18-CB-10-FG2xSL18-LL-9-MG1","SA18-CB-10-FG2","SL18-LL-9-MG1",-0.168129123911237,2019,1
"3",1384,"SA18-CB-4-FG3xSA18-CB-4-MG3","SA18-CB-4-FG3","SA18-CB-4-MG3",-0.168127888117811,2019,1
"4",3399,"SA18-CB-7-FG1xSL18-LL-9-MG3","SA18-CB-7-FG1","SL18-LL-9-MG3",-0.0399999999999982,2019,7
"5",23976,"SL18-LD-1-FG1xSL18-NL-2-MG2","SL18-LD-1-FG1","SL18-NL-2-MG2",-0.408129123911238,2019,2
"6",24018,"SL18-LD-1-FG1xSL18-OI-18-MG1","SL18-LD-1-FG1","SL18-OI-18-MG1",-0.398129123911237,2019,6
"7",24127,"SL18-LD-1-FG2xSA18-CB-4-MG3","SL18-LD-1-FG2","SA18-CB-4-MG3",0.00439737088285048,2019,4
"8",24318,"SL18-LD-1-FG2xSL18-SF-13-MG3","SL18-LD-1-FG2","SL18-SF-13-MG3",-0.158717100149805,2019,1
"9",24319,"SL18-LD-1-FG2xSL18-SF-15-MG1","SL18-LD-1-FG2","SL18-SF-15-MG1",-0.0650065485615914,2019,9
"10",24528,"SL18-LD-1-FG3xSL18-NL-5-MG1","SL18-LD-1-FG3","SL18-NL-5-MG1",-0.353122575349644,2019,2
"11",24538,"SL18-LD-1-FG3xSL18-NL-9-MG2","SL18-LD-1-FG3","SL18-NL-9-MG2",-0.372691400220803,2019,6
"12",24553,"SL18-LD-1-FG3xSL18-OI-11-MG2","SL18-LD-1-FG3","SL18-OI-11-MG2",-0.111892077528937,2019,3
"13",24558,"SL18-LD-1-FG3xSL18-OI-15-MG1","SL18-LD-1-FG3","SL18-OI-15-MG1",-0.107551773209004,2019,10
"14",24559,"SL18-LD-1-FG3xSL18-OI-15-MG2","SL18-LD-1-FG3","SL18-OI-15-MG2",-0.206963796970436,2019,6
"15",24561,"SL18-LD-1-FG3xSL18-OI-16-MG1","SL18-LD-1-FG3","SL18-OI-16-MG1",-0.398705238820045,2019,7
