"","wetWgtPerM","percDryWgt","dryWgtPerM","Ash","AshFDwPM","Year"
"SA18-CB-10-FG1xSL18-SF-19-MG2",5.04644266052969,-3.59034430916202,0.186921625047243,0.0170048012409812,0.0577786894776011,2019
"SA18-CB-10-FG2xSL18-LL-9-MG1",-0.469500220398501,-0.22723137846924,-0.0222381852256557,NA,NA,2019
"SA18-CB-4-FG3xSA18-CB-4-MG3",0.130297356296435,-0.926966269282664,-0.000591365820124149,4.98404854616375,-0.0725255088717271,2019
"SA18-CB-7-FG1xSL18-LL-9-MG3",2.11318774148427,-1.18927579923505,0.145497847611971,4.28480715261034,0.0214572314250387,2019
"SL18-LD-1-FG1xSL18-NL-2-MG2",-1.34031398753263,-0.589848747088219,-0.0808610212347373,-2.79940655700508,-0.0806434776078368,2019
"SL18-LD-1-FG1xSL18-OI-18-MG1",-1.37364881760778,0.531083163274045,-0.0705062035611516,NA,NA,2019
"SL18-LD-1-FG2xSA18-CB-4-MG3",3.1950830962667,-0.346785753885293,0.216588790539356,1.43644645953515,0.112359029847658,2019
"SL18-LD-1-FG2xSL18-SF-13-MG3",-0.624403056313046,-0.167171485862973,-0.022930692329014,NA,NA,2019
"SL18-LD-1-FG2xSL18-SF-15-MG1",0.677113636168434,-2.04904812085931,0.0356734681248334,NA,NA,2019
"SL18-LD-1-FG3xSL18-NL-5-MG1",-2.13827564726504,0.761592365080623,-0.130169263239868,NA,NA,2019
"SL18-LD-1-FG3xSL18-NL-9-MG2",-1.45882739428399,1.88277102253398,-0.100391343560392,NA,NA,2019
"SL18-LD-1-FG3xSL18-OI-11-MG2",-0.215107764542083,2.05520858315175,0.0575410185831176,-0.794022721560928,-0.015330743307558,2019
"SL18-LD-1-FG3xSL18-OI-15-MG1",-0.538089198924594,-1.53853903370605,-0.076780800305437,NA,NA,2019
"SL18-LD-1-FG3xSL18-OI-15-MG2",0.0541086569558662,0.661191331441092,0.0203954106447876,NA,NA,2019
"SL18-LD-1-FG3xSL18-OI-16-MG1",-1.78011530726893,-0.646685319088553,-0.121618814980794,NA,NA,2019
"SL18-LD-1-FG3xSL18-OI-6-MG2",-0.622475782647669,0.683676992725795,-0.056122312723708,NA,NA,2019
"SL18-LD-1-FG3xSL18-OI-7-MG1",-1.07751368257837,-0.909151139743565,-0.0512650952055695,NA,NA,2019
"SL18-LD-1-FG3xSL18-OI-9-MG3",-0.296507785159694,-0.358906272885298,-0.0190244799642629,NA,NA,2019
"SL18-LD-10-FG1xSA18-CB-1-MG2",-0.221579813462149,0.661737466983476,0.0333697752171883,NA,NA,2019
"SL18-LD-10-FG1xSL18-OI-18-MG1",-1.68924919398628,2.66285545708799,-0.0842352703566945,NA,NA,2019
"SL18-LD-10-FG1xSL18-OI-4-MG1",-0.85517613393316,-0.236273927732892,-0.0190397850831957,-2.00015176123185,-0.045383105077036,2019
"SL18-LD-10-FG2xSA18-CB-7-MG2",1.61396268626332,-1.16816969596741,0.149335612589937,4.62024225409573,0.00649209793311535,2019
"SL18-LD-10-FG2xSL18-NL-3-MG2",-2.15457227117345,2.53274728892094,-0.135968044506333,NA,NA,2019
"SL18-LD-13-FG2xSL18-LD-13-MG2",1.06878975660513,-0.0900561035774533,0.0889274410904369,0.84163717889778,-0.0264402588998588,2019
"SL18-LD-2-FG2xSA18-CB-3-MG3",-0.005162441264901,-2.24974772445279,-0.0305532064879337,NA,NA,2019
